{'descr': '挺好的挺好的挺好的', 'star': 5}
{'descr': '很垃圾，提前20天都不能退，入住了条件很差，还死贵，以后再也不住七天了，这破酒店迟早要完蛋', 'star': 1}
{'descr': '房间很舒适。一直在七天住。价格便宜。安静整洁，很好', 'star': 5}
{'descr': '服务和内部设施都较差', 'star': 1}
{'descr': '非常好。。', 'star': 5}
{'descr': '很好很好很好', 'star': 5}
{'descr': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', 'star': 2}
{'descr': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', 'star': 2}
{'descr': '可能活动力度太大，订了一周的，比别的平台要少四百元左右，最后订单自动取消了，京东客服说是没房间了，打了实体店的电话说是有房，但是和京东没有合作关系，叫我到店后办个会员卡就可以享受8.8折，其实更想在京东上订，希望以后靠谱一点，不想第二次订也遇到这样的情况。', 'star': 5}
{'descr': '交通便利，比较干净', 'star': 5}
{'descr': '离首都师范大学很近，很方便，问题上六楼水压小，热水供应有问题。', 'star': 5}
{'descr': '就这么着了吧', 'star': 5}
{'descr': '环境好，干净卫生，服务好，交通便利', 'star': 5}
{'descr': '很好，很安静，', 'star': 5}
{'descr': '交通较为方便', 'star': 5}
{'descr': '周三退房的时候，说是没发票了，承诺第二天寄。等第二周周二致电后，才刚寄出。今天到了，顺丰到付23元。没经历多啰嗦了。说是奸商，也不为过。', 'star': 1}
{'descr': '离地铁很近 比较方便', 'star': 5}
{'descr': '很方便，离着地铁口也就不到6分钟路程，晚上也比较安静！房间还可以，就是没有窗户，特别是自主大床房，有点遗憾，见不到光！', 'star': 5}
{'descr': '就是普通快捷酒店的样子。总体下来不错 地理位置很好 地铁站 公交车也很方便 前台服务很好 办理入住和退房都很快 酒店没有毛巾的。', 'star': 5}
{'descr': '价格不算低，但服务还不错，很安静', 'star': 4}
{'descr': '住了两天，地理位置还不错，不堵，附近有吃饭的地方！~', 'star': 5}
