{'短评内容': '不是太好，而且不值这个价钱', '短评打分': 2}
{'短评内容': '物美价廉，性价比超高', '短评打分': 5}
{'短评内容': '一般一般很一般', '短评打分': 1}
{'短评内容': '同价位还可以', '短评打分': 3}
{'短评内容': '酒店很干净 很不错 ', '短评打分': 5}
{'短评内容': '条件挺一般吧，应该是自家开的小旅馆，房间小。', '短评打分': 4}
{'短评内容': '干净卫生，给人一种家的感觉，老板人很好，以后如果有机会，还会选择。', '短评打分': 3}
{'短评内容': '环境一般，隔音也不好', '短评打分': 3}
{'短评内容': '干净卫生，在这个区域内性价比挺高的', '短评打分': 3}
{'短评内容': '大城市旅店都这样', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '环境一般。厕所太小', '短评打分': 3}
{'短评内容': '老板很热情的   服务挺好', '短评打分': 4}
{'短评内容': '干净卫生、服务态度好、性价比高，下次还会入住。', '短评打分': 5}
