{'短评内容': '服务这些都很好，但是晚上洗澡水太冷了', '短评打分': 4}
{'短评内容': '设施齐全 环境卫生好', '短评打分': 5}
{'短评内容': '周围有吃饭的，去高铁，客运站和大佛的公交车站也在不远', '短评打分': 4}
{'短评内容': '能加床，早饭不错', '短评打分': 4}
{'短评内容': '很一般，顶楼也没艺术品', '短评打分': 3}
{'短评内容': '酒店还是不错很好很好，一直在京东看的', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '房间较小，卫生间有异味。不过前台服务不错。。。建议改善卫生、查看电视遥控以及房间最好有USB插空配套密码门～', '短评打分': 5}
{'短评内容': '服务很好，很及时，但是设施有点旧，毛巾也旧，床睡着很舒服', '短评打分': 4}
{'短评内容': '非常舒适，服务也很好', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '真得一般，床单干净，不太好停车，单行道，前台却没告之，让我违规开上去，厕所安的玻璃墙，很不方便，服务态度好。', '短评打分': 3}
{'短评内容': '没有热水，', '短评打分': 5}
{'短评内容': '可以，还不错！', '短评打分': 4}
{'短评内容': '好感动非常', '短评打分': 5}
{'短评内容': '酒店位置在一条小街上，交通和用餐都很方便，周围的小吃很好吃，酒店设施齐备、服务热情，性价比很高，在乐山算不错的酒店吧', '短评打分': 5}
{'短评内容': '房间真心一般，里面偏小，外面很吵，晚上居然还有蟑螂，想想都可怕，什么四星标准，骗人的。一次糟糕的体验', '短评打分': 1}
{'短评内容': '不错，交通方便，硬件也可以', '短评打分': 4}
