{'短评内容': '房间很好', '短评打分': 5}
{'短评内容': '此用户未填写评价内容', '短评打分': 4}
{'短评内容': '酒店位置可以，离地铁不远，服务也还可以，设施齐全', '短评打分': 5}
{'短评内容': '入住体验很好！', '短评打分': 5}
{'短评内容': '很不错的酒店，沙井都快到东莞了，酒店的土豆牛腩饭很不错', '短评打分': 5}
{'短评内容': '还行吧，就在金融街，就是有点需要改进，为什么押金不能退回支付宝，', '短评打分': 5}
{'短评内容': '服务员接到电话一个字“喂”，“你”怎样怎样，第一天入住我早晨六点航班才落办理入住，打扫卫生的大姐锲而不舍敲了我四次门', '短评打分': 3}
{'短评内容': '好啊&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '设施很陈旧，日式风格，空调时好时坏，隔音效果差，床硬不舒服&amp;hellip;&amp;hellip;&amp;hellip;&amp;hellip;', '短评打分': 1}
{'短评内容': '价格挺便宜的，不过后来去不成退了。退款也很快。', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '酒店还可以，各方面都不错', '短评打分': 5}
{'短评内容': '呼呼醋醋醋醋醋醋侧倾哈哈哈', '短评打分': 5}
{'短评内容': '很好，很喜欢这家酒店的环境。', '短评打分': 5}
{'短评内容': '有待提高自己的品牌', '短评打分': 5}
{'短评内容': '哦哦哦哦哦哦哦哦哦', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '硬件设施不错！距离市区不远！', '短评打分': 5}
{'短评内容': '硬件设施不错！距离市区不远！', '短评打分': 5}
{'短评内容': '硬件设施不错！距离市区不远！', '短评打分': 5}
{'短评内容': 'Good overall but room cleaning was a bit sloppy.  Only the bed was tidied up and the bathroom was cleaned.  Rubbish on the floor was not collected, dirty glasses were not replaced...', '短评打分': 3}
{'短评内容': '堪比五星级酒店，物超所值。', '短评打分': 5}
{'短评内容': '房间挺好，周围交通也便利', '短评打分': 5}
{'短评内容': '商务出差挺合适', '短评打分': 5}
{'短评内容': '这个酒店真心不错，服务好，环境好，早餐也很棒！', '短评打分': 5}
{'短评内容': '这个酒店真心不错，服务好，环境好，早餐也很棒！', '短评打分': 5}
{'短评内容': '浪费时间浪费感情，你们养了一群浪费粮食的工作人员', '短评打分': 5}
{'短评内容': '酒店设施不错，尤其是酒店内的烤鱼餐饮，味道赞一个', '短评打分': 4}
{'短评内容': '地理位置好，一切都满意', '短评打分': 5}
{'短评内容': '床好睡，洗澡热水足够，水量强劲，早餐不错，前台服务员够专业，反正值得来入住，但楼层要高才会安静安稳的睡觉，冰箱可能要维护了，声音特别大，会影响到睡眠，附近也有大的卖场，也有麦当劳，肯德基之类。', '短评打分': 5}
{'短评内容': '床好睡，洗澡热水足够，水量强劲，早餐不错，有免费欢唱2小时的KTV，前台服务员够专业，反正值得来入住，但楼层要高才会安静安稳的睡觉，冰箱可能要维护了，声音特别大，会影响到睡眠，附近也有大的卖场，也有麦当劳，肯德基之类。', '短评打分': 5}
{'短评内容': '床好睡，洗澡热水足够，水量强劲，早餐不错，有免费欢唱2小时的KTV，前台服务员够专业，反正值得来入住，但楼层要高才会安静安稳的睡觉，冰箱可能要维护了，声音特别大，会影响到睡眠，附近也有大的卖场，也有麦当劳，肯德基之类。', '短评打分': 5}
