{'短评内容': '环境一般，早餐一般，温泉是噱头，不值吧！', '短评打分': 5}
{'短评内容': '酒店有一些年头了，房间还算干净，性价比高，底下紧挨着他们家新开的5星酒店华美达，看外观蛮不错的', '短评打分': 4}
{'短评内容': '没有想象的那么出色，冲着他们家的温泉去的，但是元旦期间维修，所以很遗憾，但是总体性价比还是很高，值得推荐', '短评打分': 4}
{'短评内容': '经济型酒店，入住有免费温泉和早餐，性价比很高。', '短评打分': 5}
{'短评内容': '房间设施经济型配置，入住有免费温泉和早餐，总体不错。', '短评打分': 5}
{'短评内容': '饭店老点，服务态度很好', '短评打分': 5}
{'短评内容': '万隆的旅游环境实在是太差，如无必要可以忽略此地', '短评打分': 4}
{'短评内容': '此次旅游中最失望最窝火的酒店，早半月预订，到达前一晚携程告知酒店临时装修（现在看来是鬼话），说给我升级到同一集团的五星级酒店华美达.结果去发现真是一个要关门的酒店，没有人气，大堂就一人值班，没有无线网，游泳池脏兮兮没人游，走的时候东西拉那，打电话说给邮寄，几天后再打电话咨询居然换人了，是说酒店出事了全部换人了新来的不知道，简直太气人了，首先携程不负责任，欺骗客户，让这种要关门的酒店还挂网上招摇撞骗', '短评打分': 2}
{'短评内容': '酒店入住的客人很少，服务员态度也不好，酒店管理有问题！', '短评打分': 3}
{'短评内容': '酒店交通比较方便，房间也比较干净整洁，服务态度好。', '短评打分': 4}
{'短评内容': '环境还行', '短评打分': 5}
{'短评内容': '和朋友自行车环岛，兴隆过夜~~房间干净。感受了兴隆甲天下的温泉，又是一条好汉~~明天继续骑行。', '短评打分': 5}
{'短评内容': '酒店位于兴隆温泉旅游区内，交通相对而言还是挺便利的，毕竟兴隆是个小镇，走走停停也差不多了。酒店房间布置得很温馨，相对于同档次的酒店而言，性价比很ok。', '短评打分': 5}
{'短评内容': '虽然这里的服务人员态度很好，可是这里的房间真是有点不大如意。我一共订了3间房，在1幢客房那边，1204那间房的霉味有点大，而且地漏居然不过水，洗完澡后，洗手间是一片汪洋。结账时服务员也已经表示要修理了，但不知道结果怎么样。这里的温泉也有点贵，南药的要168,单是小鱼池也要68.不过，这里的服务态度是挺好的。希望基础设施跟上服务态度那就完美了。', '短评打分': 1}
{'短评内容': '难得有几天休假，在这家酒店住了一晚，感觉还行。最主要的是空气非常清新，南药温泉很有特色，服务员的有关南药的介绍也满足我的好奇心，希望有机会再去体验一下。', '短评打分': 5}
{'短评内容': '忆云山水酒店修建了好多别致的温泉泡池，而且庭院内绿树成荫，让人感觉非常舒适。顺着鹅卵石铺就的小路走过去可以看到一个个泡池，每个泡池边上都用各种鹅卵石装饰得别具一格， 红木牌子上写着温泉的温度、南药的功能，让客人一目了然，方便选择最适合自己的南药温泉。诺丽果是我最喜欢的，既能养颜又能美白，超赞。回去一定要把这个酒店推荐给朋友们，让朋友们一起来感受独特的温泉！', '短评打分': 5}
{'短评内容': '忆云山水是通过网上预订的。与网站宣传的差不多，环境很不错，带着浓郁的东南亚异域风情，有山有水，种植了大量的观赏植物和南药植物，沉香.诺丽果.神秘果.牛大力等南药都是药效奇好的药材。夕阳下的泳池看起来非常美丽，酒店还有好多别致的温泉泡池，还有不同的功能，像减肥、美白、降压的等等，晚饭后和朋友一起泡温泉，一起聊天享受风景相当不错。房间很不错，温泉水直接进了房间，洗澡什么都能用，真好。', '短评打分': 5}
{'短评内容': '忆云湖边上有着很多大树，有的是观赏植物，有的是常绿乔木，更多的是南药植物。兴隆是一个天然大药库，又以珍贵的南药著称。其中的沉香.诺丽果.神秘果.牛大力等南药都是药效奇好的药材。忆云酒店内就种植了上千种南药植物，其中可以入药的就有两百多种，酒店里终日开着各种花朵，飘着各种香味，让人心旷神怡。', '短评打分': 5}
{'短评内容': '这次来兴隆天气格外好，天很蓝，空气很清新！在别处，出去溜达一圈回来，鼻子都是灰的....\n   忆云山水这间酒店是慕名而来，通过网上预订的。与网站宣传基本相符，有着浓郁的东南亚异域风情，种植了大量的观赏植物和南药植物，沉香.诺丽果.神秘果.牛大力等南药都是药效奇好的药材。\n   于众不同的还有酒店内修建了好多别致的温泉泡池，晚饭后和朋友一起泡温泉，一起聊天享受风景相当不错。\n   更多惊喜想知道的', '短评打分': 5}
{'短评内容': '环境很不错，酒店在山顶上，有泳池、温泉，我是傍晚到的，夕阳下的泳池看起来非常美丽，还有温泉鱼疗，非常新奇，小鱼咬得人脚心痒痒的！它的温泉还有不同的功能，像减肥、美白、降压的都有，我泡了一个美白的，不过只泡一次好像看不出什么效果哦(*^__^*) 房间很不错，在房间里还有温泉水洗澡！以后有空一定要抽一段时间过来把我养的白白的O(∩_∩)O哈哈~！', '短评打分': 5}
{'短评内容': '一夜无梦。睡得真好，打开窗户，一阵清风扑面而来，我深深吸了口气，兴隆是全岛负氧离子含量最高的地区，空气质量真的非常好。窗外阳光灿烂，蓝天一碧如洗，鸟语花香，远处是葱茏的群山，近处是幽静的忆云湖，我伸了伸懒腰，赶紧洗漱一下，在离开之前再泡一次檀香温泉去，这个假期真的超值。', '短评打分': 5}
{'短评内容': '还是不错的，周末的时候带着老公和孩子来度假养生、放松一下。酒店园内有很多沉香、和花梨木、听酒店员工说酒店是和南药研究所合作的，这么贵的树都是从南药研究所移植过来的，感觉真的很养生，下次叫朋友也带着家人过来玩。', '短评打分': 5}
{'短评内容': '一直闻名忆云山水温泉不错，我怀着无限憧憬的心情跟朋友一起预订兴隆忆云山水的酒店入住了体验一下，刚进到酒店就闻到芳香清甜的空气，行走在四月的忆云山水酒店，我脑中浮现最多的就是人间四月天，如此唯美，如此静谧。酒店独特的东南亚异域风情让人陶醉，夕阳下散步在美丽的太阳河，让人顿时忘了所有的烦恼，温泉泡池更是忆云山水酒店的浓墨重彩的一笔。据说与南药研究院合作，在温泉里添加了对人体非常好的药材，我一边品酒一边', '短评打分': 5}
{'短评内容': '我已入住，今早已经结帐并退房，房间是新装修的。', '短评打分': 3}
