{'短评内容': '房间还可以，装修较老。', '短评打分': 5}
{'短评内容': '呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵呵', '短评打分': 1}
{'短评内容': '如果有供应早餐会更好。', '短评打分': 4}
{'短评内容': '干净，环境不错', '短评打分': 5}
{'短评内容': '好好好好哈', '短评打分': 5}
{'短评内容': '东西不错！东西不错！东西不错！东西不错！东西不错！东西不错！东西不错！东西不错！', '短评打分': 5}
{'短评内容': '第一次在京东订房，赶上618活动，价格给力', '短评打分': 5}
{'短评内容': '第一次在京东订房，赶上618活动，价格给力', '短评打分': 5}
{'短评内容': '第一次在京东订房间.价格低.房间安排的好.很方便', '短评打分': 5}
{'短评内容': '还可以吧！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '其实就是劳关的学生啦', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '很好的一间酒店', '短评打分': 5}
{'短评内容': '酒店很值得一住！', '短评打分': 4}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '便捷.安全', '短评打分': 5}
{'短评内容': '酒店地理位置很好，周边设施齐全，办事很方便，商务旅行首选。', '短评打分': 4}
{'短评内容': '酒店地理位置很好，周边设施齐全，办事很方便，商务旅行首选。', '短评打分': 4}
{'短评内容': '酒店地理位置很好，周边设施齐全，办事很方便，商务旅行首选。', '短评打分': 4}
{'短评内容': '酒店地理位置很好，周边设施齐全，办事很方便，商务旅行首选。', '短评打分': 4}
{'短评内容': '酒店总体还可以，楼道环境卫生不太好，建议房间增加香皂', '短评打分': 3}
{'短评内容': '酒店环境很好，服务很到位，干净整洁，位置也不错，值得推荐', '短评打分': 5}
{'短评内容': '交通不算太便利，价格适中，房间面积一般。\n', '短评打分': 5}
{'短评内容': '服务态度不错，房间不算大，卫生一般，位置稍有偏差隐蔽！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '餐厅服务很好虽然是职业笑容但很亲切。', '短评打分': 3}
{'短评内容': '环境设施不错，房间够大，总体不错，值得推荐，就是没有免费的停车场！', '短评打分': 5}
{'短评内容': '同事住在那，说很舒适，已经有很多个同事住那了。', '短评打分': 5}
{'短评内容': '还可以，就是有点贵。还要20字哦。还可以，就是有点贵', '短评打分': 1}
{'短评内容': '酒店很好很满意 服务也好 环境很好 闹中取静的地方 距离地铁2号线也很近 ', '短评打分': 5}
{'短评内容': '条件不错，酒店比较新，开会的人比较多，附近有两家大超市，交通也比较便利。', '短评打分': 5}
{'短评内容': '毗邻海军总医院，而且出行在北京来说也非常方便。', '短评打分': 5}
{'短评内容': '这个酒店条件很不好，冬天晚上都把我们冻醒了！', '短评打分': 1}
{'短评内容': '大学的宾馆，就在大学门口，边上还有大超市，很方便的。', '短评打分': 5}
{'短评内容': '大学的宾馆，就在大学门口，边上还有大超市，很方便。', '短评打分': 5}
{'短评内容': '旧了点', '短评打分': 3}
{'短评内容': '这个酒店不喜欢，很简陋。可能是地理位置，价格不便宜。', '短评打分': 1}
{'短评内容': '设施老旧  性价比不高 但是周边环境还行  购物 吃饭都比较方便', '短评打分': 1}
{'短评内容': '挂牌四星,设施不如汉庭,亏啦!', '短评打分': 3}
{'短评内容': ',很差，硬件还达不到二星', '短评打分': 3}
{'短评内容': '总体还不错，交通也很便利，房间的设备算是传统的，不是很新的，但是实用性很好！', '短评打分': 5}
{'短评内容': '还可以，设备有点陈旧.总的来说还不错，下次考虑再次入住', '短评打分': 5}
{'短评内容': '房间小，服务也不到位。这是一个学院对外的招待所。', '短评打分': 1}
{'短评内容': '房间设备有些简单，价钱小贵。', '短评打分': 3}
{'短评内容': '还算不错 已经可以方便上网了 但是还不到四星标准 虽然标着四星', '短评打分': 5}
{'短评内容': '宾馆环境还可以，服务态度也不错。但是不包早餐，很不方便。附近都是小胡同，吃东西不是太方便。', '短评打分': 5}
{'短评内容': '基本设施都很健全，服务态度也不错。我住的标间比较小一些，还算干净，不过会有一些机器运行的声音，不太了解是哪里发出来的，但是不太影响睡眠的。', '短评打分': 5}
{'短评内容': '挺安静，位置比较好，服务也周到，设施一般了                                                             ', '短评打分': 5}
{'短评内容': '酒店设置还可以！ 前台服务一般！ 哎 性价比 在这个位置还算可以的！', '短评打分': 5}
{'短评内容': '一般吧,主要是小孩的团队住在这里才选择了这边。服务还可。', '短评打分': 1}
{'短评内容': '环境不错，作劳动关系学院的培训中心。很安静！旁边有超市，烧烤店！\n房间数量应该很多，一层就40个，共15层。往后就不应担心订不到房。准4星了。\n离西直门，车公庄，阜成门，复兴门地铁站，打车在15-20之间，走路可能会远点。\n房间是木地板，我喜欢！双人房的床是够大，可以睡2人，但不提倡！', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '服务很差，无法寄存包，宾馆的硬件都太老了', '短评打分': 1}
{'短评内容': '房间不错，比较大，也很干净，环境也还可以，餐厅的饭也不错，就是送餐到房间还要钱，呵呵，这点不好，所以，就在餐厅吃啦', '短评打分': 5}
{'短评内容': '一般般吧。临时住还可以。前台感觉很崩溃。没下次了。', '短评打分': 1}
{'短评内容': '该酒店位于海淀区中心地带，放假干净，价格适中！', '短评打分': 5}
{'短评内容': '酒店地理位置不是很好，有点难找，设施各方面也还行，值得推荐', '短评打分': 5}
{'短评内容': '交通不太方便，设施比较老，比较安静，服务热情。', '短评打分': 5}
{'短评内容': '应该配点肥皂', '短评打分': 3}
{'短评内容': '房间很旧，价格很贵', '短评打分': 3}
{'短评内容': '上当了，就是个招待所！不过周围超市倒是很方便。', '短评打分': 1}
{'短评内容': '设施陈旧，交通不便，早餐不太好，无特殊情况不住。', '短评打分': 1}
{'短评内容': '十一般', '短评打分': 3}
{'短评内容': '方便安静', '短评打分': 3}
{'短评内容': '服务态度很好,交通不太方便,离机场较远,卫生条件还不错.', '短评打分': 5}
{'短评内容': '比较一般，性价比不算高，但周围吃饭还是比较方便的，', '短评打分': 1}
{'短评内容': '除了卫生间特别小外，其他的还可以。空调制热效果不太好。旁边的超市，吃饭的都很多。', '短评打分': 5}
{'短评内容': '房间很大。服务很好，房间的设施很新。希望下次还住。', '短评打分': 5}
{'短评内容': 'good hotel', '短评打分': 3}
{'短评内容': '性价比挺好，卫生厅干净，电视有点老，信号有点不清晰', '短评打分': 5}
{'短评内容': '据说四星，但设备相对陈旧，设备安装时施工质量太差，到处都是玻璃胶的痕迹', '短评打分': 5}
{'短评内容': '已经入住了2次20多天，总的感觉还行。算是比较清净，只是门口那条路上的出租车太少，需要前往车功庄大街才能打的，当然运气好的话在门口也能打的。', '短评打分': 3}
{'短评内容': '网络比较快\r\n前台告诉我不能上网，但我进入房间第一件事情就是上网查邮件，居然可以上网，欣慰中。。。。。。', '短评打分': 5}
{'短评内容': '订了豪华标间，进屋子就有一股霉味。最受不了的是吵，整夜像有人在搬家，咚咚地响，十二点居然还有锤子敲打的声音！', '短评打分': 5}
{'短评内容': '+周末住了两天，前台还不错，给选了安静的房间，房内整体算干净，灯光昏暗，全是1瓦的节能灯，没法看书。卫生间有点旧，浴盆没砌好，漏的。', '短评打分': 5}
{'短评内容': ' 酒店的设施有点老化，服务人员素质较好。下次有机会还会去', '短评打分': 5}
{'短评内容': '房间设备老化', '短评打分': 3}
{'短评内容': '房间设备老化', '短评打分': 1}
{'短评内容': '电视不清楚，买东西不方便。', '短评打分': 1}
{'短评内容': '饭店设施老化，空调等不太好用，房间霉味很大，毛巾破旧。价格贵，性价比极差，早餐30元每位，基本没什么。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '完全不值这个钱！就是个没星的招待所。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务员竟然不敲门就直接开门', '短评打分': 1}
{'短评内容': '公务较为方便而已', '短评打分': 3}
{'短评内容': '酒店距离办事的地点很近，交通便利', '短评打分': 5}
