{'短评内容': '什么酒店？四百二十块！携程太不负责了', '短评打分': 1}
{'短评内容': '位置还好，电水壶不能用，墙壁的开关太多坏的', '短评打分': 3}
{'短评内容': '酒店地理位置还行，但是设施比较陈旧。餐厅为清真餐厅，早餐一般。比较狗血的是我第一天早晨用了一次性牙刷牙膏，第二天没给换新的，因为着急出发，搞得一整天没刷牙', '短评打分': 3}
{'短评内容': '性价比太低科，最多值一百多，房间小，环境也不好。特别是早餐，啥都没有。后悔订这个酒店了。', '短评打分': 2}
{'短评内容': '差劲的无以复加！主要是服务态度差！卫生条件差！和宜必思隔路相望，简直比不挂星的宜必思差上三四个档次！', '短评打分': 2}
{'短评内容': '客户给定的酒店挺不错得 安静 网速还快', '短评打分': 5}
{'短评内容': '非常棒！很不错！', '短评打分': 5}
{'短评内容': '不好', '短评打分': 3}
{'短评内容': '稍微偏了些，设施比较老了。', '短评打分': 3}
{'短评内容': '环境卫生可以，携程上订时无早餐，到酒店登记时还送了早餐卷', '短评打分': 5}
{'短评内容': '还算可以吧', '短评打分': 4}
{'短评内容': '干净舒适，值得推荐！。距离比较近，十分方便。', '短评打分': 3}
{'短评内容': '比较老的酒店，卫生还可以，设施老旧，房间有后加电线很不舒服', '短评打分': 4}
{'短评内容': '三星，服务和条件尚可！会推荐给朋友', '短评打分': 5}
{'短评内容': '交通方便，服务还行。地下有洗浴的地方，吃放娱乐都很方便', '短评打分': 5}
{'短评内容': '房间是标准设施，比较干净，没有异味，毛巾也很松软，只是卫生间稍嫌简陋，与此价位不相配。\n在酒店前台办里入住时身份证忘记了，好在酒店已答应邮寄给我。', '短评打分': 5}
{'短评内容': '不错，离机场进。交通方便，不足就是隔音。。', '短评打分': 5}
{'短评内容': '还可以，!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间设施不错，就是离市区稍微远些，不是很方便', '短评打分': 5}
{'短评内容': '有停车场，房间条件不错，就是晚餐结束的太早。', '短评打分': 5}
{'短评内容': '还可以，服务员态度都挺好，还帮忙寄存行李到10号。', '短评打分': 5}
{'短评内容': '卫生设施还可以就是符合当地三星的标准，价格还是比较贵了，位置还是比较偏离闹市区还是有些距离。', '短评打分': 1}
{'短评内容': '由于会议安排在这里进行，所以也定在这里，性价比还不错，不过设施和服务只能说一般。', '短评打分': 5}
{'短评内容': '因为房间的地面上敷设的地毯，而本人对此比较敏感。\r\n我建议凡是敷设地毯的宾馆，地毯一定要非常非常的干净。', '短评打分': 1}
{'短评内容': '标准的三星级宾馆，没有什么特色，卫生等都很好', '短评打分': 3}
{'短评内容': '标准的三星级宾馆，没有什么特色，卫生等都很好', '短评打分': 5}
{'短评内容': '环境比较差，卫生设施很不好毛巾都烂的，它说是三星级酒店但是卫生间花洒都坏的，照这样来看的话根本就不值这么多钱，而且服务员都是一问三不知，三星级酒店连最基本的一个叫车服务都没有一般经济酒店都会有这边都没有简直连招待所都不算。', '短评打分': 1}
{'短评内容': '酒店位置还不错，离火车站挺近的，打车很方便。', '短评打分': 5}
{'短评内容': '卫生不错，房间里打扫的很干净，让人干净很舒适。', '短评打分': 5}
{'短评内容': '服务人员态度还不错，房间打扫也很干净，设施方面一般，整体感觉还不错。', '短评打分': 5}
{'短评内容': '服务人员还不错，很实在，服务也很周到。', '短评打分': 5}
