{'短评内容': '古城中央，便利！酒店里的餐厅不错，四川菜。', '短评打分': 3}
{'短评内容': '客栈，已经算不错了。', '短评打分': 4}
{'短评内容': '客栈，都差不多，不过价格超值！', '短评打分': 3}
{'短评内容': '携程订的精品房，第一次给的房间没wifi隔音差，浪费了一个下午的时间改成豪双，中午饭都没吃直接吃晚饭了，因为连订四晚，前三晚改成豪双，第四晚新开的精品房电视看不了，床头插座用不了，就这样', '短评打分': 5}
{'短评内容': '酒店位置不错 也好找 房间挺大的 院子很美 总之 还挺满意的', '短评打分': 5}
{'短评内容': '客栈美呆了，还非常干净。总体来说5分还是不错的！值得入住。', '短评打分': 5}
{'短评内容': '很喜欢，非常干净，工作人员又热情～', '短评打分': 5}
{'短评内容': '老板服务很好，人很热情，这点让我觉得心里很暖和，客房很干净，住起来很舒服，', '短评打分': 5}
{'短评内容': '位置非常好，闹中取静，房间非常温馨，值得推荐～', '短评打分': 5}
{'短评内容': '在携程上定的房间，接机小伙特别热情，而且还给我们介绍丽江周边好玩的，到了酒店后，前台小妹很快给我们办好入住，一看院子真大，而且中午太阳照到院子里坐在摇椅上真是超舒服；房间也古色古香，还有空调，晚上睡觉一点都不冷，很不错的一次入住^_^', '短评打分': 5}
{'短评内容': '环境特别好    服务人员态度也特别好   老板还有酒吧  咖啡厅   太好了   下次还回去', '短评打分': 5}
{'短评内容': '几个人一起过来玩的，客栈的卫生做的很好，干干净净的，到处流露的是一股温馨，超喜欢，这也给这次的旅行平添了一份色彩。', '短评打分': 5}
{'短评内容': '很不错的客栈，特别是客栈的人很亲切，很容易相处，大赞，下次去还会住这家！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '本来没有房间了，但是老板人很好的，给我升级了房型，前台服务态度也挺好的，去机场也是酒店安排的车送去的，来丽江的话，推荐大家入住～', '短评打分': 5}
{'短评内容': '帮妈妈和阿姨定的这间客栈 她们回来后一直跟我说客栈老板非常好 很热情并照顾她们 得知去雪山玩还赠送了一瓶氧气 房间设施也很不错 很满意！', '短评打分': 5}
{'短评内容': '出发前，照着地图找客栈，就想找个离大水车、四方街都不远且价格实惠、环境幽静的，结果过来一踏进这个院子，我就喜欢上了--绿树成荫的典型纳西人家小院，还有个大水车架在穿院而过的水渠上，加上小院的安静，真像到了世外桃源，也有一种到家的温馨，服务小妹也很给力，有什么事几乎是随叫随到。小院分为2 个院，1 号院正对前台的房间安静，但里面设施有点陈旧，有的坏了也没有维修好，空间也不大，但价格稍低；2 号院靠里', '短评打分': 5}
