{'短评内容': '酒店交通方便，地处市中心，房间还算舒适', '短评打分': 3}
{'短评内容': '环境还行，隔音不是很好。房间里面那些物品没有价格牌不是很好', '短评打分': 5}
{'短评内容': '不错，就是墙壁太薄，隔壁夜半声音精彩。', '短评打分': 3}
{'短评内容': '＋一般般，预定的价格是130元，到酒店登记时收费是150元，可以退回一天20元吗？', '短评打分': 3}
{'短评内容': '悲摧啊，竟没有电脑桌，网线和电源插座竟在房间两端，使用极不方便。卫生还行，有股霉味。', '短评打分': 3}
{'短评内容': '整体还可以，不足之处有两点：一是隔音效果不够好；二是少床头灯，晚上看电视灯太亮。', '短评打分': 5}
{'短评内容': '房间小，墙体不坚固，图片与实际房间严重不符。', '短评打分': 1}
{'短评内容': '房间可以，', '短评打分': 3}
{'短评内容': '地板是面得更好，环境好，主要是离市中心远了点', '短评打分': 5}
{'短评内容': '每间情趣房都不一样，除了隔音不怎么好以外 其他还行把', '短评打分': 5}
{'短评内容': '不够人性化 想找个有窗的主题房都难 不是有噪音 就是没暖气等等 有暖气的房就不给加被子', '短评打分': 1}
{'短评内容': '房间小，隔音太差，圆床没有床垫，只是在木板上铺了一床垫被，太硬了睡了不舒服', '短评打分': 1}
{'短评内容': '卫生间挺大的，就是没有电脑桌不太方便，网速一般 但总体上感觉不错，这个价位还是较合适的', '短评打分': 5}
{'短评内容': '房间太小，电视不对着床尾，手机信号收不到', '短评打分': 1}
{'短评内容': '隔音太差，前台那个女人服务不好。态度嚣张', '短评打分': 1}
{'短评内容': '热水太冷，特别是现在的天气洗就是受罪。隔音效果差。半夜都被敲门声吵醒', '短评打分': 1}
{'短评内容': '比想象中差很多  很小的房间  连个桌子凳子都没有，那次原本是去考试的，晚上想看看书复习下，桌子和椅子都没有···灯光超级暗  只有一个吊灯 之前住过7天连锁  价钱差不多  可是环境没法比，以后估计都是去7天了', '短评打分': 1}
{'短评内容': '地理位置不错，交通方便，但是房间比较小,灯有点暗', '短评打分': 5}
{'短评内容': '地段还可以。环境也还可以。。基本还算是满意的了', '短评打分': 5}
{'短评内容': '地理位置不错，交通便利，但是房间面积有点小', '短评打分': 5}
{'短评内容': '房间还是挺有特色的，交通也方便，但是热水实在是太冷了，洗得都感冒了，希望改进。不然就算其他的再好，也不敢去了，尤其冬天。', '短评打分': 5}
{'短评内容': '装修比较有特色，就是灯光有点暗', '短评打分': 3}
{'短评内容': '房间设计很有特点,价钱也不贵,位置也不算远,只是不肯多开点发票。如果单纯住的话还是不错的，但出公差需发票的话就不推荐了。', '短评打分': 5}
{'短评内容': '还行，物有所值。。。。还行，物有所值。还行，物有所值', '短评打分': 5}
{'短评内容': '房间不是很大，设施比较简单，但性价比还是很高的。', '短评打分': 5}
{'短评内容': '还不错··················', '短评打分': 5}
{'短评内容': '优点：比较干净卫生，坐车、吃东西也方便。缺点：隔音差点、窗小、不太透气，每晚12点半都有骚扰电话打进（若要休息好，拨下电话线是必须的——不然推销按摩敏感部位/两百元/次的电话准时每个房间都打来）', '短评打分': 5}
{'短评内容': '地方不错，干净，房间还可以，就是单房少了一张桌子，要是有就更好了', '短评打分': 5}
{'短评内容': '优点:比较干净，整洁，近市区。缺点：通风不太好，每天晚上12点半都有骚扰电话打进.', '短评打分': 5}
{'短评内容': '我订的是特价房，房间设施一般，网速慢点，洗澡间去水慢点，但服务态度蛮好，离考场近。', '短评打分': 3}
{'短评内容': '还可以，要是能再便宜点，洗白白的地方不是透明的就好了', '短评打分': 5}
{'短评内容': '没有窗的房间味道有点啊，晚上会有按摩电话打进来，其他觉得还行！', '短评打分': 3}
{'短评内容': '房间干净，交通方便。电视离床比较远，太小了点，晚上一点钟有骚扰电话打入，搞得没休息好，男士入住，想睡个好觉，要记得把电话线扯掉。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，但是酒店位置很好，交通方便', '短评打分': 1}
{'短评内容': '不错 干净 物有所值   就是卫生间和房间的比例有点不好   卫生间太大了 也许是受房间的构造限制吧  不过也不是什么大问题  还行', '短评打分': 5}
{'短评内容': '第一次单人房，感觉相当不错，价钱公道。所以第二次入住，感觉一般般，为了上个网换了两次房间。', '短评打分': 5}
{'短评内容': '属于时尚酒店，适合年轻人入住，每间房间的风格都不一样。就是离市中心稍微远点，有车一族的话，就很方便，价位也合适，但是房间隔音不好，环境一般啦', '短评打分': 5}
{'短评内容': '物超所值，下次应该还会入住，卫生很好，空间非常大，各种情趣，额', '短评打分': 5}
{'短评内容': '装修一般.房间蛮大.价格实惠.服务态度不错.特价房比较值得住.价格再高就不划算可', '短评打分': 5}
