{'descr': '比较不错的', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '性价比高、卫生尚可、临街有点吵', 'star': 5}
{'descr': '位置靠近北京交通大学，交通还算方便', 'star': 4}
{'descr': '太差，房间太小了，设置也很差', 'star': 1}
{'descr': '第二次住这个宾馆了，和附近几个旅馆相比，我认为这里很好，舒适，干净，态度好。', 'star': 5}
{'descr': '服务挺好的 老板人也好', 'star': 5}
{'descr': '打扫卫生的阿姨太差，早上退房时，刚开始顺少一个电视遥控，模模糊糊的说应该有。前台让她说清楚，后来就说少一个，说有客人不小心放包里了。我们入住的时候就是没遥控器调台，就没看电视好吗？本来入住时候前台态度挺好的，一大早真坏心情。', 'star': 2}
{'descr': '感觉在北京的连锁酒店中是性价比很高的！外窗透光透气，暖气温度相当好，环境也比较整洁，走廊是直的，感官舒适，客房内的卫生也很干净，尤其是洗漱间还有吹风机，比网上的图片好太多了。点个赞！', 'star': 5}
{'descr': '服务态度不错，设备旧，性价比高', 'star': 5}
{'descr': '服务态度不错，设备旧，性价比高', 'star': 5}
{'descr': '服务态度不错，设备旧，性价比高', 'star': 5}
{'descr': '房子小，蚊子多，但十一算便宜的，除了便宜没特点', 'star': 5}
{'descr': '环境还可以，房间有点小', 'star': 3}
{'descr': '到动物园的距离约有1.5公里左右，这是实际距离，环境一般', 'star': 5}
{'descr': '还行吧，主要北京最近旅游的人太多，要不然也不会来这，服务还行，卫生比较一般！', 'star': 3}
{'descr': '价格便宜，位置还好。酒店设施比较差，不能刷卡，悲剧啊 \n热水器水小。', 'star': 1}
{'descr': '酒店该装修了。不怎么样。', 'star': 3}
{'descr': '门外看着挺好的 进去了里面的装修太古老了 东西都破破烂烂的了', 'star': 1}
{'descr': '还行，距离北京北站很近，出租车不到10分钟路程，价格也不贵。', 'star': 5}
{'descr': '还可以，不过手机信号不好。不知道是什么原因。', 'star': 5}
{'descr': '还凑合，只能说凑合，淋浴的头是坏的，电视也是坏的', 'star': 1}
{'descr': '还算便宜而且位置好离交大很近，所以还可以凑活过个夜，家具很旧，房子小，很吵\n\n--------------------------------------------------------------------------------\n', 'star': 1}
