{'短评内容': '一般般，就是便宜', '短评打分': 4}
{'短评内容': 'Nice', '短评打分': 4}
{'短评内容': '房间挺大的，实惠', '短评打分': 5}
{'短评内容': '这样的酒店我再也不会定了', '短评打分': 2}
{'短评内容': '公寓式的 设施旧 不怎么样', '短评打分': 3}
{'短评内容': '环境不好，很冷！', '短评打分': 1}
{'短评内容': '因为是合租房一样就没入住', '短评打分': 1}
{'短评内容': '还不错，设施稍微老旧。但风格很好。', '短评打分': 4}
{'短评内容': '一般的酒店', '短评打分': 4}
{'短评内容': '一般的酒店', '短评打分': 4}
{'短评内容': '房间类型还可以 电视太老 阁楼应该再挂个液晶电视', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '附近交通、餐廳、房間都還可以，算對得起價格', '短评打分': 4}
{'短评内容': '交通尚方便，房間還算乾淨，附近餐廳還可以', '短评打分': 4}
{'短评内容': '工作人员服务很好，大厅很温馨，卫生也还可以，就是屋子里没有大厅暖和，总体来说还可以', '短评打分': 4}
{'短评内容': '暖气不足,设备陈旧，空间很大', '短评打分': 4}
{'短评内容': '房间太小。设施陈旧，临街噪音很大，晚上过车无法入睡，比较差！', '短评打分': 2}
{'短评内容': '离地铁太远，交通不方便。服务员态度非常差，到的时候就很多人在和服务员理论。室内设施也一般，房间有点潮，而且隔音很不好。看了大家的点评才去的，但是比较上地的其他宾馆，这个其实不值得推荐了。', '短评打分': 1}
{'短评内容': '不像酒店，倒是像公寓，卫生设备一般，交通倒是还方便，就哪样吧', '短评打分': 1}
{'短评内容': '酒店很有特色！下次还会再来的！服务态度也不错！', '短评打分': 5}
{'短评内容': '还不错，不过要是房间能提供一些速食品最好！', '短评打分': 3}
{'短评内容': '挺好的，环境温馨，交通便利，适合出行，还能做饭，跟家一样', '短评打分': 3}
{'短评内容': '环境一般般 价格偏贵 所以不推荐入住这个酒店.', '短评打分': 1}
{'短评内容': '不是太好，环境不温馨，贵！', '短评打分': 3}
{'短评内容': '酒店的位置很方便，离城铁相当近。环境优雅，舒适，设备齐全，屋内干净温馨，有家的感觉，老爸很满意。', '短评打分': 5}
{'短评内容': '非常不好，毛巾稍微有点脏还要收费，本身床单也不干净，还有血点', '短评打分': 3}
{'短评内容': '欣得酒店很适合背包族，价格比便宜，干净卫生服务态度好，是个很有文化氛围的酒店，有很多书随便看，早餐简单离地铁远，但公交车直通清华北大', '短评打分': 3}
{'短评内容': '公寓式酒店，上地附近的快捷酒店都满了，就定了这里，服务一般，设施还齐全', '短评打分': 5}
{'短评内容': '很棒！服务态度很好，环境很温馨，老板和前台的姐姐人也超好，很有家的感觉。', '短评打分': 5}
{'短评内容': '女服务员态度老差，没说两句，就说你可以不住。我还听到她们在别的顾客背后说人不是。', '短评打分': 1}
{'短评内容': '有厨房，但是一到饭点就有很大的油烟味', '短评打分': 3}
{'短评内容': '是住过的最喜欢最舒服的了。服务态度很好，很干净，很安静。下次还选择它。', '短评打分': 5}
{'短评内容': '酒店的风格很舒服，随意，有种公寓，家的味道，住的豪华标间，房间挺大的，可能布局不是很合理，电视不是数字电视，台有点少，其他都挺满意的，价格不算高，周围环境也还好。就是进房之后，要用热水，冰箱要及时的插上或打开电源，值得一住!', '短评打分': 5}
{'短评内容': '   比较安静，整洁。一楼大堂很温馨。', '短评打分': 3}
{'短评内容': '还不错，环景比较安静，商务大床挺好，就是褥子又有点薄。\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '住宿条件还不错，应把\n宽带上网联接做好。', '短评打分': 5}
{'短评内容': '基本上挺好的！就是热水不是很稳定的！', '短评打分': 3}
{'短评内容': '位置有点偏，公寓式，复式小双层，免费提供炊具，挺好，适合常住', '短评打分': 5}
{'短评内容': '住宿环境 比较安逸  适合长期住还不错。', '短评打分': 5}
{'短评内容': '酒店不错，住的很开行酒店不错，住的很开行酒店不错，住的很开行酒店不错，住的很开行', '短评打分': 5}
{'短评内容': '价格稍贵，房间较小，热水器不热，厨房基本没用。', '短评打分': 1}
{'短评内容': '价格可以，有网络，这个价格在北京还算可以吧，当然跟连锁肯能会有些不同', '短评打分': 5}
{'短评内容': '房间很宽敞，有家用电器，可以做简单的饭菜服务也很好，有家的感觉！', '短评打分': 3}
{'短评内容': '有自带的小厨房和冰箱，还能借厨具，很贴心，退房手续很快', '短评打分': 3}
{'短评内容': '还不错，床很软，就是隔音不太好，会听到楼道里的声音', '短评打分': 5}
{'短评内容': '不错，早餐差了些。房间很宽敞，就是浴室太小', '短评打分': 5}
{'短评内容': '还好！有机会还会去入住的，不过酒店实际上没有图片上那么好。', '短评打分': 5}
{'短评内容': '挺方便的，标间也挺大，服务态度也很好，类似于青年旅社', '短评打分': 5}
{'短评内容': '第一次住，房间很干净，房间选的是靠小区一边的很安静，楼下就是有两个超市一个面包房，很方便，很喜欢', '短评打分': 5}
{'短评内容': '不错的酒店，门前就有公交到四号线，服务啥都挺好的', '短评打分': 5}
