{'短评内容': '好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '超多小卡片，设施不错', '短评打分': 5}
{'短评内容': '酒店不错，性价比很高。', '短评打分': 5}
{'短评内容': '酒店不错，性价比很高。', '短评打分': 5}
{'短评内容': '位置还行，毕竟就在办事的地方附近，设施，卫生目前台服务就不理想，有待提高，单身公寓楼改造的，房间还挺大', '短评打分': 3}
{'短评内容': '性价比较高，出行方便', '短评打分': 4}
{'短评内容': '去火车站比较方便。市中心比较近。挺好的！！！', '短评打分': 4}
{'短评内容': '不错-----值得推荐', '短评打分': 5}
{'短评内容': '位置不错，办事方便，就是有点吵闹', '短评打分': 4}
{'短评内容': '态度恶劣，不给发票', '短评打分': 3}
{'短评内容': '位置不错，离考试的16中学很近，周边餐饮丰富，交通不算便利，高架桥边上，过马路有点危险。商铺服务水平有待提高。酒店本身是公寓式的，还有公司办公，房间面积很大，但配套不完善，没有餐饮娱乐设施。色青小广告很多，管理欠缺。酒店门市价格比携程价格还要便宜几块钱，基本在价格上已经没有优势，胜在提前预定保证房源。前台就一个人服务一般，下雨天都没有雨伞借用，态度生硬。', '短评打分': 3}
{'短评内容': '房间设施不错，环境也不错', '短评打分': 4}
