{'descr': '酒店隔音特别差夜里有声音 大清早也有', 'star': 1}
{'descr': '房间设施太一般，不值这个价', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '态度很不好', 'star': 1}
{'descr': '一般般啦', 'star': 4}
{'descr': '距离地铁口挺近的，周围也比较安静，晚上睡觉蛮好，但是房间隔音效果不太好，是真的比较不太合适白天休息。', 'star': 4}
{'descr': '挺好的，以后还会来', 'star': 5}
{'descr': '还行', 'star': 3}
{'descr': '就是小了点', 'star': 5}
{'descr': '靠路边稍微吵了点', 'star': 3}
{'descr': '房间味道不是很好', 'star': 2}
{'descr': '送孩子上大学，就在大学附近，地铁站旁边，交通便利！家庭房，一个双人床，一个单人床，非常舒适。房间宽敞、干净卫生！服务很好，店员特别热情友善。总之，很满意！还会光临贵店！', 'star': 5}
{'descr': '还行吧！便宜。', 'star': 5}
{'descr': '总体来说还不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '靠近地铁站。设施不错。', 'star': 5}
{'descr': '还可以吧 房间有点小了', 'star': 3}
{'descr': '地理位置比较好靠着地铁 但是最近涨价了 幅度不小啊 ', 'star': 5}
{'descr': '酒店空间太小，还是商务的，太小了吧，隔音真的不好的啊。隔音的确很不到位', 'star': 1}
{'descr': '环境不错！', 'star': 3}
{'descr': ' 环境不错，', 'star': 3}
{'descr': ' 酒店餐饮的夏师傅人很好,我的鞋拉链坏了,她帮我修好。', 'star': 3}
{'descr': '还是不错的，价格也不错，环境条件这个价格都是满意的', 'star': 5}
{'descr': '感觉蛮好的。干净，也很舒服。', 'star': 3}
{'descr': '\n已成功入住，条件还算满意。', 'star': 3}
{'descr': '干净舒适', 'star': 3}
{'descr': '感觉不错，虽然迟到了，但还是帮我留了房，非常好噢！', 'star': 3}
{'descr': '交通便利，整洁卫生，服务较好。订房时告知有早餐，到酒店却被告知因为过年早餐工作人员还没有上班，暂时没有早餐提供，郁闷！', 'star': 5}
{'descr': '这个酒店真的不错。。。', 'star': 3}
{'descr': '性价比还是很高的，只是房间的隔音效果不太好', 'star': 5}
{'descr': '房间比较整洁，东西都很新。很不错。唯一的缺点就是每天大清早的，酒店的保安拿个对讲机在过道里大喊退房的事情。很吵。不止一次了', 'star': 5}
{'descr': '很方便。离地铁口很近。就是邻近街道晚上会有点吵。', 'star': 5}
{'descr': '挺干净的酒店 整体感觉还不错！团购的话更便宜 ', 'star': 5}
{'descr': '感觉还好，只是之前没有明显提示带学生证的话会优惠。', 'star': 5}
{'descr': '很不错', 'star': 3}
{'descr': '挺干净，应该是新装修的，味挺重…', 'star': 3}
{'descr': '设计开发和快乐的冠军联赛贷款高速公路隧道管理漏洞管理啦啦啦公里的公路道路宽度孤苦伶仃刚开始的离开了德国科隆岁的克里斯蒂克利斯的改变', 'star': 5}
{'descr': '福斯特连锁旅馆经济实惠，交通方便，离一号地铁口仅200米左右。旅馆干净整洁，设施完备，是个理想的下榻场所，下次我还会选择该旅馆的。', 'star': 5}
{'descr': '环境挺好.挺卫生', 'star': 3}
{'descr': '这酒店真的很不行,价格还死贵', 'star': 3}
{'descr': '价格便宜，比较干净，是新的旅馆，希望能够保持。离地铁近，就是没有早餐，建议改进。', 'star': 5}
{'descr': '房间很干净，床很大，还有电脑上网。就是卫生间洗澡的没有格挡', 'star': 5}
{'descr': '地方确实有点偏   但是好在靠着地铁站口 干净  安静  蛮好的', 'star': 5}
{'descr': '之前就住过，还是那么的干净。下次还会去住的。', 'star': 5}
{'descr': '房间有点小，价钱有点高！服务态度可以，对了，电视不是数字的，是有限电视，希望改进吧！', 'star': 1}
{'descr': '房间干净，设备新的，离地铁确实近，服务周到\n隔音效果不好，卫生间里没有槅门，洗澡不方便\n总的来说还是蛮可以的', 'star': 5}
{'descr': '其他都很好，就是希望大家进去的时候不要随便打开床头的物品，要收费的。', 'star': 5}
{'descr': '房间很干净，服务很亲切，在地铁旁非常的方便', 'star': 5}
{'descr': '嗯~不错 交通方便，而且环境很好的，很干净，离地铁口很近', 'star': 5}
{'descr': '早上走廊里有点吵，可能是旅行团的吧。。没有数字电视。。其他都还行..', 'star': 5}
{'descr': '感觉环境还不错', 'star': 3}
{'descr': '这家店房间不是很大，不过各方位设施还是不错的，但是隔音效果是在不怎么好。', 'star': 5}
{'descr': '挺干净的啊，来过好几次了，经济还，就是枕头有点高啊', 'star': 5}
{'descr': ' 环境不错,紧邻地铁天印大道站,就是房间里的电视太差,没有衣柜', 'star': 3}
{'descr': '很新服务很好，走五十米到地铁站很方便，周围环境还可以。', 'star': 5}
{'descr': '这家很干净，整洁，是个新酒店，态度很好，反正很赞，适合年轻人啊 ，大厅还有四台电脑可供上网。', 'star': 5}
