{'短评内容': '交通方便,设施配备齐全是性价比相对合理价格可以接受的酒店环保的酒店绿色的酒店', '短评打分': 5}
{'短评内容': ' 旅馆旁边是个正在施工的工地，通宵作业…', '短评打分': 3}
{'短评内容': '值这个价，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '可以试试可以试试可以试试可以试试可以试试', '短评打分': 5}
{'短评内容': '还可以还可以还可以还可以还可以还可以还可以还可以还可以', '短评打分': 5}
{'短评内容': '酒店很好，交通也方便。 只是隔音有些不好，但是我已经很满意了。性价比很高', '短评打分': 5}
{'短评内容': '感觉很不错，服务态度好，环境不错，下次来还住这里！', '短评打分': 5}
{'短评内容': '酒店还挺干净，就是洗澡水水流太小了', '短评打分': 3}
{'短评内容': '地方比较好找。房间比较干净，但是洗澡水不太好，要放很久，一会儿热一会儿凉。还是比较对得起这个价格的', '短评打分': 5}
{'短评内容': '离雅思考点比较近了，打车过去才5分钟5块钱。\n仿冒青旅....但是条件还是可以的..', '短评打分': 5}
{'短评内容': '酒店还可以，我们住在507号房，工作人员都非常好，就是有的时候热水的温度不稳定，时冷时热！', '短评打分': 5}
{'短评内容': '和旁边的如家相比性价比太低，房间内物品不太干净', '短评打分': 1}
{'短评内容': '房间环境很不错，但是我们入住的那天不是一直有热水啊！知道晚上9点多才能洗澡，这点很令人失望', '短评打分': 3}
{'短评内容': '总体还可以吧，就是热水上来的慢点，网络的速度差点。别的还可以', '短评打分': 5}
{'短评内容': '还算比较干净，有窗，位置好找，明显。 就是隔音系统一般，不是特别好。 其他硬件设备都还不错。 ', '短评打分': 5}
{'短评内容': '很不错，价格也不贵，离高速路口也很近，以后还会住。', '短评打分': 5}
{'短评内容': '价格还算优惠，但设施有待改善，洗澡的热水很小', '短评打分': 5}
{'短评内容': '服务态度好', '短评打分': 3}
{'短评内容': '还算比较干净，有窗，位置好找，明显。  就是隔音系统一般，不是特别好。 其他硬件设备都还不错。 洗澡水有点小', '短评打分': 5}
{'短评内容': '酒店非常干净，服务态度也很好，门口就有公交站牌，交通很方便，附近还有一家大型超市，一家小型超市，还有很多可以吃饭的小店，味道还不错', '短评打分': 5}
{'短评内容': '安静，但是内部设施不够完善，洗澡水太小！', '短评打分': 5}
{'短评内容': '和一般的快捷酒店没有什么差别，我住的是大床房，床和舒服，空调很好用，电视也不错，在这个地区还算不错，只是今天很被，酒店水管出了问题，洗了个凉水澡。', '短评打分': 5}
{'短评内容': '挺好的 离雅思考点比较近 打车起步价就过去了', '短评打分': 5}
{'短评内容': '性价比不错，离工业区也比较近，唯一就是隔音不是太好，希望改进。', '短评打分': 5}
{'短评内容': ' 感觉可以', '短评打分': 3}
{'短评内容': '价格适合，地理位置也不错，离开发区比较近，就是隔音效果不是太好，有点吵', '短评打分': 5}
{'短评内容': '条件不太好，唉，毕竟一分钱一分货。不推荐。', '短评打分': 1}
{'短评内容': '门口有553路公交车，后边的都是废话，干嘛凑够20字啊', '短评打分': 5}
{'短评内容': '酒店对得起他的价位,主要是价钱便宜,在高新区酒店比较少，感觉还可以吧', '短评打分': 5}
{'短评内容': '卫生还不错', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '酒店在高新区，虽然环境稍微差点，但是比其它的价位来，还是很值得的！', '短评打分': 5}
{'短评内容': '交通方便，物有所值！\r\n白笙君', '短评打分': 3}
{'短评内容': '干净，整洁，服务好，交通有些不便。', '短评打分': 3}
{'短评内容': '经济实惠，比较干净，主要是离雅思考点较近。', '短评打分': 5}
{'短评内容': '因为到附近学校考试所以住在这，因为与如家，7天的档次相近所以就予以比较吧。\n\n市郊的原因，周围甚是荒凉，酒店外观也是比较可怜，电梯之类都是招待所的水平，因为地处的环境太糟别的类似酒店那地儿还都没有，所以也就将就了。但是还好，进了屋里反倒满足好多啊，屋内布置接近如家，大小也相近，听说是新开的所以设备都很好。\n\n不足之处，电视小了点，淋浴的水流不足，不是早晚正好的时候洗澡水会很凉。\n', '短评打分': 5}
{'短评内容': '酒店住着还可以，就是隔音有点不是太好，屋里也干净，总体还可以，价格也不是太贵', '短评打分': 5}
{'短评内容': '酒店环境还可以，就是隔音不是太好，隔壁房间电视的声音也听得到。', '短评打分': 5}
{'短评内容': '挺不错 就是隔音不太好 而且灯光太暗 干净卫生 ', '短评打分': 5}
{'短评内容': '卫生不是很理想', '短评打分': 3}
{'短评内容': '太偏僻，房间给人感觉不好，比较简陋～～～～', '短评打分': 1}
{'短评内容': '马桶漏水 水也不是24小时的  不过离着比较进而已了', '短评打分': 5}
{'短评内容': '服务不错，位置也好找，设施比较新，满意。', '短评打分': 5}
{'短评内容': '房间较大，卫生干净，位置较偏，服务态度好，值得入住。', '短评打分': 5}
{'短评内容': '其实蛮干净的还不错   其他的都挺满意  不过就是有时候热水供不上', '短评打分': 1}
{'短评内容': '酒店位置还可以，离开发区比较近，去开发区的朋友可以住在这里，服务也不错，价格也能接受', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '性价比高…干净，宽敞，总之很适合年轻人入住哦', '短评打分': 3}
{'短评内容': '物美价廉，很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '距离考雅思（石家庄职业工程学院）的地方比较近，就是没有暖气，有空调。晚上注意把空调的温度调节好。其他还可以。不错', '短评打分': 5}
{'短评内容': '还不错哦~房间很干净~空调电视都不错', '短评打分': 3}
{'短评内容': ' 不错', '短评打分': 3}
{'短评内容': '还可以 不知道住了多少回了 服务元我我都认识', '短评打分': 5}
{'短评内容': '环境不错 下次还住  还有香水 卫生间也挺干净的', '短评打分': 5}
{'短评内容': '离市区远了一点儿，不过交通很方便，卫生也不错，价格也合理。', '短评打分': 5}
{'短评内容': '暖气不热，空调不让开，把我冻感冒了。早餐还是收费的，下次不要住', '短评打分': 3}
{'短评内容': '位置不错，就在高速出口不远，设施很新，服务也还不错，值得推荐', '短评打分': 5}
{'短评内容': '晚上还真不太好找，给前台打了半天电话，东西不太分，最后说在工行对面，这一抬头才发现自己就在酒店跟前。\r\n要的是商务单人房，谁知居然在一个无名公司办公室隔壁，本想一路高速从武汉到此好好睡上一觉，谁知办公室的人跟打了鸡血似的大声聊天说笑到很晚...\r\n周边吃饭的地方很少，离市区大约10分钟车程，楼下有免费车位。\r\n不推荐', '短评打分': 1}
{'短评内容': '离高速公路出口很近，周围比较安静，不是闹市区。因为一早送飞机才选在这里住的', '短评打分': 5}
{'短评内容': '都可以 就是隔音效果太差  隔壁打牌 洗牌的声音 都听的异常清楚', '短评打分': 5}
{'短评内容': '位置好，交通便利，卫生也可以，设施有待更新，性价比不错', '短评打分': 5}
{'短评内容': '是便宜\n但一般，没如家好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '酒店新装修，很干净。就是洗澡水有点小。住了两夜，头一夜没有管服务员要电蚊香，咬了一夜。', '短评打分': 3}
{'短评内容': '酒店很干净.很好.', '短评打分': 5}
{'短评内容': '设施、卫生、服务、价格都不错，值得推荐！', '短评打分': 5}
{'短评内容': '洗澡比较舒服，淋洗头比较不错，水打到身上比较舒服。', '短评打分': 5}
{'短评内容': '+服务周到，但客房隔音效果不好。', '短评打分': 5}
{'短评内容': '总体还可以，是离开发区比较近，又比较实惠的酒店', '短评打分': 5}
