{'短评内容': '环境和配套都挺不错', '短评打分': 5}
{'短评内容': '酒店服务挺好的～总体挺好的～', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '相对扬州市来讲，位置相对较偏，只适合自驾，但对于旅游旺季的扬州房价来说，性价比还是很高的。硬件条件也远比那些快捷酒店好。', '短评打分': 5}
{'短评内容': '房间进去有股味，地毯该清洁了，另外就是马桶有点坏了，水箱里面的水一直流，发出很大的声音，晚上必须关着洗手间门才能睡好。其余的地方还好，房间很大，还有浴缸和小冰箱，不过没有瓶装水，想喝水的时候以为在小冰箱里面呢，结果冰箱是空的……', '短评打分': 4}
{'短评内容': '具体说应该是养老院中的配套设施宾馆，在一片稻田中，晚上来的时候觉得荒凉，早晨看周围环境还是很漂亮的。房间很大，卫生可以，就是服务员不多，有点服务不到位，也许是因为我来得晚走得早没见到的原因。', '短评打分': 5}
{'短评内容': '酒店位置偏僻，距离市中心有一段距离，但房间很宽敞，适合开车来住', '短评打分': 5}
{'短评内容': '环境很好，是休闲度假的好住处。', '短评打分': 4}
{'短评内容': '值得推荐！', '短评打分': 5}
{'短评内容': '值得推荐！', '短评打分': 5}
{'短评内容': '酒店位置偏，距市中心十几公里。酒店路口无指示，难找。早餐差，周围环境不错，比较清静，房间大，床大，带老人出行的好去处。', '短评打分': 3}
{'短评内容': '酒店距离扬州市中心十来公里，安静房间大，特别适合自驾游', '短评打分': 5}
{'短评内容': '酒店管理很差劲 地段很偏 照片修过感觉很好 实际情况不多说了 350完全不值这个价 早餐不谈了就想黑心学校的食堂 不配国际两个字', '短评打分': 1}
{'短评内容': '作为一家会所，这个价位，能住到这样的房间，算不错了。因为是要去参加扬州马拉松的，所以特意选择了一个距离马拉松起点比较近的旅店。搜了一下，这家算很好的。服务不错，挺周到细致的，态度也很好。房间干净清爽。整体不错', '短评打分': 3}
{'短评内容': '因为参加马拉松，这家店在离起点很近的地方，环境很好，房间超级大，卫生间特别干净有淋浴还有浴缸', '短评打分': 3}
{'短评内容': '扬州曜阳国际会所,住宿环境比较好，不错', '短评打分': 5}
{'短评内容': '位置太偏了，不好找，自己开车去还行，房间很大，也很好，吃饭就麻烦了。这里是个老年公寓，早餐就是两碗稀粥，一个咸鸭蛋，一个包子。不建议来这住，很不方便。', '短评打分': 1}
{'短评内容': '自己开车过去不是太好找很偏，酒店的设施卫生都还可以，服务还行。价格倒是挺合适只是餐厅用餐情况不是太好。没有太多的菜种类。', '短评打分': 1}
