{'短评内容': '#ud83d#udecf️很舒服，可以', '短评打分': 5}
{'短评内容': '只是没有早点', '短评打分': 5}
{'短评内容': '遇见老乡了', '短评打分': 5}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的。价格实惠,环境清幽,吃的选择少。', '短评打分': 5}
{'短评内容': '房间还有浴缸，超喜欢。', '短评打分': 5}
{'短评内容': '房间设施比较旧，有很多烟头烫的地方，地毯也很潮湿！', '短评打分': 4}
{'短评内容': '各方面都还好', '短评打分': 4}
{'短评内容': '洗完澡漏出一地水，大半夜也懒得换房间，房间很小', '短评打分': 3}
{'短评内容': '不错，很精致，就是为什么的门是坏的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店挺干净，房间也挺整洁就是有点小', '短评打分': 5}
{'短评内容': '比同等酒店好多了！设施也齐全，很人性化', '短评打分': 5}
{'短评内容': '不错房间应该加个沙发与桌子就更好了！', '短评打分': 5}
{'短评内容': '酒店空调坏了 电脑也坏了 应该修理快点', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还是不错，', '短评打分': 4}
