{'descr': '便宜，舒适', 'star': 4}
{'descr': '一般般，性价比不高', 'star': 3}
{'descr': '环境不错的', 'star': 5}
{'descr': '房间很不错，住着很得劲。', 'star': 5}
{'descr': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', 'star': 5}
{'descr': '来咯墨迹咯旅途墨镜酷', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '太差了，价格贵，屋里有发霉的味道，真是太次了！', 'star': 1}
{'descr': '好的很不错。真的很不错', 'star': 5}
{'descr': '很棒', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '离车站很近，环境不错。', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '离车站特别近走路4到5分钟的距离，对面万达广场。卫生状况也还不错。', 'star': 5}
{'descr': '还行吧、就是不是我想要的主题房间！', 'star': 3}
{'descr': '菲米莱时尚宾馆环境不错，旁边就是和平大剧院，房间很干净，物有所值，唯一遗憾的是送的早餐不够精致，期待改进', 'star': 3}
{'descr': '酒店设施还可以,靠近火车站，出行方便，设施一般，总的来说还可以。前台的水平比较一般，结账花了20分钟。', 'star': 5}
{'descr': '酒店交通方便，从沈阳客运北站广场步行3分钟就到，酒店旁边还有汉庭， 酒店价格很便宜，酒店内环境还凑合，含有早餐，早餐一般； 总之，不算物美价廉，但也算物有所值；', 'star': 5}
{'descr': '前台不错，热水澡也洗的很好，空调不会用。床单被罩浴巾等实在是太脏了。', 'star': 3}
{'descr': '标准间还可以，三人间条件差了很多，潮湿，霉味很重，不过看二人转很合适，就在旁边', 'star': 1}
{'descr': '标准间还可以，三人间条件差了很多，潮湿，霉味很重', 'star': 1}
{'descr': ' 环境不是太好，旁边是个戏院，太吵了。', 'star': 3}
{'descr': '环境各方面还可以，只是离二人转剧场比较近，晚上10点之前会有点吵~', 'star': 5}
{'descr': " 房间还凑合'稍嫌老旧'卫生间早晨味太大'", 'star': 3}
{'descr': '已入住酒店一般', 'star': 3}
{'descr': '设备以及环境不好,房间小,电梯有点吓人,但是很便宜,服务态度不错.', 'star': 1}
{'descr': '房间卫生不是很好', 'star': 3}
{'descr': '交通比较方便，服务较好，环境好。', 'star': 3}
{'descr': '还好，就是感觉离车站远点儿。', 'star': 3}
{'descr': '不是很好，设备老化沉旧，房间太小，床单很脏。', 'star': 5}
{'descr': '房间不大，布局还算合理，但窗帘盒上面有发霉迹象，比较麻烦的是电源插头较少，三相和两相插头各一个，热水壶做水，电脑，电视，手机充电，怎么都不够用，卫生间里虽然有插头，但要洗完澡太潮不敢用怕引起短路。', 'star': 1}
{'descr': '就是房间小点，而且热水器的喷嘴还不好用，闲麻烦，连澡也没洗', 'star': 5}
