{'短评内容': '不错，干净！！！', '短评打分': 5}
{'短评内容': '老在这住，建议喜欢安静的住高点。', '短评打分': 4}
{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '选错时间', '短评打分': 5}
{'短评内容': '设施较旧，位置好', '短评打分': 4}
{'短评内容': '设施比较旧，但是服务还行', '短评打分': 4}
{'短评内容': '宾馆老了一点，设备设施旧了一些，位置优越。房价还可以接受。', '短评打分': 4}
{'短评内容': '基本上没有服务，所以谈不上好坏。太吵，娱乐场所怎么能和客房在一起呢？', '短评打分': 3}
{'短评内容': '三楼是个娱乐场所，太吵', '短评打分': 3}
{'短评内容': '性价比不错，就是四设施有点旧', '短评打分': 4}
{'短评内容': '套件很不错 家庭入住很实惠', '短评打分': 5}
{'短评内容': '环境好，交通方便，吃饭方便', '短评打分': 5}
{'短评内容': '一般的酒店。设施老旧的', '短评打分': 3}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '条件很好，推荐入住，最好选择靠里面的房间，路边的早晨有点吵', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '挺好，很安静，就是电梯只有一个开着', '短评打分': 5}
{'短评内容': '房间条件一般，服务态度比较差，退房的时候相当不客气', '短评打分': 1}
{'短评内容': '硬件不理想，套房居然没有宽带，离间没电视；卫生不理想，在卫生间内打死4只蟑螂', '短评打分': 1}
{'短评内容': ' 价格适中，早餐还行。', '短评打分': 3}
{'短评内容': '服务上还是蛮不错，有求必应，也挺耐心的，这点挺好。', '短评打分': 5}
{'短评内容': '服务挺好，卫生打扫的也不错，有宽带能上网，感觉挺方便的。', '短评打分': 3}
{'短评内容': '周边交通挺便利，出门就有公交车站，房间打扫很干净，住的挺舒适。', '短评打分': 3}
{'短评内容': '硬件软件方面都还不错，就是隔音效果有待于提高。', '短评打分': 3}
{'短评内容': '前台服务很好，服务员很热情周到，房间卫生条件很好，打扫的很干净，周边出行打车方便，座公交车也没问题，房间硬件设施齐全，住宿环境很好', '短评打分': 5}
{'短评内容': '酒店位置不错，周边购物吃放相对方便些，房间卫生条件还行，比较干净整洁，服务不凑，热周到，住宿条件一般', '短评打分': 3}
{'短评内容': '酒店周边环境还可以，服务不错很热情周到，房间卫生条件可以，挺干净的，住宿环境一般', '短评打分': 3}
