{'短评内容': '老板很热情，人特别好。房间设备也很齐全，卫生也特好', '短评打分': 5}
{'短评内容': '酒店环境很好，房间干净，早攴不错，在洱海传奇里，安静清爽，海景房特别棒，可以停车，二楼有个套房，适合带小孩，老人一起居住。', '短评打分': 5}
{'短评内容': '这家酒店位置超赞，就在洱海边上，从酒店房间就能一览无遗洱海的大好风景。老板人热情好客，让我们有宾至如归的感受。强烈推荐带老人、孩子出行的亲们，选择她家，地理位置相当好～出门方便。', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '超级值得推荐！ 姐姐人超级好 主要还特别漂亮。我并不是托，我是个认真的银 ', '短评打分': 5}
{'短评内容': '环境优美，酒店位置不错，服务也到位，值得一住。', '短评打分': 5}
{'短评内容': '很棒的别墅 很有家的感觉 环境超好 安静 空气清新 出行方便 吃饭可以外卖 或者酒店内可以煮饭 适合家居旅行的好地方', '短评打分': 5}
{'短评内容': '我一定要好好的评一下：首先是老板人非常的好，分咐了小妹热情的接待，他们还从很远赶过来为我们细心的安排，因为我们是四家人大大小小的一起住进来的。首先我要说的是别墅里的配套真的没话说，底楼的K歌房设计很好是孩儿们的最爱，二楼的厨房应有尽有，你只需要去市场买回你想做的美味佳肴，厨房边上的还有一间老板准备的茶室，可以喝到老板提供各种好茶。在往楼上我就不说了，房间绝对是按高标准准备，还附带一个观景平台，漂亮', '短评打分': 3}
{'短评内容': '此次出行入住最满意的酒店！交通方便，房间干净、整洁、温馨浪漫，酒店服务热情周到！在酒店的阳台上，躺在沙发上，苍洱风光尽收眼底，让人心旷神怡！下次去还会住这里！', '短评打分': 3}
{'短评内容': '这个酒店属于距离大理机场，大丽高速最近的别墅型酒店，设施堪比五星级酒店，但性价比超高，值得家庭游、情侣们私奔享受假日。还有厨房、酒吧、茶室，在北方寒冷冬季却可以在如此暇意的地方筛太阳??，是何等自由。下次一定还去，谢谢老板！', '短评打分': 3}
{'短评内容': '非常愉快惬意的大理旅游住宿体验。一是位置方便，距离大理机场????，大丽高速都非常近。到大理古城、双廊都方便。二是属于家庭体验的别墅酒店，设施堪比五星级酒店，还有可以自己动手煮饭。为自己所爱的人做一次丰盛的早餐是多么难忘的回忆呀！三是老板待人真诚，细致周到！四是环境清新俊逸，一壶普洱、坐看苍山洱海云卷云舒，是一生难得的闲暇。五是家庭亲子游，情侣享受冬日阳光，夏日清凉之所！值得一住，今生的回忆！', '短评打分': 3}
{'短评内容': '环境很好，高档别墅群，家庭式，服务很好。', '短评打分': 5}
