{'短评内容': '还是可以的，楼下就是大海！', '短评打分': 4}
{'短评内容': '老板帅哥服务态度好，楼下就是饭店和沙滩，饭店晚上可以吃烧烤，然后带上烧烤坐在沙滩上边吃东西边吹海风，很是舒服！', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '去的时候比较早，里面没有牙刷牙膏之内的，自己带了所以没有找老板娘，服务很棒，帮忙把行李拿上楼，阳台可以看海，很漂亮，就是旁边在拆迁还是装修……', '短评打分': 4}
{'短评内容': '前台服务很好，尤其是服务员主动为客人行动方便着想。餐饮服务很好，尤其是大厨的鱼和蟹做的好。', '短评打分': 5}
{'短评内容': '纯粹海边房 晚上伴着海浪睡觉 ', '短评打分': 5}
{'短评内容': '很不错的一次入住，整晚都是大海的声音让我睡得心旷神怡，期待下次再来三亚的再次邂逅，还有九个字应该够了吧', '短评打分': 5}
{'短评内容': '环境很好，阳台外边就是大海沙滩，晚上听着海浪再喝点啤酒吃点烧烤，简直太完美了。酒店特别细心，柜台放着好多日常小用品，免费拿。还可以寄存行李，很不错的体验，很完美！', '短评打分': 5}
{'短评内容': '屋后就是海边，可耍可吃可喝。要求不高的首先', '短评打分': 5}
{'短评内容': '老板服务不错，亲自到机场接我们，住的地方也还好，就是虫子有点多，这里离机场倒是不远，不过离市区有点远，离天涯海角和西岛很近', '短评打分': 4}
{'短评内容': '我和老公很满意！    给我们的蜜月旅增加了美好的回忆……店家美女态度特别好……', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '如果生活品质高的人千万不要订这里，住了一晚的感受就是，能住这里的都是穷逼，厕所没水，晚上九点吵得要死，房间空调主机就在房间外面，没办法睡，土豆丝是土豆棍，第一次吃到放胡椒粉的拍黄瓜，老板敢用广西人做厨师也是大胆，听了前台的话坐摩托车到南山观音吹到发烧，如果不是生病真的会拖着行李住星级酒店，名宿真的不是人住的，太他妈差，差到极点，半夜三更一群没素质的人在阳台外面大喊大叫喝酒，真是他妈的受够了，走廊里', '短评打分': 1}
{'短评内容': '就在海边旁，下楼就到，可以看日出日落，非常漂亮，特别推荐酒店小炒套餐，实惠又美味，感觉比在外边吃的舒心。挑剔的人不适宜', '短评打分': 5}
{'短评内容': '喜欢 下次来就要多住几天 榻榻米超级推荐 距海0距离', '短评打分': 5}
{'短评内容': '还不错，卫生，方便，实惠', '短评打分': 5}
