{'短评内容': '很不错的一次购物体验', '短评打分': 5}
{'短评内容': '1', '短评打分': 4}
{'短评内容': '酒店很不错，性价比非常高', '短评打分': 5}
{'短评内容': '很好，很满意，酒店位子好，环境好，服务态度好。很值得推荐。', '短评打分': 5}
{'短评内容': '一般般一般般一般般', '短评打分': 4}
{'短评内容': '地理位置优越，服务到位', '短评打分': 4}
{'短评内容': '性价比非常高的一家酒店！', '短评打分': 4}
{'短评内容': '闹市区价格很划算了，真的不错哦，下次去还住这里', '短评打分': 5}
{'短评内容': '邻居介绍的，位置很好，靠近解放碑，步行街，小吃街，方便，附近很多酒店可选择，这里房间很宽敞，装修有点儿陈旧，洗手间很大，房内灯光暗，总体还不错。', '短评打分': 5}
{'短评内容': '将就吧，。。。。', '短评打分': 4}
{'短评内容': '非常不好', '短评打分': 1}
{'短评内容': '很好，超值，下次来重庆还会入住这里。', '短评打分': 5}
{'短评内容': '很好的酒店，有丰富的早餐', '短评打分': 5}
{'短评内容': '很方便服务好态度好，带同事来重庆玩，3人住的标间，服务员主动拿了一床被子过来', '短评打分': 5}
{'短评内容': '客服态度很好，及时解决问题，非常感谢！下次还通过京东预定，谢谢！', '短评打分': 5}
{'短评内容': '很不错的一次旅行，下次来这还住这家酒店', '短评打分': 5}
{'短评内容': '跟舒服的酒店，服务也很好，每次去都住在这儿', '短评打分': 5}
{'短评内容': '不错的酒店，还免费升级了房间。', '短评打分': 5}
{'短评内容': '酒店有点老，该房间比较旧。', '短评打分': 4}
{'短评内容': '第一次在京东上订酒店，酒店很不错，房间也大，住着很舒适，地理位置和周边交通极佳，性价比挺高。', '短评打分': 5}
{'短评内容': '酒店服务很好，楼下就是解放碑步行街。酒店大堂在七层，4个电梯在繁忙的时候还真要等一会儿。早餐很好，中西餐水果都有了。', '短评打分': 5}
{'短评内容': '环境一级棒', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错配送挺快，服务挺到位。', '短评打分': 5}
{'短评内容': '很不错，每次去重庆都会住这里。谢谢酒店员工把酒店打理得很舒适、整洁，各项服务都很贴心。', '短评打分': 5}
{'短评内容': '酒店地理位置很好  就在解放碑商业区内 但是设施卫生可能时间久了 一般 上次来重庆路过的以为在整栋楼都是他家的 挺高大尚 没想到汉庭等都在一起 瞬间颜值下降……', '短评打分': 5}
{'短评内容': '还不错～', '短评打分': 5}
{'短评内容': '枕头不舒服，太矮了', '短评打分': 5}
{'短评内容': '出行便利 空间大 卫生洁净 入住便利', '短评打分': 5}
{'短评内容': '经典、道地……多年前住过，没变，还是那么好！时光的记忆', '短评打分': 5}
{'短评内容': '早餐时工作人员主动告知刷微信可以优惠价格用餐，非常贴心。房间清洁人员及时为客人送上所需物品，打扫卫生认真。', '短评打分': 5}
{'短评内容': '酒店地理位置很好，房間稍微小一點', '短评打分': 5}
{'短评内容': '酒店位置方便', '短评打分': 4}
{'短评内容': '还好出差去的的周围很热闹出来就是解放碑晚上逛逛是极好的', '短评打分': 5}
{'短评内容': '不错下次还来', '短评打分': 4}
{'短评内容': '服务周到，房间价格合适', '短评打分': 5}
{'短评内容': '中规中矩的酒店，没有什么突出的印象，房间不算很新但还算干净。早餐还不错，品种在解放碑的4星酒店来说还是多的。', '短评打分': 5}
{'短评内容': '重庆大世界酒店真的不错哦。酒店位置很好，出门就是地铁站，右拐不远就是临江路公交站。而且酒店门前就就是出租车打车点，交通不是一般的方便。\n自助早餐很丰盛，服务也够好。客房虽然不是很新但很干净，一次性拖鞋很舒服，细节方面尤其值得称赞：床头柜下放着万一发生火灾时的防烟面具和照明用小手电。\n\n我们一家住的一套双人间、一套单人间，感觉单人间设施与性价比更好些。有些后悔，该订二套单人间了。\n\n前台的先生与小姐', '短评打分': 5}
{'短评内容': '位置好，环境好，服务也行，就是自己开车时不好找，我花了90分钟才将车开到地下停车场', '短评打分': 5}
{'短评内容': '很好哟，我觉得早餐热菜再多一点就更好了。相对下来，早餐很丰富了，我很喜欢。晚上会有蚊子，希望能改善。总体来说，很好，下次有机会还回去。', '短评打分': 5}
{'短评内容': '酒店位置好，逛街方便，房间大，自助早餐丰盛，品种多，另外，本人吃早餐时，不慎遗失手机，还能早回，令人感动，彰显服务人员素质高，赞！', '短评打分': 5}
{'短评内容': '酒店很棒！下次还住。', '短评打分': 3}
{'短评内容': '已成功入住舒适双人间～非常不错的一家四星酒店，性价比很高，地理位置优越，购物及交通都很方便。自助餐饮也丰富，而且不贵。强力推荐！（我是很挑剔的客人哦～我说不错就一定很赞哦！）', '短评打分': 3}
{'短评内容': '房间真的超级大，很好，早餐也喜欢，多种选择。每天早上都吃得饱饱的。特别喜欢牛肉面，特好吃。。。值得推荐，性价比真挺高的。', '短评打分': 5}
{'短评内容': '房间真的超级大，很好，早餐也喜欢，多种选择。每天早上都吃得饱饱的。特别喜欢牛肉面，特好吃。。。', '短评打分': 5}
{'短评内容': '条件还挺不错，卫生还很好。', '短评打分': 3}
{'短评内容': '位置好。性价比高，早餐也还好，打车特方便。', '短评打分': 5}
{'短评内容': '前厅接待人员缺乏最基本的职业素质，如:不是站列迎宾，脸上没有职业笑容，宾客站在面前只管自己做事，事后没说对不起让你久等之类的职业用语，如果我是神秘顾客，将建议开除此人!!!让人感动的是一楼的迎宾中年人和一位清洁大姐，一句倍感亲切的话，让我知道啥叫宾至如归。', '短评打分': 3}
{'短评内容': ' 酒店环境还不错，挺好的！', '短评打分': 3}
{'短评内容': '相当不错。四星级酒店，这个价格，很值。并且又在解放碑中心位置，交通方便，还包早餐。早餐非常好。推荐。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间很大，性价比不错！', '短评打分': 3}
{'短评内容': '酒店位置很好，在地铁口。房间很大，设施也不错。临近解放碑，购物逛街很方便。早餐比我想的要好。', '短评打分': 3}
{'短评内容': '地理位置很好，房间还算干净，只是空调显得有点不太给力。 ', '短评打分': 5}
{'短评内容': '酒店位置很好，在解放碑附近；酒店服务很赞，走的时候把数据线落下了，但后来服务人员还帮忙寄回北京了（尽管邮费比线本身还贵，MD，哭了……）；酒店设施很好，当时住的是特价房，位置可能稍微有点不好，窗外是个房顶。早餐很赞，自助餐，可选的东西很多，但烤面包机太慢，要等半天才能烤的焦一点。\nPS：感觉300多的特价房是很值的，正常是400多的价格，性价比就一般了。', '短评打分': 5}
{'短评内容': '地处黄金地段，虽然贵了一些，但还是很不错的，物品设施应有尽有，不错', '短评打分': 5}
{'短评内容': '位置没的说，但是设施太陈旧了。房间也不大。', '短评打分': 5}
{'短评内容': '位置很好，就在解放碑边上，旁边有2号线。房间挺大的，环境不错服务也好！', '短评打分': 3}
{'短评内容': '一般般。。。想订的酒店房间没有了。。就订了离开会地点最近的该酒店。。比较陈旧了。', '短评打分': 5}
{'短评内容': '商务高级房确实不错，就是不隔音啊！！', '短评打分': 3}
{'短评内容': '装修陈旧，是老酒店了，应该翻新一下了。不过位置真的是没的说，太方便了！', '短评打分': 5}
{'短评内容': '位置超级好，房间很大， 早餐很丰富 。就是酒店比较旧了，不过服务还不错', '短评打分': 5}
{'短评内容': '订的是558元的商务间，房间挺大的，设施良好，物有所值。酒店离解放碑很近，出行很便利。', '短评打分': 3}
{'短评内容': '酒店位于市中心，距离打望圣地解放碑近几步之遥，离朝天门码头也不远。四星的享受，三星的价格。入住的舒适单人间比较大，很安静。自助餐菜品比较丰富，服务也很贴心，我们去晚了就告诉我们可能有些菜不全了，征求我们意见。', '短评打分': 5}
{'短评内容': '酒店位置靠近解放碑，离朝天门码头也不远。入住的商务标准间很大，设施很到位的，窗户隔音很好，虽然在闹市区，一点也不吵。不过貌似房间里的什么都要收费，除了自己烧点开水……', '短评打分': 5}
{'短评内容': '不错，下次还来', '短评打分': 3}
{'短评内容': '酒店位置很好。一进房间很温馨', '短评打分': 3}
{'短评内容': '111111111111111111111111111111111111111111111111111111111111111111111111111111111 朋友说还可以', '短评打分': 5}
{'短评内容': '环境服务都还不错 但是房间太小窗子太小 重庆 压抑 500的房子都这样！', '短评打分': 3}
{'短评内容': '标准的四星级酒店，干净舒适，服务不错，早餐可以，位置才是王道，离解放碑只有50米！', '短评打分': 3}
{'短评内容': '1.位置极佳，就在解放碑步行街的入口，楼下有的士站，巴士站，轻轨站，对于旅行的人来说交通很便利，就是楼下正在道路施工，门口路稍差，但住在十几层完全没影响。\n2.大堂在7楼，装潢比较有档次，对得起4星级的标准，服务态度也不错，大堂边上还有免费的咖啡和红茶供应，十分贴心。\n3.一进电梯里有股很舒服的香味，走道都是厚厚地毯铺过，比较舒适。\n4.住的17楼，房间里有用电卡，不管人在不在房间都有电，下午ch', '短评打分': 5}
{'短评内容': '位置好，就在解放碑，服务也不错，值得推荐。就是入住的时候下面步行街在施工有点吵。', '短评打分': 5}
{'短评内容': '酒店可以，位置很中心。', '短评打分': 3}
{'短评内容': '有便利的地理位置。免费的早餐还行。果汁真的不行，都没味道的。', '短评打分': 5}
{'短评内容': '己在这家酒店住过3次了。地理位置非常方便，从北站打车只需18元且很快，楼下有好多路汽车站。出酒店左侧几十米就到步行街，商场购物很方便，更有一排小吃街在步行街内。酒店干净服务热情，唯一缺点就是电视还是老式大个的，希望下次再去住时已换了。', '短评打分': 5}
{'短评内容': '酒店不错！早餐也很好！推荐！', '短评打分': 3}
{'短评内容': '硬件设施和服务都不错！早餐也好！', '短评打分': 3}
{'短评内容': '去年10十一从丽江回来，路过重庆，住了一天，挺不错的，推荐', '短评打分': 5}
{'短评内容': '在商业中心，解放碑近邻，套房面积够大。缺点是：部分设施陈旧，比如卫生间内的，旁边搞建筑有点脏乱。', '短评打分': 3}
{'短评内容': '位置很好，内部设施也还行，服务可以，就是网速较慢，早餐一般。', '短评打分': 5}
{'短评内容': '设施老了一点，不过核心位置，出入方便，距离解放碑只有咫尺之遥，性价比高', '短评打分': 5}
{'短评内容': '酒店位置，设施都不错， 早餐质量也可以。', '短评打分': 5}
{'短评内容': '解放碑旁边。市中心。交通十分方便。离好吃街很近。', '短评打分': 5}
{'短评内容': '酒店总体上还不错·就在解放碑中心区·一下去就有很多吃的·', '短评打分': 5}
{'短评内容': '还不错·就在市中心·周边交通挺方便的·服务态度也相对较好·', '短评打分': 5}
{'短评内容': '地理位置很好，交通方便，环境也还可以，下次还会住的', '短评打分': 5}
{'短评内容': '地理位置很方便，其他就一般般了，不过为了方便还会再来的', '短评打分': 5}
{'短评内容': '很不错的酒店，下次还住！也会推荐给朋友住', '短评打分': 5}
{'短评内容': '位置很方便，房间也大，卫生间有小虫子。春节期间早餐不够。', '短评打分': 3}
{'短评内容': '出差选择了这里，还挺好的。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店位置非常好，大床房的空间感也不差，服务态度好。', '短评打分': 5}
{'短评内容': '感觉没以前好了，订了舒适一单间和舒适双人间，结果单间好小好小，还是舒适的标准啊，没搞懂怎么回事。还好最后要求换成了双人间。不过还是推荐吧。', '短评打分': 5}
{'短评内容': '交通很方便，靠着解放碑，酒店的硬件软件也都不错，推荐\n', '短评打分': 5}
{'短评内容': '總覺得沒以前好了，訂了2個房間，晚上11點去的，結果大床房間好小好小  還好換了一個標間。', '短评打分': 3}
{'短评内容': '我觉得服务还是很细致.就是前台服务人员不热情..不过这个不是该酒店特有的..', '短评打分': 5}
{'短评内容': '很好的酒店，服务、设施都很好，就在市中心，是旅游住宿的好选择；', '短评打分': 5}
{'短评内容': '酒店位置很方便，服务也很周到，房间浴室够大，就是床有点硬，电视有点旧款。。。总的来说还是不错的', '短评打分': 5}
{'短评内容': '多次入住了。好像都已经是一种习惯了。但是发现这次来涨价了。', '短评打分': 5}
{'短评内容': '房间整洁、宽敞，服务好，订房便捷', '短评打分': 3}
{'短评内容': '地理位置很好，重庆解放碑中心，出行逛街很方便。\n环境不错、服务也很到位。\n价格合理。', '短评打分': 5}
{'短评内容': '重庆出租很热情，酒店卫生干净温馨，还有苹果，很满意。', '短评打分': 3}
{'短评内容': '还不错，地段好，性价比不错，不错不错不错', '短评打分': 5}
{'短评内容': '环境不错，临街房有点吵。', '短评打分': 3}
{'短评内容': '交通很方便 服務人員態度很好\n就是燈光昏暗些\n其他都很好喔！', '短评打分': 5}
{'短评内容': '酒店不错交通方便周围出行环境也很好', '短评打分': 3}
{'短评内容': '房间大，设置也不错，但前台的态度有待改进，另外电视机太老了。', '短评打分': 5}
{'短评内容': '很好，方便，还有优惠。', '短评打分': 3}
{'短评内容': '有一个女的，年纪大约20-30岁之间，眼睛小，服务态度很差，业务不熟悉，给他提建议，还不高兴，大家注意啦', '短评打分': 5}
{'短评内容': '商务单间，确实很难用，电视节目也没有以前的丰富，电视还是老款的，', '短评打分': 1}
{'短评内容': '从位置来说，还是不错的，价格还算公道，不过酒店还是有些老了，一些设施不符合中国人的使用。', '短评打分': 5}
{'短评内容': '环境还不错，预订部还有点牛，。，。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总的说来还不错，房间大，设施齐备，下次还会考虑。', '短评打分': 5}
{'短评内容': '房间小，装修普通，还是老式电视 作为4星酒店  硬件设施不完善，服务也一般。', '短评打分': 1}
{'短评内容': '房间宽敞整洁，性价比高。出行方便，大门右手边桥下的面摊味道超赞，是商场门口那家，大小凳子别有特色，其它几家个人认为一般。', '短评打分': 5}
{'短评内容': '服务很不错', '短评打分': 3}
{'短评内容': '玩家不错，服务也好，有点小贵，但总体还不错~！！！！！11', '短评打分': 5}
{'短评内容': '空间大,位置好,很满意,下次还入住', '短评打分': 3}
{'短评内容': '解放碑中心地带，下次还会去，很适合商务出行', '短评打分': 5}
{'短评内容': '不错，交通方便，市中心繁华地带，购物也方便', '短评打分': 5}
