{'短评内容': '没有早餐，不能加床，不適合帶孩子，酒店位置在旺區，但遠離地鐵站，没有停車場。往羅湖口岸有公交車直達。', '短评打分': 4}
{'短评内容': '酒店位置较好，离老街地铁站很近，前台帮我们免费升级了标双。下次也会考虑再去', '短评打分': 5}
{'短评内容': '很好，空间很大，环境也不错！', '短评打分': 5}
{'短评内容': '很好，非常喜欢，下次再来！', '短评打分': 5}
{'短评内容': '很好，非常满意，下次再来！', '短评打分': 5}
{'短评内容': '很喜欢，环境很好，下次再来！', '短评打分': 5}
{'短评内容': '很喜欢，环境很好，下次再来！', '短评打分': 5}
{'短评内容': '很喜欢，环境很好，下次再来！', '短评打分': 5}
{'短评内容': '非常不错，很喜欢，一次再来！', '短评打分': 5}
{'短评内容': '很好，非常满意，下次再来！', '短评打分': 5}
{'短评内容': '挺满意的，环境很好，很干净，经常住！', '短评打分': 5}
{'短评内容': '很好，非常喜欢，下次再来！', '短评打分': 5}
{'短评内容': '很好，非常喜欢，下次再来！', '短评打分': 5}
{'短评内容': '很好，非常喜欢，下次再来！', '短评打分': 5}
{'短评内容': '环境好', '短评打分': 5}
{'短评内容': '不错，环境挺好的，设备也齐全，离东门步行街也不算远', '短评打分': 5}
{'短评内容': '这个价格就不要期待太多了，我是因为报名考试在电大，这个酒店比较近，所以订的。设施服务什么的，一般般，因为临街所以有点吵。', '短评打分': 3}
{'短评内容': '生活圈 交通便利 服务亲切', '短评打分': 4}
{'短评内容': '生活圈 交通便利 服务亲切', '短评打分': 4}
{'短评内容': '生活圈 交通便利 服务亲切', '短评打分': 4}
{'短评内容': '交通、生活便利', '短评打分': 4}
{'短评内容': '靠路边，以为除了车子的响声就没有别的了，结果早上7点左右还有装修的嘈杂声。', '短评打分': 3}
{'短评内容': '位置很好&amp;#183;交通方便，主要外面吃的地方也多&amp;#183;早餐也有，我是去考试的过去深大继续教育学院&amp;#183;很近&amp;#183;走2分钟就到了。但是床有点硬，而且很吵', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '商务出差', '短评打分': 3}
{'短评内容': '离地铁站很近，但是房间很小，还算干净吧，这个价格蛮划算了', '短评打分': 4}
{'短评内容': '在东门那一块，算是很超值的住宿了，里面的设施还不错，挺好，下次还会选择！', '短评打分': 4}
