{'短评内容': '房间比较小，价格也还行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '太一般了，也便宜', '短评打分': 5}
{'短评内容': '这酒店一股烧烤味不能住', '短评打分': 2}
{'短评内容': '酒店位置不错，周围交通吃饭都方便，店内房间也挺多的，住进去的时候里面比较宽敞，但是床单比较旧，毛巾也是，最让人忍受不了的事隔音太差了！晚上睡觉不断有抽水马桶声，淋浴声，各种有的没的声音。。。也是醉了', '短评打分': 4}
{'短评内容': '服务很周到，隔音效果不太完美，地理位置属于市中心，交通方便，房间设施齐全，房间各个方面的卫生很好，没有污渍', '短评打分': 5}
{'短评内容': '服务特别好，每天住的，环境也很不错，唯一的缺点就是WiFi信号弱，其他的都是满星好评，满分，，，，。', '短评打分': 5}
{'短评内容': '交通方便，吃的也多，出差基本会住这里，服务人员也很好', '短评打分': 5}
{'短评内容': '纯粹睡觉还可以。早餐很简单，周边有很多小吃档。交通还较方便，对面是中冶华天。', '短评打分': 3}
{'短评内容': '马院对面，还是比较方便的', '短评打分': 4}
{'短评内容': '总之非常非常好，能给人回家的感觉', '短评打分': 1}
{'短评内容': '非常人性化的小酒店，总之非常好', '短评打分': 1}
{'短评内容': '非常好的出差和自费出游的酒店！', '短评打分': 1}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '环境挺好，经济实惠就是没窗子。空气不是很流通', '短评打分': 5}
{'短评内容': '一般的很酒店，而且位置一般，就是价格相当的便宜', '短评打分': 5}
{'短评内容': '有点价格优势，交通还算可以，房间味道比较大，其他没什么可说的，很一般！！', '短评打分': 5}
{'短评内容': '酒店很舒适  服务很好 早饭也不错 环境也干净', '短评打分': 5}
{'短评内容': '很经济实惠  早餐不是很好 毛巾不是很干净', '短评打分': 5}
{'短评内容': '温馨 舒适 总体来说性价比很高 房间很大', '短评打分': 5}
{'短评内容': '不错，干净温馨', '短评打分': 3}
{'短评内容': '?还不错了', '短评打分': 3}
{'短评内容': '同事出差预订的宾馆，离办事地点较近，交通也方便，以后出差都会预订这家连锁宾馆了。', '短评打分': 5}
{'短评内容': '很好隔音不太好，挺便宜的，，，，，，，，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '简单快捷性价比很高，就是房间有点小，对出差人士来说是个不错的选择，', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比高，就是房间小了，对出差人士来说还是不错的选择，', '短评打分': 5}
{'短评内容': '条件不错，就是房间气味不好，笔记本上网登录不上', '短评打分': 5}
{'短评内容': '总体感觉一般，卫生比较干净，但隔音效果不是很好，前台脸臭臭的，看不到笑容，感觉不是很舒服', '短评打分': 1}
{'短评内容': '很不错！就是早饭确实老一套！房子还算干净！网线也有，设备还还过的去！主要是办事方便！', '短评打分': 5}
{'短评内容': '还不错的酒店，交通方便，就在火车站和长途汽车站附近，性价比很高啊！', '短评打分': 5}
{'短评内容': '除了吹风机没借到以外没什么问题，总体来说还算满意', '短评打分': 5}
{'短评内容': '服务还算不错，房间也算干净，总体来说还是不错的', '短评打分': 5}
{'短评内容': '环境不错，蛮干净的，设施齐全，总体来说对得起这个价格，性价比很高', '短评打分': 5}
{'短评内容': '前台服务员态度好，出行方便。', '短评打分': 3}
{'短评内容': '酒店大厅还是不错的,尤其是有两台电脑,可以方便没带电脑住客随时查一些东西.酒店内服务也还不错,就是酒店内的毛巾还有床单什么的总感觉不干净,硬绑绑的.早餐也超简单.不过我要求也不高,早餐还算凑和.', '短评打分': 5}
{'短评内容': '酒店地理位置不错，房间采光挺好，对卫生条件感觉也较满意。相比早餐的品种比较单一了。', '短评打分': 5}
{'短评内容': '还可以 能住住 就是隔音实在是有点那个 服务可以 有些房间手机信号不好', '短评打分': 5}
