{'短评内容': '服务态度非常好，不错的酒店！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '在一个大杂院内，和7天等5、6间酒店都在一起，大床房费168，比7天便宜，公共露天停车场只有20多个车位，要10元一天，有人看守。电梯上只有4楼一层房间，房内装修简单，还算干净安静，就是卫生间有轻微臭味，一晚都将排气扇开着才好，热水量不大，没有在7天那样冲击的感觉，而且只有沐浴露，没有洗发水，不知是否忘配了，订住的房间门锁坏的，窗锁也坏了关不住，问热情的老板娘，说安全没事，晚上睡觉用椅子顶着，窗户', '短评打分': 4}
{'短评内容': '空调是热的一直出的热风  纸巾质量差还少 本来说室友四个人一起住一张床明明之前打电话给她她可不是这么说的 之后到店还给我们加了40 每晚收了20  乱收费灯光太暗了 毛巾好脏那种黄黄的那种  重要的是 没有窗户没有窗户没有窗户  空间密闭差评 超级差评 以后都不想住这种宰人的旅馆  节假日乱叫价  隔音效果差 早上没有冷水刷牙 洗澡间那窗帘还拉不上 真是够了 没有洗发水 给我们加钱了还这种服务 而', '短评打分': 1}
{'短评内容': '很好喔！', '短评打分': 5}
{'短评内容': '第二次到长沙住这酒店，环境还可以，房间很大很好，WiFi很给力，周边吃饭和出行很方便，地铁袁家岭和迎宾路口出来都可以走路几百米就到啦。', '短评打分': 3}
{'短评内容': '很基础型的酒店，这个价格略高', '短评打分': 4}
{'短评内容': '周围交通较方便 前台服务人员也很细心 就是普通小旅店', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '真差！', '短评打分': 2}
{'短评内容': '位置好，房间也不错，很便宜。', '短评打分': 4}
{'短评内容': '不错的酒店。里面卫生很好、服务态度也不错、总体还不错、下次还会去住。', '短评打分': 5}
{'短评内容': '不错的酒店。里面卫生很好、服务态度也不错、总体还不错、下次还会去住。', '短评打分': 5}
{'短评内容': '位置有点偏。打电话问前台也说不清、着实让我好找。不过住的卫生啊。环境啊都OK、只有厕所那个门不好开。其他都好！', '短评打分': 5}
{'短评内容': ' 位置有些不好找 与门牌号码不一致', '短评打分': 3}
{'短评内容': '很难找，交通不方便，就跟80年代的筒子楼差不多，不过房间还能将就，就是出行很是不变', '短评打分': 1}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '你们上面所说的宾馆不存在，我找到那个地址是个不如流的小旅馆', '短评打分': 3}
{'短评内容': '服务态度良好，房间内环境不错，交通比较便利。', '短评打分': 5}
{'短评内容': '服务不错  值得推荐！', '短评打分': 3}
{'短评内容': '新房，房间干净卫生，距火车站约二站路，比较方便，房价也公道。不足之处是门外标志不明显，不太好找。', '短评打分': 5}
{'短评内容': '很干净,卫生.价格也合适.前台服务员胡喜连不但人美,而且很热情,就象自家的亲人.酒店位置也好,离车站有两站的路,出行很方便.', '短评打分': 5}
