{'短评内容': '差差差差好差', '短评打分': 1}
{'短评内容': '还行挺好啊', '短评打分': 5}
{'短评内容': '没有早餐', '短评打分': 1}
{'短评内容': '很不错的酒店 服务到位', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '真的不会再住这家酒店了，连着住了三天，说是24小时热水，第一天就是早上和晚上来了一会儿热水，剩下两天根本没有热水，说是WIFI全覆盖，手机根本连不上，带着电脑准备玩累了去撸几把，网线也不好使，真的了，没住过这么差劲的酒店，还不如80块钱一晚上的小宾馆', '短评打分': 2}
{'短评内容': '酒店环境不错，但太偏远，没人气，离本溪市区及旅游景点太远，只好住一晚离开，', '短评打分': 4}
{'短评内容': '可惜没去住，', '短评打分': 5}
{'短评内容': '可惜没去住', '短评打分': 5}
{'短评内容': '环境有点偏僻，但是酒店不远就是医院很方便，离车站也近，酒店服务的话就一般了，很大的一个酒店，前台就一个，然后就…希望人会多起来吧', '短评打分': 4}
{'短评内容': '很好，这回发票马上给开了！！！', '短评打分': 4}
{'短评内容': '酒店人气寥寥，可能是和新区的偏远位置有关系吧，所以酒店的工作人员也很少见。诺大的接待处只有一个前台，而且还要去别处帮忙。接手的前台（可能是保安吧）非但态度极度不耐烦，而且也不熟悉入住办理流程。  酒店在入住时未通暖气，空调也不制热，晚上房间里非常冷。临时配备的暖风机制热效果基本可以忽略，但噪声无法忽视。  只有房间内的卫生还算可以。  二楼餐厅因为长久没有生意所以到傍晚5时也没有开灯，仅有一名服务', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '位置太偏，五点后没饭吃，住宿环境可以，没有暖气', '短评打分': 4}
{'短评内容': '房间太冷，人太少，太冷清，没有晚饭和午饭！', '短评打分': 3}
