{'短评内容': '有水果', '短评打分': 4}
{'短评内容': '干净，也很安静，当地老牌，挺棒的！', '短评打分': 5}
{'短评内容': '中规中矩的酒店，挺不错的', '短评打分': 4}
{'短评内容': '还好了，再接再厉啊！！！！！！！房间还是挺宽敞的，这是第二次入住该酒店，附近购物吃饭比较方便，离火车站也很近', '短评打分': 4}
{'短评内容': '平阳最好的酒店了，性价比高，商旅出差只有选择这家酒店，不能跟大城市的星级酒店比较，在平阳选择这个就可以了。', '短评打分': 5}
{'短评内容': '出差很合适, 位置打车都很方面，在商业区出门很方便。家庭旅游也很方便，还有无线，早饭也还行,还不错，标准4星,床单很干净，床和枕头很舒服', '短评打分': 4}
{'短评内容': '房间卫生还可以', '短评打分': 5}
{'短评内容': '挺好的，就是早上赶车早饭来不及了', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '酒店虽然在当地是最好的，但是各方面还是稍微显得档次有点低，但没有办法，下次还会住。', '短评打分': 3}
{'短评内容': '硬件还行，早餐还真的很差，不过应该是平阳最好的酒店了', '短评打分': 4}
{'短评内容': '酒店卫生清洁，服务热情适宜，出行方便，早歺不错，性价比高，适合商务出差!值得推荐!', '短评打分': 4}
{'短评内容': '鳌江最好的酒店 一公里内有许多吃饭的地方 方便', '短评打分': 5}
{'短评内容': '鳌江最好的酒店 商务出行首选', '短评打分': 5}
{'短评内容': '干干净净 鳌江目前最好的酒店', '短评打分': 5}
{'短评内容': '酒店不错，就是早餐太少，不过价格比还是不错的，下次再来', '短评打分': 5}
{'短评内容': '酒店不错，下次再来', '短评打分': 5}
{'短评内容': '平阳国际大酒店环境很好 房间空间也不错', '短评打分': 5}
{'短评内容': '在当地算是最好的一家酒店了，因为出差所需，就定了那里。\n如果单人间能够便宜些就好了。住的标准间，整洁度很好，但设施一般，网络经常掉线。\n早餐不错', '短评打分': 5}
{'短评内容': '是到鳌江码头很近的一家宾馆，在平阳应该是最好的吧，还不错，称得上四星，早餐很丰盛。', '短评打分': 5}
{'短评内容': '酒店不错，比较喜欢。下次去还是会考虑入住的。', '短评打分': 5}
{'短评内容': '别人帮忙定的，还可以，当地最好的酒店了!。', '短评打分': 5}
{'短评内容': '平阳最好的酒店，也是唯一一家四星级酒店。先说整体感觉好的：内部装修很好，房间比较大，床软，网速不错。再说有所欠缺的：酒店位置偏，电梯内有很强的压迫感（感觉很不爽），浴巾比较旧，早餐一般，前台服务人员业务不熟练，房间内洗浴水温难控制。如果在平阳，没得别的选择，只有它了。', '短评打分': 5}
{'短评内容': '垃圾四星垃圾四星，房间装修老，服务人员专业知识不熟练，叫的餐感觉不是很新鲜。。。。总之不会住啦', '短评打分': 1}
{'短评内容': '平阳国际大酒店（温州平阳）给我的印象很好,没想到在县下面的敖江镇里还有这么好的酒店，更主要的是他们的服务很周到，温心。比如可以点餐送到房间，价格还公道。给旅客很多方便。谢谢你们。', '短评打分': 5}
{'短评内容': '酒店设施挺旧的，早餐也一般。但是地理位置还是蛮方便的。', '短评打分': 5}
{'短评内容': '酒店不错，比较喜欢。下次去还是会考虑入住的。', '短评打分': 5}
{'短评内容': '不是自己住的，没听有啥不满意，应该还不错，平阳估计也就这个还可以了。。', '短评打分': 5}
{'短评内容': '房间设施太拥挤 关键是插座竟然只有一个！！！现在的人哪个不身上带俩充电器，手机 相机 笔记本 IPAD 等等 难道让我带块接线板在身上？ 最搞笑的是 光有插座 没有电有啥用？？', '短评打分': 1}
{'短评内容': '在平阳来算可能还算可以吧，设施一般，有点旧，服务态度还好，但感觉跟4星还有点差距', '短评打分': 5}
{'短评内容': '酒店还是不错的，四星的。周围位置差了些，有待开发状态。', '短评打分': 3}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '很不错的酒店，重新装修过了！很不错的酒店，重新装修过了！', '短评打分': 5}
{'短评内容': '服务热情，，一个素质良好，房间卫生干净，下次仍然选择入住这家酒店，', '短评打分': 5}
{'短评内容': '服务一般环境也一般般', '短评打分': 3}
{'短评内容': '入住过多次，没有其他人评价的那么差，但还是希望酒店各方面可以做得更好，平阳实在也没什么太好的酒店。', '短评打分': 5}
{'短评内容': '虽是4星的酒店，但只有2星的硬软件，酒店设施陈旧，甚至破损严重', '短评打分': 1}
{'短评内容': '酒店室内环境尚可，停车场也较大，但酒店周围环境较差，服务也一般。', '短评打分': 5}
{'短评内容': '交通方便，干净，房间的被子很舒适，羽绒的。只是走廊里有白酒的味道。酒店应该有能力除味。早餐可以接受。', '短评打分': 5}
{'短评内容': '很不错的酒店，前台工作人员也热情，房间干净，自助早餐也不错。\r\n', '短评打分': 5}
{'短评内容': '好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！好！', '短评打分': 3}
