{'短评内容': '房间不错，很超值', '短评打分': 5}
{'短评内容': '酒店设施齐全，就是卫生打扫的有点儿差，早餐去吃了一次就够了。不能加床。适合带孩子，空间挺大的，总体还可以', '短评打分': 5}
{'短评内容': '比较差，房间靠着马路还有空调压缩机的声音吵得要命', '短评打分': 2}
{'短评内容': '位置还是不错，去景区南门北门都很方便，出门就有公交车站。不过只能12点前退房，一点也不能延长。房间的衣橱架是坏的，酒店里面我的房间收不到无线网络，只能去大堂上网', '短评打分': 4}
{'短评内容': '位置还是不错，去景区南门北门都很方便，出门就有公交车站。不过只能12点前退房，一点也不能延长。', '短评打分': 4}
{'短评内容': '很不错，环境干净卫生！出差入住不错！', '短评打分': 5}
{'短评内容': '服务一般，五百多的房间还没标大，什么都没有，连矿泉水都没！', '短评打分': 3}
{'短评内容': '地理位置在闹市区，房间比较干净，前台小妹还免费提供了电蚊香片，很温馨', '短评打分': 5}
{'短评内容': '位于三姑度假区中心位置，去南入口5站公交，北路口6站公交，酒店服务很不专业，什么都是一般，不会再选择。', '短评打分': 3}
{'短评内容': '在6路公交途经站上，去景区南路口5站公交，酒店所处位置交通算方便。酒店空调有问题调高了还是冷的，洗澡水忽冷忽热把人烫死，办完入住去房间居然还在打扫，前台怎么也不通知下害的人白跑，入住时候酒店厕所地板好多头发又湿又脏，厕纸少的可怜，还少了2把牙刷，出门玩时跟前台说了补牙刷，全是敷衍，回来时候还没补，定的房间不含早，早晨打电话问前台买早晨票，说要自己下去拿，结果跑下去了，说直接付钱给餐厅就行了，不用拿', '短评打分': 3}
{'短评内容': '旺季人多，订不到更好的房了，算是还行吧', '短评打分': 5}
