{'短评内容': '真不错', '短评打分': 5}
{'短评内容': '酒店位置交通方便！', '短评打分': 5}
{'短评内容': '位于花果园立交桥下，很方便就可以找到，酒店的招牌很显眼。前台办理入住很快，服务热情。房间内设施齐全，整洁干净。早餐还是不错的，如果品种再增加些那就更好了。总的话来，值得推荐入住，性价比高，网上预定的价格实惠。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '很好，', '短评打分': 5}
{'短评内容': '挨着马路，比较吵餐厅饭吃不习惯，多辣餐厅服务生小伙子态度特别好，服务特别好', '短评打分': 4}
{'短评内容': '性价比高，值得入住', '短评打分': 5}
{'短评内容': '环境不错，值得入住', '短评打分': 5}
{'短评内容': '长期住客！', '短评打分': 5}
{'短评内容': '长期住客！', '短评打分': 5}
{'短评内容': '环境不错，性价比高。', '短评打分': 5}
{'短评内容': '好，环境还不错，交通也方便，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '很好?????，', '短评打分': 5}
{'短评内容': '很好?????', '短评打分': 5}
{'短评内容': '价格比较便宜，然后环境还不错吧，可以说是三星级的标准', '短评打分': 5}
{'短评内容': '好好好好好好好好谢谢商家。很好，很实惠。还会光临的。还会购买的，谢谢商家。', '短评打分': 5}
{'短评内容': '环境不错，服务态度好，周边环境可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位于市中心交通非常便利，门口设有停车场且有专人看护，房间整洁有序闹中取静，价格适中且服务水准非常高物超所值。', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '不错哟，停车方便，酒店服务员也非常客气', '短评打分': 5}
{'短评内容': '经常来贵阳出差，离办事处比较近，早点起床吃早餐挺好的。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '多次入住。早餐简单', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '总体来说还可以，就是难找', '短评打分': 5}
{'短评内容': '环境不错，就是临街的房间吵了点', '短评打分': 3}
