{'短评内容': '床单有点脏，走楼梯。', '短评打分': 3}
{'短评内容': '不错，很好，老板人不错', '短评打分': 5}
{'短评内容': '在酒吧街旁边，停车很方便，房间很大，靠河边', '短评打分': 5}
{'短评内容': '无早餐，停车收费20元，位置近景点，老板娘耐心，态度好，下回来同里会挑选平时来，这样性价比会更好更高的。', '短评打分': 5}
{'短评内容': '服务很好  老板人不错', '短评打分': 5}
{'短评内容': '酒店非常干净、老板热情周到，过个小桥走一小段就到景区了，房间紧临小河，环境不错。', '短评打分': 5}
{'短评内容': '临时决定开去同里，携程预订了三家才成功，这家位于景区入口外不远的地方，楼下就是酒吧街，晚上稍微有点歌声，还可以接受，房间比较干净卫生，老板和老板娘都很热情，拖鞋质量太差需要改进，沾水很滑', '短评打分': 5}
{'短评内容': '就在景区东南门口，进出很方便', '短评打分': 5}
{'短评内容': '整体不错。', '短评打分': 4}
{'短评内容': '整体不错。', '短评打分': 4}
{'短评内容': '就在景区内，出行方便，设施一般般', '短评打分': 4}
{'短评内容': '十一去的，网上订的，小旅馆，图片有P', '短评打分': 4}
{'短评内容': '老板人好，环境也不错，就是因为节假日价钱有点贵', '短评打分': 5}
{'短评内容': '热水不热 水量太小', '短评打分': 4}
{'短评内容': '特别特别干净，1.8米的床好舒服，网络电视台很多很多，还有很多的免费电影，位置很好离景点很近很方便。棒！！！', '短评打分': 3}
