{'短评内容': '位置很好找，紧邻溪水，院子也很精致。', '短评打分': 5}
{'短评内容': '这家店环境挺好的', '短评打分': 5}
{'短评内容': '很方便位置优越', '短评打分': 5}
{'短评内容': '环境优雅位置佳', '短评打分': 5}
{'短评内容': '位置好找，靠河边比较清静，出游也方便，在古城内，客栈由三个帅哥打理，并且性格开朗热情，也会帮忙推荐好吃的好玩的各种服务，很不错', '短评打分': 5}
{'短评内容': '客栈位置不错，闹中取静。客栈内有一个很大的院子，客人能够坐或躺下来放松，看书，忘记忙碌的工作。老板小廖人挺朴实，再养条傻狗就更好了。', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '是6月初去的丽江，回来厦门后一直忙碌，现才上来补上点评，客栈是很有特色的纳西庭院，院子超大，阳光很充足，适合发呆晒太阳的好地方。院子中间还有一棵苹果树，客栈的服务很到位，老板也很好，位置在古城区，清幽，安静，出门有溪水潺潺。住了二天，第二天在网上续订弄错房型，老板免费升级了阳光房，感觉很温馨。喜欢丽江，喜欢阳光花园，以后还会来。  ', '短评打分': 5}
{'短评内容': '是6月初去的丽江，回来厦门后一直忙碌，现才上来补上点评，客栈是很有特色的纳西庭院，院子超大，阳光很充足，适合发呆晒太阳的好地方。院子中间还有一棵苹果树，客栈的服务很到位，老板也很好，位置在古城区，清幽，安静，出门有溪水潺潺。住了二天，第二天在网上续订弄错房型，老板免费升级了阳光房，感觉很温馨。喜欢丽江，喜欢阳光花园，以后还会来。    ', '短评打分': 5}
{'短评内容': '十分糟糕。定了该酒店，去了却没有房子，气死我了。', '短评打分': 1}
{'短评内容': '很不错的一家客栈值得推荐。', '短评打分': 5}
{'短评内容': '很不错的一家客栈值得推荐。', '短评打分': 5}
{'短评内容': '很不错设施也很新，老板一家很热情，性价比很高，下次还会住。', '短评打分': 5}
