{'短评内容': '房间很大，交通便利，离北京站挺近，不错', '短评打分': 5}
{'短评内容': '位置非常方便，设施齐备，全羊餐非常地道。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '位置挺好，去天安门广场很方便', '短评打分': 4}
{'短评内容': '离王府井很近，找吃的又方便，酒店卫生干净，服务很周到。下次来会继续订房', '短评打分': 5}
{'短评内容': '可以可以可以 旁边吃饭贼方便', '短评打分': 5}
{'短评内容': '还可以吧 不勉强 贵', '短评打分': 5}
{'短评内容': '京东酒店真的便宜。比门市价能便宜好几百快。下次还用京东订', '短评打分': 5}
{'短评内容': '酒店干净卫生，再北京这个地段房价算便宜的。而且停车才30其他酒店都太贵啊', '短评打分': 5}
{'短评内容': '房间挺新的，设施不错环境好', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '服务很不错', '短评打分': 5}
{'短评内容': '一如既往的不错选择，离王府井比较近，购物吃饭都挺方便的，就是早餐一般，其他都还好啦，会介绍给来北京的朋友的。', '短评打分': 5}
{'短评内容': '酒店房间很大、位置也可以、但服务还是一股浓浓的国企作风、不敢恭维，奈何其他条件还可以', '短评打分': 4}
{'短评内容': '第二次入住了，整体很不错，位置很好去哪都很方便。', '短评打分': 5}
{'短评内容': '第二次入住了，整体很不错，位置很好去哪都很方便。', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 4}
{'短评内容': '酒店房间非常好！', '短评打分': 5}
{'短评内容': '位于金宝街，还不错。', '短评打分': 4}
{'短评内容': '出行方便，但停车太困难，周边太堵', '短评打分': 4}
{'短评内容': '订的无烟房 结果都是烟味 所谓的无烟处理就是拿空气清新剂喷喷 只好开窗睡了 ，另外房间隔音不好。', '短评打分': 3}
{'短评内容': '房间够大，装修不是很新了，早餐也收的不晚，胜在地段和性价比', '短评打分': 4}
{'短评内容': '2回目の利用です！とても綺麗な部屋でまた利用します！', '短评打分': 5}
{'短评内容': '临近天安门。到公司方便。金宝街上吃的很多。', '短评打分': 4}
{'短评内容': '环境好 经常来', '短评打分': 5}
{'短评内容': '餐饮配套有待提高！', '短评打分': 4}
{'短评内容': '酒店位置优越，设施较新，房间干净宽敞，只是服务管理略显松散。', '短评打分': 4}
{'短评内容': '酒店卫生很干净，不错的酒店。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '比较新，位置好方便！', '短评打分': 5}
{'短评内容': '满意满意满意满意满意满意满意满意满意满意满意', '短评打分': 5}
{'短评内容': '该酒店条件很好舒适，很满意。', '短评打分': 3}
