{'短评内容': '有车接送  服务态度不错   性价比还可以', '短评打分': 5}
{'短评内容': '总是出差在外地住酒店，还是头一回在北京住，就是为了赶早班飞机。同等价格，在外地，硬件条件要好很多。', '短评打分': 4}
{'短评内容': '大家可以做机场大巴或者地铁到航站楼，然后电话酒店，酒店去接，这样比较方便，如果自己搭车到店，的确很麻烦。\n房间的家具的味道有点重。', '短评打分': 5}
{'短评内容': '酒店有车接送机场，赶早班机很方便，但位置也很偏僻，感觉酒店外不安全', '短评打分': 5}
{'短评内容': '酒店非常干净也非常安静，吃早餐非常方便餐厅就在楼下，下次还去那里入住，以前住过很多比如空港  宜必思之类的  价格比这个高 还没有这个好  非常推荐这个酒店', '短评打分': 5}
{'短评内容': '   挺不错的，离机场近，还有车接送。就是不好找', '短评打分': 3}
{'短评内容': '性价比较高的宾馆。房间很干净。离T3航站楼也近，但是听不到飞机起飞的声音。还有送机服务。下次还来住。', '短评打分': 5}
{'短评内容': '稍微偏僻了点，不错服务真不错，硬件设施有点老化，希望下次能改进吧', '短评打分': 5}
{'短评内容': '住宿条件还行，就是地方台偏远了，门口有935路的公交总站，乘车出去到东直门要近1小时，热水不热，设施比较陈旧，其他还一般吧，前台那个男的服务比较差，其他都还行吧，三楼的房间台热，建议还是住二楼比较舒适点', '短评打分': 5}
{'短评内容': '早机场很快，有接送服务。洗澡水不热，挺考验人的。你去前台开房的时候态度很好，电话叫你起床的时候态度就很差。去了就不要想在外面逛了，酒店在一个小村里。晚上再外面走挺害怕的。', '短评打分': 5}
{'短评内容': ' 非常干净，设施较新，服务非常热心，早饭合胃口。', '短评打分': 3}
{'短评内容': '酒店条件一般，装修家具有些旧了，还在离T3航站楼很近，还有接送机服务，适合赶飞机的朋友。', '短评打分': 5}
{'短评内容': '宾馆环境很好，服务很周到，服务态度完美！', '短评打分': 3}
{'短评内容': '离机场很近，有餐厅，饭菜还可以！住着安静！', '短评打分': 5}
{'短评内容': '太一般了，电梯都没有，有行李旅客没法住', '短评打分': 3}
{'短评内容': '离T3挺近的，房间还可以，就是电视收不来中央5.', '短评打分': 5}
{'短评内容': ',酒店不错，接送机服务很好，是转机短期居住的好选择！', '短评打分': 3}
{'短评内容': '随机接机服务，热情周到。整点送机服务，准时有效。', '短评打分': 5}
{'短评内容': '该酒店确实值得推荐，理由有两点，一是卫生条件比较好，远远超过同等其他的的宾馆；二是服务人员到位还有质量，服务态度也比较好让人很温馨。所以我极力推荐并会简绍我的亲戚及周围所有的朋友来此地居住。最后说一句，谢谢“汇海宾馆”！', '短评打分': 5}
{'短评内容': '酒店基本满足转机，暂住的要求。下次转机的话，还住这家酒店。', '短评打分': 5}
{'短评内容': '感觉挺好，价格实惠，服务也很好，有接机送机服务。离机场挺近，不过直接从市里来司机可能不知道怎么走，可以在过收费站时让司机问问路。', '短评打分': 5}
{'短评内容': '干净卫生，房间大，服务态度好，就是有点偏。', '短评打分': 5}
{'短评内容': ' 不错？接送机方便', '短评打分': 3}
{'短评内容': '经常出差入住首都机场附近的旅馆，总体情况还算不错，推荐一下！', '短评打分': 5}
{'短评内容': 'ting hao. 从飞机场 很近. 设备不错', '短评打分': 5}
{'短评内容': '环境很好，卫生干净，温度很热。', '短评打分': 3}
{'短评内容': '还不错，距离机场很近，环境还行，地理位置优越。', '短评打分': 5}
{'短评内容': '一般，就是为了那些当天下午或傍晚到北京，又要赶第二天一早飞机的人临时休息一晚的小旅店.', '短评打分': 5}
{'短评内容': '硬件还可以吧，但服务环节较差，打扫房间不及时，物品不齐全、不及时更换。只负责接送一次，再要求就收费比较贵，对客人入住房间规定生硬。', '短评打分': 1}
{'短评内容': '人员服务态度很好很周到，但是房间蚊子非常多，并且酒店的位置非常偏，很难找', '短评打分': 1}
{'短评内容': '有接送机服务，服务太度很好，三星标准间，价格低廉', '短评打分': 5}
{'短评内容': '酒店很难找!而且屋内设施很陈旧！早点太简单啦', '短评打分': 1}
{'短评内容': '性价比最差的酒店，住了一晚冻醒了好几次，设施陈旧，我觉得再减去120是这个旅店的最佳价格，严重不推介，以后也不会在住这里了', '短评打分': 1}
{'短评内容': '接送机服务好。床硬。新酒店。住一晚很方便，下次还住。', '短评打分': 5}
