{'短评内容': '房间挺好的', '短评打分': 5}
{'短评内容': '还可以         每次都住这', '短评打分': 5}
{'短评内容': '还行 早餐太简单了', '短评打分': 4}
{'短评内容': '干净卫生，早餐还行', '短评打分': 4}
{'短评内容': '很好，服务满意，房间质量也很满意，床很打，哈哈', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '只是停车场是公共的，且离酒店稍有距离，其他都还不错！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '我们出行较喜欢连锁快捷酒店，服务好、装修风格、房间色调是我们最喜爱的。出行在外，快捷酒店是好的选择哦。', '短评打分': 5}
{'短评内容': '电视中央台频道少，网络不稳定。', '短评打分': 4}
{'短评内容': '除地毯脏、下水道有味儿、早餐简单外其它均可。', '短评打分': 4}
{'短评内容': '味道太大，太晚了只能将就住一晚。', '短评打分': 4}
{'短评内容': '卫生间下水道有味道，地毯不干净，早饭简单。', '短评打分': 4}
{'短评内容': '方便停车，周边吃饭也方便，不错', '短评打分': 4}
