{'短评内容': '还 行', '短评打分': 2}
{'短评内容': '周围太吵，地毯有水', '短评打分': 4}
{'短评内容': '这是笫二次住了，但这次感觉不好。一是一进入房间异味太大了；二是没有上次房间大，且卫生做的好，地毯上一些金属件太明显了。建议改进。', '短评打分': 3}
{'短评内容': '客房地毯太脏，窗户关不上，冼浴花洒出水不通畅，床垫柔软舒适。预订的是含早餐，但是被告知已经停止早餐供应，可房价确依然是含早收费。', '短评打分': 3}
{'短评内容': '服务态度很差！不推荐！浴室非常狭窄', '短评打分': 3}
{'短评内容': '不错的酒店，房间较小，通风效果很差，但胜在位置，到别处办事很方便，早餐也很一般，比较安静，楼下打车也很方便，服务不错吧', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '应该是才开不久的酒店，挺干净的，房间不错，不过房间的排水有些问题，老板也很热情，离大落水不远，周边还待开发，消费的地方比较少，离湖边还有一百米左右，想看湖景的话里格那边更好一点，总体比较还是比较值得入住的酒店', '短评打分': 5}
{'短评内容': '很安静，有些房间空调没法用', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '房间一般，床很宽，比较舒服，酒店位置不错，周边吃饭等到很多，这个价位还算能接受。', '短评打分': 3}
{'短评内容': '可以，还是不错的。。。。。。', '短评打分': 3}
{'短评内容': '总体不错。停车方便，住宿免费。靠内院的房间夜晚安静，但房间隔音略差，邻间电视新闻声阵阵。另卫生间太袖珍了，会碰到推拉的玻璃门，不安全。我都不敢洗头发。 床垫很厚，很软。门锁不太好用。', '短评打分': 5}
{'短评内容': '酒店外部环境一般，前台服务很好，设备虽然翻新，都是淋雨，马桶都比较陈旧。', '短评打分': 3}
{'短评内容': '就是卫生间小点了，转个身都恼火，还有就是那个淋浴的不能拿下来很不方便哈。早餐很一般。电吹风配备了还比较方便哈', '短评打分': 5}
{'短评内容': '酒店内的木制家具挺有特色的，就是空调不给力', '短评打分': 5}
{'短评内容': '本来订的1间标间和两间大床房，在七楼上，入住后发现三间房都能听见轰隆隆的响声，像是一个大锅炉声音，是从楼顶上传来的，根本无法居住，要求换房，可酒店告知就只有这三间了。无奈加了150元换成三间豪华大床房（4、5楼），不在一起，有两间正好上下层。轰隆隆的响声听不见了，可早上居然听见楼下家里人的谈话声，几乎可以听清在说什么！我晕！我想这样的酒店不管设施如何我是不会第二次光顾的。', '短评打分': 1}
{'短评内容': '房间比较大，就是灯光有点不足，其他还可以                                                                                               ', '短评打分': 5}
{'短评内容': '房间装修风格很有特色，床垫很舒服，周边餐饮也方便。', '短评打分': 3}
{'短评内容': '酒店设施较新，床也很舒服。周边吃饭的地方也比较多，不错。', '短评打分': 5}
{'短评内容': '喜欢这个酒店：干净卫生实惠，唯一美中不足的就是卫生间太小了，也算瑕不掩瑜。', '短评打分': 5}
{'短评内容': '对这家酒店太失望了，为啥这么说呢，因为我之前预定的是普通单间215元的，一进去哇地毯都是坏的，其他的还没看，就说换一间换成豪华单间，一进去地毯还是破的，顶上的吊灯3个坏了2个，书桌位置没台灯，害的我黑灯瞎火的写半天，桌上放了盆兰草还是挺好的哈；其次通风不佳，第三充电不方便，因为它的线路同电视机这些连在一起的电视机一关就无法充电了搞得我第二天摄影一会就没电了，郁闷；第四浴缸卫生以及储衣筒都没打扫干净', '短评打分': 1}
{'短评内容': '房间装饰的比较古朴，房间很大，床也很舒适。酒店早餐有改进。 \n', '短评打分': 5}
{'短评内容': '房间装饰的比较古朴，房间很大，床也很舒适。酒店早餐有待改进。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '我们定的豪华大单间，真的超大，连卫生间都很大。不过第二天客房服务员在换耗品的时候把牙刷全给我们换成梳子了，这样我们房间就有4把梳子没有牙刷，呵呵，老公自己去门口的耗品车上拿了牙刷，小事情。不影响酒店的舒适性。而且酒店对面的石磨豆花和夜丁香烧烤都很好吃哦，交通还算方便，我们都是走一条街去坐公交，很多路都可以到邛海。', '短评打分': 5}
{'短评内容': '廊桥酒店性价比还是不错的，酒店的房间、卫生间都还可以，交通方便，早餐呢比较简单但基本的都有：包子、馒头、牛奶、豆浆、稀饭、小菜、回锅肉、还有个炒菜。', '短评打分': 5}
{'短评内容': '房间装饰的比较古朴，床也很舒适。对酒店还是挺满意的。', '短评打分': 5}
{'短评内容': '酒店的服务比较达标，服务员效率还是挺高的。', '短评打分': 5}
{'短评内容': '当时入住的是阳光房，可以看星星，很不错的享受，配置设施也很达标。', '短评打分': 5}
{'短评内容': '酒店规模不大，入住体验还是很不错的，有机会去那边还是会考虑入住。', '短评打分': 5}
{'短评内容': '还不错，硬件设施还可以。但没有感受到服务员的服务，所以软件上没什么感觉。', '短评打分': 3}
{'短评内容': '酒店基本上还可以', '短评打分': 5}
