{'descr': '酒店位置很好就在清河坊，比较安静，公交打车都很方便', 'star': 5}
{'descr': '很好，国庆期间这家涨价相对良心很多', 'star': 5}
{'descr': '可以加床，没有早餐，地理位置不错，正好在步行街里边中间位置', 'star': 4}
{'descr': '位置很难早', 'star': 3}
{'descr': '还成   没想象的那么闹', 'star': 5}
{'descr': '不错！不错不错！不错不错！不错不错！不错不错！不错不错！不错不错！不错不错！不错不错！不错不错！不错不错！不错不错！不错', 'star': 5}
{'descr': '可以可以', 'star': 5}
{'descr': '位置好，靠近西湖', 'star': 5}
{'descr': '位置很好，在清河古街内，进西湖，第二次入住', 'star': 5}
{'descr': '一大早就有人在楼道大喊大叫的，别的都好', 'star': 4}
{'descr': '位置是没得说，就在河坊街里面，价格确实不贵、不过一分钱一分货', 'star': 5}
{'descr': '位置不错，老板热心，干净卫生，来杭州游玩非常方便，价格小贵。', 'star': 4}
{'descr': '房间不大，但也干净舒服', 'star': 5}
{'descr': '被子不够厚，不开暖气肯定受不了。服务挺好的。', 'star': 5}
{'descr': '不错，闹中取静！', 'star': 5}
{'descr': '酒店位置很好，就在南宋御街内，附近有胡庆余堂，不时有药香，吃饭便利', 'star': 5}
{'descr': '马马虎虎马马虎虎', 'star': 4}
{'descr': '地理位置挺好，很方便。距离城站一站地，打车过去不跳表。就在著名的胡庆余堂博物馆的后身。离西湖也进，可以走着去。差强人意的是，没电梯啊，20公斤的箱子上3楼，真累。屋子里的基本设施还行。床垫不干净，被罩是浆洗过的，枕套不干净。床有些响。\r\n在那个地段，性价比还是挺高的。', 'star': 4}
{'descr': '地理位置不错，在河坊街内', 'star': 5}
{'descr': '位置很好，交通方便，酒店卫生不错，很不错额选择。', 'star': 5}
{'descr': '真的很推荐这家酒店，正好在河坊街里面，离西湖也很近，走路过去十分钟就可以了，旁边就是鼓楼和南宋御街，酒店的门口有点小，我刚看到的时候还有些失望，但是走进去就不一样了，虽然河坊街很热闹，但是进到酒店里面一点都不吵，真的是闹中取静，酒店旁有一家中药铺子，所以有一点淡淡的中药香，一点都不难闻，房间里就没有味道了，很干净。', 'star': 5}
{'descr': '房间总体来说还比较好的，可能是到的比较晚，安排了一个较小的房间，还有就是...浴室内的灯光较为昏暗~', 'star': 5}
{'descr': '不错，出行购物方便，夜晚逛逛古街，别有一番风味，环境挺安静', 'star': 5}
{'descr': '酒店的位置很不错，就在河坊街上。可能是刚装修过，比较干净看起来。但是房间的窗户太小了，而且没有纱窗，想开窗透透气也不行。卫生间还不错，比较干净，是我喜欢的颜色。床有点不靠谱，这个床垫会移动的啊。标间的床有点小，不过这个价位也就不说什么啦。卫生纸就一小卷，超级迷你。还是后来打电话要来的。不过整体来说，这个价格还算可以。', 'star': 5}
{'descr': '位置很好，晚上逛街很方便。只是不太喜欢浴室的防滑垫，感觉这种棉质地的洗不干净。相比较起来还是更喜欢快捷酒店一类的', 'star': 1}
{'descr': '麻雀虽小五脏俱全，挺精致干净的！位置很方便就在河坊街上，就是离西湖稍远了一点！', 'star': 5}
{'descr': '周围环境很好，住河坊街附近吃饭买东西去西湖都很方便，旁边的自行车店也有很多！好高兴的~~（就是床小了点）', 'star': 5}
{'descr': '酒店位置不错，就在河坊街上胡庆余堂旁所以有中药味，房间干净，用热水也好，比较满意。', 'star': 5}
{'descr': '不错的酒店，在步行街里面很方便，去西湖也近，里面蛮干净的的，不错不错！下次还来！', 'star': 5}
{'descr': '酒店位于步行街内,位置还算不错,很安静,房间很舒服', 'star': 5}
{'descr': '刚过去的时候找不到，后来经好心人带路才找到，地理位置蛮好的，附近有吃有喝，环境挺好，也蛮干净的，还有一股淡淡的中药味，就是隔音貌似不是特别好，其他的都蛮不错的。', 'star': 5}
{'descr': '玩起来方便，房间略小，服务热情，窗外施工噪音，瑕不掩玉', 'star': 5}
{'descr': '在步行街里头，逛南宋御街方便了，但离公交车站太远了，总的来说还是不错。前台服务也好。', 'star': 5}
{'descr': '酒店位置很好 装修得有格调 服务人员很热情', 'star': 3}
{'descr': '设备较新，交通还算方便，下次如果来还是会选择这家酒店', 'star': 5}
{'descr': '酒店在河坊街上名气还不够，感觉难找......但挺方便的，出门就是美食街和夜市，晚上也还安静。我们去的时候新装过，比较整洁的。标间不错，大床房空间就很小了。', 'star': 5}
{'descr': '位置很好，但房间床稍微有些硬，总体不错啦啦啦。', 'star': 5}
{'descr': '楼下就是河坊街，方便便利。服务质量也很好', 'star': 5}
{'descr': '酒店位置很好，就在河坊街步行街内。酒店房间很小，房间卫生还行，但是有不满意的地方是退房当天，前台服务员连续打了两次电话给我，问我是否还要住，不住就要12点要退房。当时我已明确当天要退房的。当服务员第一次询问我，我觉得是正常的，但是再致电问我同一个问题，给我的感觉就是在赶我走。感觉特别不好。', 'star': 1}
{'descr': '地理位置非常好，在步行街的中段，这块地方这个价位算是挺划算的了~房间也干净~离西湖啊 吴山广场什么的都很近，晚上出去逛逛非常方便', 'star': 5}
{'descr': '服务态度很好，环境不错，楼下就是河坊街，晚上逛到11点，到西湖半小时足够（我走的慢），楼下还有胡庆余堂，虽说酒店中药味很足，但我不排斥，入住很开心', 'star': 5}
{'descr': '这家酒店位置非常好，就在热闹的河坊街中央，但是晚上也是挺安静的。标房宽度挺好，进深稍小，一张床靠玻璃卫生间。卫生间倒是挺大的，层高也蛮高。电梯没有，还好只有三层。总之这家酒店挺适合来游玩的人，离西湖、火车站等都不远。', 'star': 5}
{'descr': '＋环境很不错啊~~尤其位于月湖边的那个什么坊的古街中~~各种齐全~审视满意！~~', 'star': 3}
{'descr': '首先，这家店的位置非常好，就在河坊街。里面的环境也是不错的，感觉很温馨。房间总体来说有点小，不过这是可以理解的，在那么一个繁华地段，小是有理由的。房间的装饰，看起来很爽。卫生也不错，隔音很好。总体来说，很不错。', 'star': 5}
{'descr': '位置不错，出行非常方便、店主人很热情，预定的标准间很满意，下次还会入住！', 'star': 5}
{'descr': '自助游订下的酒店~~地理位置不错，服务态度也可以，房间干净，具有相当性价比', 'star': 5}
{'descr': '标准间还是不错的，如果配有吹风机就更好了。', 'star': 5}
{'descr': '位置不错，就在河坊街上，前面就是高银街，吃饭游玩都方便，离火车站也很近。但是去其他景点的话，公共交通不是很方便。房间整洁，安静，但隔音不是太好的，隔壁有人大声说话就听得很清楚。', 'star': 5}
{'descr': '地点很好，就在河坊街，离西湖和火车城站都不远，房间很干净，尤其是被单等，一看就是新洗过的，服务也很好，只是没有电梯不太方便', 'star': 5}
{'descr': '很温馨的小店，在河坊街上，很干净，逛街很方便！', 'star': 5}
{'descr': '帮朋友订的房间，听朋友说很不错，值得推荐。', 'star': 5}
{'descr': '房间还可以，位置在一条古街上，晚上可以逛街！', 'star': 3}
{'descr': ' 房间比较新，就在步行街上，比较方便走出去柳岸莺啼十五分钟', 'star': 3}
{'descr': '地理位置很好，房间也很干净，就是有机器的噪音，应该是空调的声音，怕吵的肯定睡不好觉', 'star': 3}
{'descr': '位置绝佳，离西湖有十来分钟的路程。夜里逛逛御街，吃点小吃，怎一个爽字了得！酒店虽小，但很干净', 'star': 3}
{'descr': '酒店还不错，比较干净整洁，服务不错,值得推荐。', 'star': 5}
{'descr': '房间虽小，不过还是很干净的  没味道~~总的来说还不错   隔音不咋地', 'star': 5}
{'descr': '不错，地方干净！服务态度好！!!!!!!', 'star': 5}
{'descr': '不错    都不错    就是第一去住和现在去订价格高了  ', 'star': 5}
{'descr': '舒适，地理位置好，周边有清河坊、吴山广场、鼓楼、西湖、南宋御街……是西湖旅游住宿的好选择', 'star': 5}
{'descr': '酒店很干净，服务态度挺好的', 'star': 3}
{'descr': '房间挺好的，很干净', 'star': 3}
{'descr': '还不错    就在胡庆余堂边上 很好找  总体还不错  就房间隔音效果不好  望改进', 'star': 5}
{'descr': '干净，服务还行，地理位置优越，就在河坊街上，去别的地方很方便。', 'star': 5}
{'descr': '酒店位置不错，服务态度也很好，出门就是步行街，非常满意', 'star': 5}
{'descr': '地段不错！ 出门都很方便！环境也很好 客房的卫生间是透明玻璃哦！适合情侣前来！', 'star': 5}
{'descr': '空间较小，室内还有异味，床单上还有杂质，特别是隔音效果实在是不敢恭维！', 'star': 5}
{'descr': '已经是第二次来这家酒店入住了，环境挺干净的，外面就是河坊街，可以逛逛，离西湖很近，大约十分钟左右就能走到，早餐这附近的知味观不错，小包子特别好吃~', 'star': 5}
{'descr': '性价比比较高，在这里挺实惠', 'star': 3}
{'descr': '总体还好，，，，，，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '位置很不错，就在河坊街上，出门逛街什么的都很方便', 'star': 5}
{'descr': '不错，地方干净！服务态度好！', 'star': 3}
{'descr': '酒店所处环境很好，不过房间的面积比想象要小…', 'star': 3}
{'descr': '不错，在西湖附近有这个价位的酒店，虽然小但物有所值。会推荐给朋友们。', 'star': 5}
{'descr': '酒店位置很好，出行很方便，卫生条件也不错，就是冬天入住的话被子薄了点。', 'star': 5}
{'descr': '房间舒服整洁，就是差一部电梯，抬行李上楼好累喔！', 'star': 3}
{'descr': '很喜欢的~推荐喜欢干净又不介意小的朋友~', 'star': 5}
{'descr': '酒店位置很好，就在河坊街上，离开西湖柳浪闻莺也就十分钟的路程。吃饭也很方便，步行十几分钟就到杭州比较著名的白鹿饭店了，不过饭店要排队等桌的。我定的是大床房，床好像稍微小了点，其他都很满意，值得推荐。', 'star': 5}
{'descr': '房间有点小，很有古香古色，还不赖', 'star': 3}
{'descr': '房间干净购物方便。', 'star': 3}
{'descr': '总体感觉还行,在步行街忠言地带,买东西逛街都方便.挺干净.', 'star': 5}
{'descr': '还不错 只是位置不是很好找', 'star': 3}
{'descr': '整体上感觉还是不错的吧，挺好的，下次可能可能还好考虑入住这样的酒店吧。。。。。。', 'star': 5}
{'descr': '干净，舒适，热情，很不错。就在河坊街中段上，买东西很方便，离西湖也就是10分钟左右的步程，到高银街的小吃巷也就几分钟的步程，是住杭州旅游的理想酒店。到的时候说我订的特价房还没退房就给了一间有窗的（但我好像觉得他们也没有哪间像是没窗的），服务员很热情，上下楼经过服务总台都会点头打招呼，感觉不错。酒店旁边就是胡庆余堂药房，空气中弥漫着一股中药的清香，这味道个人感觉还可以，对中药味敏感的人要注意，不过要', 'star': 5}
{'descr': '房间很小，服务不好', 'star': 3}
{'descr': '在河坊街上离吴山广场、西湖都很近，还有一个停车场。还不错。', 'star': 5}
{'descr': '服务态度挺好，位置就在河坊街里面，没有电梯，行李多、重的有点不方便，不过就3层还可以吧。\n房间较小，不过布置很合理，卫生间也很干净，热水很好，就是床硬，很不舒服，睡得很累！', 'star': 5}
{'descr': '酒店条件不错，出行方便。只是房间小了点。', 'star': 5}
{'descr': '就挨着河坊街，比较热闹，大概要到十点之后才会安静下来。', 'star': 5}
{'descr': '地理位置太理想服务也很好。房间还可以。就是隔音效果有点小遗憾。被子也有点潮。\n总体还是不错的', 'star': 5}
{'descr': '地点很不错,就在清河坊上,离吴山广场也很近,方便借自行车', 'star': 5}
{'descr': '房间是小一点,但比较干净,冲凉的地方下水很慢,不隔音,总的来说还是不错的。', 'star': 3}
