{'短评内容': '服务态度好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '位置和房间都很不错。', '短评打分': 5}
{'短评内容': '服务好，地理位置好', '短评打分': 5}
{'短评内容': '太破旧，卫生条件差', '短评打分': 4}
{'短评内容': '早餐还可以，酒店处于南师大校园内，幽静又有停车场，价格适宜，推荐入住！', '短评打分': 5}
{'短评内容': '服务好，环境好', '短评打分': 5}
{'短评内容': '外环境不错，内环境差了，设施老旧，不过180含早还是很优惠的', '短评打分': 4}
{'短评内容': '酒店位于南京师范大学内，周围环境很好。早餐一般，但也还可以接受。酒店的性价比很高。但服务员的态度一般，办事很慢。总的来说，很舒适的酒店。', '短评打分': 4}
{'短评内容': '外环境不错，内环境一般，但对于180的价格还算性价比高的，住了一周，服务不太好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '第二次入住', '短评打分': 5}
{'短评内容': '加班。临时住了一晚', '短评打分': 5}
{'短评内容': '校园里面很安静，性价比可以', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错，环境一流，服务也挺好的。', '短评打分': 4}
{'短评内容': '酒店环境不错，房间也很干净整洁，地点很好，去医院很方便。只是房间略小，洗澡的地方也小，空调声音大', '短评打分': 5}
{'短评内容': '非常好的体验', '短评打分': 5}
{'短评内容': '挺不错的，在学校里，很安静。学校也能逛一逛', '短评打分': 5}
{'短评内容': '屋子虽然旧了点，但是周边环境很不错', '短评打分': 5}
{'短评内容': '性价比还行，主要是离考点近，就是房间有点小，总的来说还行吧', '短评打分': 5}
{'短评内容': '环境优雅，房间干净，交通便捷，身处大学校园之内，可重温学生时代的记忆', '短评打分': 5}
{'短评内容': '还不错，性价比高！', '短评打分': 3}
{'短评内容': ' 交通便利，价格实惠，推荐', '短评打分': 3}
{'短评内容': '环境非常好，哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 5}
{'短评内容': '地处位置方便，套房空间较小，服务还好！', '短评打分': 3}
{'短评内容': '周围环境很清净，就是房间和床感觉好小，东西比较旧，不过总体挺好的', '短评打分': 3}
{'短评内容': '大堂、电梯什么的挺舒服的，身处高校，环境幽雅，去新街口也方便，早餐还算行，缺点是房间稍微有点小，淋浴间没有地垫(只能直接踩在瓷砖上洗澡)。', '短评打分': 3}
{'短评内容': '普通间房间和卫生间有点小，不过挺干净的。宾馆就在随园内，非常方便。早餐自助餐还行。', '短评打分': 3}
{'短评内容': '住的挺舒服，还有免费早餐。就是南师大门卫比较神经，开车进去还要换行驶证，态度也不好。', '短评打分': 3}
{'短评内容': '很好  很幽静  就是周末房间难订啊  在南师大里面 怀念当年南京上学的日子', '短评打分': 5}
{'短评内容': ' 母校的宾馆，大堂有点旧，房间还可以。', '短评打分': 3}
{'短评内容': '很不错， 性价比很高， 下次还要住这里。很满意。', '短评打分': 5}
{'短评内容': '环境不错，空调有点噪音，比较僻静，服务较好', '短评打分': 5}
{'短评内容': '环境优雅，很安静。可以欣赏南师大的校园美景。', '短评打分': 5}
{'短评内容': '隔音很差，空调如同风镐，卫生间会积水。不推荐驴友入住。', '短评打分': 1}
{'短评内容': '房内空调噪音太大，如同拖拉机，吵得无法入睡，卫生间下水有点堵塞，洗澡时会有积水，排风扇噪声也较大，房间隔音很差，隔壁房间谈话清晰可闻。身体强壮者可以试一试，其他人不建议选择。', '短评打分': 1}
{'短评内容': '性价比不错，订的是套房很大住的舒服，但早餐极差，周边没啥超市\n', '短评打分': 5}
{'短评内容': '南师专家楼周围环境不错，只是设施跟十年前一样，显得陈旧了些。窗户关不紧，吹了一夜的冷风，好在有空调中和了室内的温度。', '短评打分': 3}
{'短评内容': '环境很好，服务也很好，在南师大里面，很方便！', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '住在南师大里，校园美丽又安全。双人间小而精致，东西配备齐全，热水充足，性价比挺高。', '短评打分': 3}
{'短评内容': '环境挺好的', '短评打分': 3}
{'短评内容': '要到南师大考试的住这里挺近的，方便，既然想方便，要求就不要太高。说实话，酒店一般、一般、一般', '短评打分': 5}
{'短评内容': '空调坏了，晚上冷死了\n订的是单人间，给了我双人间，还多收我钱\n什么酒店，再也不去了', '短评打分': 1}
{'短评内容': '挺好的，怀念学校的人这里很好', '短评打分': 3}
{'短评内容': '服务态度很好。环境整洁，舒适。打扫及时。', '短评打分': 5}
