{'短评内容': '将就', '短评打分': 4}
{'短评内容': '新装修过，很不错，空调很给力，晚上一点也不冷，还有点热', '短评打分': 5}
{'短评内容': '酒店位置很差，周边环境不是很好！内部硬件和服务不错！', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': 'good', '短评打分': 5}
{'短评内容': '没有早餐，藏式风格，车可以停楼下，住的亲子套房，一张2米大床，2张1.2床', '短评打分': 5}
{'短评内容': '室內整齊，有独立wifi', '短评打分': 4}
{'短评内容': '设施有些陈旧，不过是正规酒店，比较安全', '短评打分': 4}
{'短评内容': '是正规酒店，就是陈旧了一些', '短评打分': 4}
{'短评内容': '哈哈哈哈哈哈哈', '短评打分': 3}
{'短评内容': '有点老旧', '短评打分': 3}
{'短评内容': '酒店环境好，卫生条件好，是你出行首选入住酒店。', '短评打分': 5}
{'短评内容': '一般，一般，一般般。', '短评打分': 3}
{'短评内容': '除了吃饭不方便，其它还可以，晚上太冷了，被子没有多的！', '短评打分': 3}
{'短评内容': '在起以前应该是比较上档次的宾馆，现在设施陈旧，好多地方是坏的，水龙头，马桶，毛巾架都有松动。空调在为维护中不能用。  优点：早餐很不错，稀饭鸡蛋包子热热乎乎的很精致，我们三个人吃的好饱，很舒服！总体算是不错了。', '短评打分': 3}
{'短评内容': '在若尔盖，酒店的价位和设施应该是没法和内地比较的。好在只是住一晚，自助早餐非常简单，一人一个鸡蛋，只有绿豆大米粥，小馒头小花卷，花生米，小萝卜和拌包菜可选。在这里，一切降低标准吧。', '短评打分': 4}
{'短评内容': '问了几个人最后是问的三轮车才找到这个酒店，酒店不在路边是在精品街巷子里。有个小停车场，酒店陈设有些旧，但还算干净。早餐很简单就是馒头包子和稀饭。没电梯提行李上楼很累，我们去的时候水还算热。若尔盖不大，酒店周围全是餐馆和商店，但关门比较早。旺季通过前台订不到房，我们是网上订到的，结账的时候遇到有人来问住宿，前台都说没房。', '短评打分': 5}
{'短评内容': '酒店前台的服务很好，房间也不错，只是国庆节去的话价位稍微高了点，空调不是很暖和，总体一般', '短评打分': 5}
{'短评内容': '在那个地方又这样的酒店还是很不错的,会推荐给其他的朋友！', '短评打分': 5}
{'短评内容': '服务很热情，饭菜很可囗。房间干净，符合三星标准。', '短评打分': 5}
{'短评内容': '本来是含双早的，但是酒店说我们没有含。总体来说还是不错，干净，但是和三星还是很有距离。再就是有较大的排风扇的噪音，从早上7点一直持续到晚上12点。', '短评打分': 5}
