{'descr': '还不错啦，卫生也挺干净，就是六楼没电梯，给个好评吧', 'star': 5}
{'descr': '酒店周围很安静，空间ok，空调给力。不过建议把宽带改为wifi就更好了！', 'star': 3}
{'descr': '去签证中心比较方便，走路20分钟。附近有很多特色小炒。住6楼，电梯只到5楼，然后走上去，有点不太方便。', 'star': 5}
{'descr': '位置不错，周边小吃也很方便，酒店还有WIFI，服务都很热情，下次还会来 ，唯一美中不足的是地铁口稍微有点远', 'star': 5}
{'descr': '很方面，不错————————————————————————————', 'star': 5}
{'descr': '还是如家酒店标准配置，窗户外面就是走廊，稍微有点点吵。', 'star': 5}
{'descr': '第二次入住了，感觉还是很不错，服务态度好，房间干净整洁，虽然离2号线南京西路站有1.8公里 离7号线昌平路站有1公里，但个人觉得走点路没什么问题。', 'star': 5}
{'descr': '来这边住是为了到附近参加比赛的。离地铁有点远，不过公交车还算便利。周围有不少小吃，店门旁边的便利店价格很划算', 'star': 5}
{'descr': '酒店的各方面都挺好的，就是有一点不好，出行很不方便，地铁、公交都不方便。', 'star': 1}
{'descr': '房间里的空调声音很大，地段好，方便。', 'star': 3}
{'descr': '非常好，下次还预订这家的，非常方便，但房间不太通风', 'star': 5}
{'descr': '方便快捷,很干净的一家酒店,个人还是比较喜欢的,而且很实惠', 'star': 5}
{'descr': '我们订了酒店的5楼靠老城区的两个特惠标间，离火车站和驻美大使馆都很近，交通很便利；\r\n酒店内部干净简洁，周边就是老城区，晚上睡觉特安静，感觉很满意，后面又帮我爸妈续了三个晚上，推荐！', 'star': 5}
{'descr': '不错，很干净，离地铁有点远，不过周围公交蛮多。', 'star': 5}
{'descr': '房间很好干净卫生，大堂有点通风不好，没有别的问题', 'star': 3}
{'descr': '很满意，干净卫生配套齐全，服务态度也不错。', 'star': 3}
{'descr': '秉承如家一贯的风格,价格实惠,位置好,第二次住了,推荐', 'star': 5}
{'descr': '交通不错 早上起床还听见附近学校的声音 哈哈', 'star': 3}
{'descr': '内部环境和服务态度都不错。唯一的小瑕疵是去晚了只有六楼有房间了，而电梯只到五楼，要步行一层。不负责任的猜测是顶楼改建的，呵呵。总体挺好，推荐！', 'star': 5}
{'descr': '比预想的要好很多，定了三间特惠标间，两件房间都很大，挺满意……', 'star': 5}
{'descr': '我早上七点半入住，当天下午三点半退的房，因为临时变动。竟然是按全天的价格。不合理', 'star': 3}
{'descr': '交通便利，服务态度好，不足之处就是房间太小。', 'star': 5}
{'descr': '订的是特惠大床房，到店才知道本来是没有对外的窗户的房型。好在客房不满，前台爽快地给换了。\n进门就踩着几张按摩的名片，夜里1点了还有住客在屋里和楼道里吵，服务员倒好像都休息了。旁边的楼好像是个工厂，总有嗡嗡的电气声音。\n优点是周围有不少小吃店，走5分钟就有“王家沙”，出差临时住住还可以。', 'star': 1}
{'descr': '态度不错，房间则是如家一贯以来的干净简洁。周边是老城区，买点或者吃点什么也很方便。', 'star': 5}
{'descr': '各方面都还不错，就是隔音效果差，旁边房间的小孩子到晚上11点还在嚷嚷，楼上的声音也很大。', 'star': 3}
{'descr': '第一次出差住这个酒店，还是很不错的选择，干净卫生，交通方便，服务态度也好。以后来还会住这里。', 'star': 5}
{'descr': '交通很方便，客房很干净，周边游很多小吃，是出差旅行不错的选择。', 'star': 5}
{'descr': '环境卫生，交通方便，服务热心，只是空调室外机声音太想，严重影响睡眠！', 'star': 1}
{'descr': '第一次住还不错，就是房间特别小，走廊靠窗户，挺不舒服，其他还一般', 'star': 5}
{'descr': '我们每次报团后都是把东西寄存在酒店，服务人员态度非常好，还免费寄存。中间退房去杭州时，把雨伞落在房间里了，打电话给前台，保安师傅帮忙取回了雨伞，虽然不是很值钱，但是看出了如家工作人员的素质很高。最后还是要说感谢，感谢每一位昌化店的工作人员。', 'star': 5}
{'descr': '我们也是订的特惠大床房，由于到店是没有了，都是免费升级，呵呵，实惠。感谢！', 'star': 5}
{'descr': '如家的感觉让人觉得温馨体贴。酒店的服务员态度非常好。酒店特别干净，一尘不染，有一种不忍心使用的感觉，真的像家一样。', 'star': 5}
{'descr': '服务都很不错，在网上订的特惠大床房没有了，然后就免费升级到大床房~感觉很不错呀~', 'star': 5}
{'descr': '相当的不错，住了一个星期很舒服，天气冷了还加了厚实的被子，大床房很爽，空间宽，床大，很清洁，白天也很安静，超推荐。', 'star': 5}
{'descr': '很不错，如家就是喜欢，性价比很高。希望越做越好，大床房很不错，舒服。', 'star': 5}
{'descr': '如家是第一次住，作为经济型酒店的标准房内干净整洁(床上用品应该是两天一换)，美中不足是热水永远不热，毛巾发黃。', 'star': 3}
{'descr': '如家是第一次住，作为经济型酒店的标准房内干净整洁(床上用品应该是两天一换)，美中不足是热水永远不热，毛巾发黃。', 'star': 3}
{'descr': '如家还是一如既往的有如家感觉啊，不管到哪个城市，如家都是我的首选', 'star': 5}
{'descr': '如家还是一如既往的有如家感觉啊，不管到哪个城市，如家都是我的首选', 'star': 5}
{'descr': '还不错，挺好的.。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '还不错，挺好的.。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '比较干净，但靠近走到的大床房，没有窗子，很闷。', 'star': 5}
{'descr': '比较干净，但靠近走到的大床房，没有窗子，很闷。', 'star': 5}
{'descr': '如家还是一如既往的有如家感觉啊，不管到哪个城市，如家都是我的首选', 'star': 5}
{'descr': '如家还是一如既往的有如家感觉啊，不管到哪个城市，如家都是我的首选', 'star': 5}
{'descr': '交通挺方便，房间也不错，但是隔音效果很差。半夜有人使劲敲其他房间的门，声音特别大，服务员也不管，最后打电话叫了才来处理。管理有待改进', 'star': 1}
{'descr': '交通挺方便，房间也不错，但是隔音效果很差。半夜有人使劲敲其他房间的门，声音特别大，服务员也不管，最后打电话叫了才来处理。管理有待改进', 'star': 1}
{'descr': '觉得不错，蛮干净的。很舒适。下次还是会光临', 'star': 5}
{'descr': '觉得不错，蛮干净的。很舒适。下次还是会光临', 'star': 5}
{'descr': '挺不错的，布置的很温馨，住的舒服，早餐一般', 'star': 3}
{'descr': '挺不错的，布置的很温馨，住的舒服，早餐一般', 'star': 3}
{'descr': '房间很干净，免费上网，店门口就有兰州拉面店，小超市，水果摊，理发店，夜宵排档，离地铁站也很近。离上海火车站很近，总之，相当完美。强烈推荐。', 'star': 5}
{'descr': '房间很干净，免费上网，店门口就有兰州拉面店，小超市，水果摊，理发店，夜宵排档，离地铁站也很近。离上海火车站很近，总之，相当完美。强烈推荐。', 'star': 5}
{'descr': '酒店周边较为破旧 但是房间还行 离地铁站也近 2站到梅龙镇广场 挺方便', 'star': 5}
{'descr': '酒店周边较为破旧 但是房间还行 离地铁站也近 2站到梅龙镇广场 挺方便', 'star': 5}
{'descr': '装修还好，价格适中，交通也还好。缺点是水不够热，几乎没洗成过澡。', 'star': 5}
{'descr': '装修还好，价格适中，交通也还好。缺点是水不够热，几乎没洗成过澡。', 'star': 5}
{'descr': '地理位置不错,环境不错,装修简洁,整体性价比不错', 'star': 5}
{'descr': '地理位置不错,环境不错,装修简洁,整体性价比不错', 'star': 5}
{'descr': '，还可以，不知道是不是人太多，洗澡水不够热，唯一遗憾。', 'star': 3}
{'descr': '，还可以，不知道是不是人太多，洗澡水不够热，唯一遗憾。', 'star': 3}
{'descr': '这个价也就这样了', 'star': 3}
{'descr': '这个价也就这样了', 'star': 3}
{'descr': '优点：酒店装修的很漂亮，很新，很干净，大床房睡着很舒服，被子是带花的，不是一般酒店那种白色的，很柔软，睡着很舒服。酒店服务人员也很礼貌，进店就主动问好。\n缺点：窗户是靠走道，密闭的应该，隔音效果差强人意。另外，暖气有点大，睡觉老是出汗。建议温度适中点比较好。\n 整体感觉这次入住如家还是十分满意的。', 'star': 5}
{'descr': '优点：酒店装修的很漂亮，很新，很干净，大床房睡着很舒服，被子是带花的，不是一般酒店那种白色的，很柔软，睡着很舒服。酒店服务人员也很礼貌，进店就主动问好。\n缺点：窗户是靠走道，密闭的应该，隔音效果差强人意。另外，暖气有点大，睡觉老是出汗。建议温度适中点比较好。\n 整体感觉这次入住如家还是十分满意的。', 'star': 5}
{'descr': '还不错 就是太小了，还有希望以后吹风机多准备几个就好了', 'star': 5}
{'descr': '还不错 就是太小了，还有希望以后吹风机多准备几个就好了', 'star': 5}
{'descr': '酒店性虽然装修一般，但房间较为干净，性价比高，下次还会考虑入住。', 'star': 5}
{'descr': '酒店性虽然装修一般，但房间较为干净，性价比高，下次还会考虑入住。', 'star': 5}
{'descr': '酒店虽小但干净舒适，交通还很是便利，周边早点小吃方便', 'star': 5}
{'descr': '酒店虽小但干净舒适，交通还很是便利，周边早点小吃方便', 'star': 5}
{'descr': '还行，挺干净的，就是定的人太多，定了两天，第三天不让住了', 'star': 5}
{'descr': '还行，挺干净的，就是定的人太多，定了两天，第三天不让住了', 'star': 5}
{'descr': '位置不错。就是外面有一点吵。室内环境很好，比较干净。', 'star': 5}
{'descr': '位置不错。就是外面有一点吵。室内环境很好，比较干净。', 'star': 5}
{'descr': '酒店干净安全\r\n非常舒心，价钱再便宜点就更完美了，', 'star': 3}
