{'短评内容': '还可以，符合', '短评打分': 4}
{'短评内容': '非常满意！点赞！！', '短评打分': 5}
{'短评内容': '还不错了，经常住，性价比比较高！', '短评打分': 5}
{'短评内容': '帮朋友订的，性价比高', '短评打分': 5}
{'短评内容': '商务出差入住，之前住过这个酒店，服务不错，出行方便，酒店服务也还不错，所以下次选择入住！值得推荐！！！！！', '短评打分': 5}
{'短评内容': '咯五去弄个小号了啊你大', '短评打分': 5}
{'短评内容': '好好。 还不错。', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '最差的性价比，与图片相差甚远，习惯好评，但这个，无法接受。', '短评打分': 1}
{'短评内容': '环境卫生很好，床上用品干净，窒内气味好，总体感觉LA', '短评打分': 5}
{'短评内容': '很满意，房间干净，房间配备设施齐全，前台员服务到位，公卫服务态度很不错！有朋友来西安旅游，一定推荐！', '短评打分': 4}
{'短评内容': '隔音效果不好', '短评打分': 3}
{'短评内容': '隔音效果不好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置不错，就在西二环边上，出去办事很方便！', '短评打分': 5}
{'短评内容': '酒店位置不错，房间很好，环境不错', '短评打分': 5}
{'短评内容': '酒店周边吃的不是很多，房间还可以，单间偏小，', '短评打分': 4}
{'短评内容': '很干净，很舒适。交通也很方便。', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比高。', '短评打分': 5}
{'短评内容': '房间还不错，订了商务间挺大的，就是走廊的地毯有异味，建议增加通风。', '短评打分': 5}
{'短评内容': '还不错，周围交通方便，好打车。...............', '短评打分': 5}
{'短评内容': '自我感觉不错，离得超市比较近，吃饭也比较方便', '短评打分': 5}
{'短评内容': '酒店还不错，房间很大，热水不太好。周围没有什么好吃的饭店。', '短评打分': 5}
{'短评内容': 'hao111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '还可以，下次还能住', '短评打分': 3}
{'短评内容': '缺点:人多杂乱,电梯不够用. 优点: 价格便宜,个人出游可以考虑.', '短评打分': 1}
{'短评内容': '非常不错的酒店，性价比比较高，房间也很大，值得一住。', '短评打分': 5}
{'短评内容': '＋房间电视是坏的，酒店管理有点混乱。', '短评打分': 3}
{'短评内容': '早餐好吃很像南方的口味，就是品种少了点，但是还是很喜欢！', '短评打分': 3}
{'短评内容': '卫生有点差，早餐品种少，但是味道还是很不错的，像我们南方的味道，超喜欢~~', '短评打分': 5}
