{'descr': '楼下的银杏好看。隔音差，稍微有点味道', 'star': 3}
{'descr': '住了一间像阁楼一样的，连手机信号都很差', 'star': 3}
{'descr': '订单是三晚 零时有事退了房 .剩下两晚的房钱一分钱没退. 一点都不人性化', 'star': 1}
{'descr': '挺好的，物美价廉', 'star': 4}
{'descr': '空间大小正好，卫生干净，服务好', 'star': 4}
{'descr': '预定速度，确定速度还是比其他机构慢很多。', 'star': 5}
{'descr': '停车场超级难找 房间很小', 'star': 3}
{'descr': '服务质量一般，酒店房间一般，总之都很一般', 'star': 3}
{'descr': '不错，条件卫生很满意', 'star': 5}
{'descr': '提前定的性价比很高，比到店付便宜了差不多一百块', 'star': 5}
{'descr': '房间还是挺干净的，房间很小不过上海市区寸土寸金也能理解，旁边吃饭也很方便，隔壁有个超市，离地铁站大概200米还是很方便的。', 'star': 5}
{'descr': '安排的房间是中间夹层 比较不满意', 'star': 4}
{'descr': '服务态度好。我想传快递，得到了前台的热情帮助。地点很方便，去五角场和市区都容易。', 'star': 4}
{'descr': '总体来说还行', 'star': 5}
{'descr': '整体还可以', 'star': 4}
{'descr': '还不错，亲戚住附近推荐的。', 'star': 5}
{'descr': '经济型酒店里算可以的了，房间也干净，位置也便利', 'star': 3}
{'descr': '地点方便吃饭，出行，环境适合商务出行。', 'star': 4}
{'descr': '房间不错，但电视机效果不好', 'star': 5}
{'descr': '服务还好，就是分店名称都一校（未加上分店名称如海伦店），给我找酒店带来一定的困难', 'star': 5}
{'descr': '比较卫生。相比168设施强多了。但价格贵了点。相对团购的很多酒店都贵了。', 'star': 5}
{'descr': '锦江之星的环境很好，房间干净、卫生', 'star': 3}
{'descr': '还好,不错啊!', 'star': 3}
{'descr': ' 交通方便，出地铁走10分钟就到，房间干净', 'star': 3}
{'descr': '性价比很高的一家店，离虹口体育场和地铁都很近，赞一个。就是浴室的蓬头是坏得，有点郁闷。', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': ' 交通变利，入住愉快', 'star': 3}
{'descr': '房间很干净。挺好的。', 'star': 3}
{'descr': '总体房间不大，反正是经济型连锁酒店，好在停车还是比较方便的，这也是选择这家酒店的根本原因。总体还好。', 'star': 5}
{'descr': '方便出行 空间狭小', 'star': 3}
{'descr': '还不错，很干净，设施比较好，服务态度也很好', 'star': 5}
{'descr': '整洁，干净，方便，锦江的特点,应该有的都有了，交通很便捷，前台比较热情，服务比较主动', 'star': 5}
{'descr': '位置不错，交通挺方便，房间也干净，服务也挺好，就是隔音差点', 'star': 5}
