{'短评内容': '位置很好，有停车场，干净，服务员很热情', '短评打分': 5}
{'短评内容': '地理位置非常好，淡季来的，服务态度没得说，四星级酒店是有原因的。', '短评打分': 5}
{'短评内容': '这个季节没有早餐，中餐厅已经停业，西餐厅还在正常营业，院内停车场宽裕，地理位置极佳，服务非常热情周到，值得一去。', '短评打分': 5}
{'短评内容': '一切都还好', '短评打分': 5}
{'短评内容': '各方面都很好', '短评打分': 5}
{'短评内容': '不错挺好的 老饭店了 设施略显陈旧 但服务没的说', '短评打分': 5}
{'短评内容': '非常不错，值得选择', '短评打分': 5}
{'短评内容': '酒店的位置相当好 ，几分钟就步行到海边，只是房间的设施过于陈旧了，酒店的花园挺美的，也很安静，淡季出游人很少，这个季节的价格还算可以吧！', '短评打分': 4}
{'短评内容': '贵了点，门口冰淇淋赞一个', '短评打分': 5}
{'短评内容': '淡季的价格性价比还算高', '短评打分': 4}
{'短评内容': '不愧是老品牌酒店，十分满意。', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '一级棒的酒店，如果可能，是我北戴河的首选，但是一般价格较贵。', '短评打分': 5}
{'短评内容': '还可以了，下次还会来', '短评打分': 5}
{'短评内容': '酒店位置非常好，服务也热情，就是停车场小了点。', '短评打分': 5}
{'短评内容': '酒店环境很好,内外环境优雅', '短评打分': 3}
