{'descr': '特别好，推荐', 'star': 5}
{'descr': '房间内空调风道里水声太大，严重影响睡眠。第二天还要参加考试，实在是郁闷。卫生还是很干净的。其他一般吧。', 'star': 2}
{'descr': '酒店位置很好，交通方便！停车位很充足！服务质量也很赞，特别谢谢大堂经理，带孩子来原本定的大床房，酒店经理免费升了家庭房！', 'star': 5}
{'descr': '呵呵呵呵呵呵', 'star': 5}
{'descr': '物有所值！真的不错', 'star': 5}
{'descr': '房间不错，挺干净的', 'star': 5}
{'descr': '离会展中心还是走很远距离，所以还要打车去才行。', 'star': 3}
{'descr': '服务很好，环境也很棒！目的地就在附近，叫车出行也很方便。价格合理，清理卫生的阿姨服务态度也很赞！很喜欢！', 'star': 5}
{'descr': '服务很好，环境也很棒！目的地就在附近，叫车出行也很方便。价格合理，清理卫生的阿姨服务态度也很赞！很喜欢！', 'star': 5}
{'descr': '酒店位置较偏，设施一般，装修一般，卫生还凑和吧，布局不算合理，去考试，离考场近，只好选了。11月份入住，室温还行，非地热，估计到大冷天，得冷。', 'star': 4}
{'descr': '隔音不好，隔壁的唠嗑听的很清楚，晚上十二点多还能听见外面喊送洗手液的。其他的还行，也不用押金，前台态度不错！', 'star': 4}
{'descr': '隔音不太好，但是主要服务态度很好，房间干净卫生，推荐！！！', 'star': 5}
{'descr': '房间较大，温度一般。整体还可以。', 'star': 4}
{'descr': '一直喜欢住华住，安全 卫生 快捷 舒适', 'star': 5}
{'descr': '出差住的，一直觉得汉庭不错', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '交通方便；价格不贵；就是房间有点儿小！!!!!!!', 'star': 5}
{'descr': '酒店很不错，离办事的地方很近，就是离市区有点远。', 'star': 5}
{'descr': '酒店不错  环境可以，在景区中心，交通方便。值得去住', 'star': 5}
{'descr': '客栈位置很好，老板也很热情。就是洗澡的水有点小。其他都很好哦。', 'star': 3}
{'descr': '酒店卫生和吃饭都还可以，下次去住还会考虑', 'star': 5}
{'descr': '不错！不错不错不错不错不错不错不错不错不错\n', 'star': 5}
{'descr': '环境还好， 房间水流小，偶尔还会停水。\n\n总体来说可以。', 'star': 5}
{'descr': '位置不错！早餐不错， 服务也不错！、\n下次还会住！\n', 'star': 5}
{'descr': '中规中矩的快捷酒店, 开发区里办事方便,其他的没什么考虑', 'star': 5}
{'descr': '地理位置不错，早餐也还行，离会展中心很近。打车方便。', 'star': 5}
{'descr': '早餐还行，地理位置离会展中心很近，交通很方便。', 'star': 5}
{'descr': '地理位置好，距离会展中心很近，出行很方便。', 'star': 5}
{'descr': '老板人不错，帮忙接送联系饭店买景区票和用车。单人房还不错。', 'star': 3}
{'descr': '酒店性价比高，交通方便，地理位置不错，离会展中心也很近。', 'star': 5}
{'descr': '性价比不错，离会展中心很近，出行很方便。', 'star': 5}
{'descr': '地理位置比较偏僻，还好离我的目的地近，出门打车挺方便，条件相比价格还是简单了一点', 'star': 5}
{'descr': '早餐不错，还行吧·····希望退房时间可退后', 'star': 5}
{'descr': '这家快捷酒店房间很大，干净，环境比较安静，服务人员态度好，很不错，推荐。', 'star': 5}
{'descr': '客栈位于西街的一个小巷里，出门就是各种的购物小店，离酒吧街，北栅都特别近，位置非常好。西塘本身就不是很大，如果在外面逛累了，随时都可以跑回去休息，非常地舒适。\n客栈新开业，虽然设施不是非常齐全，但是非常干净和整洁，适合一个人旅行。无线网络，电视，空调都有，2月份的西塘晚上还比较冷，空调很给力。客栈的老板是个年轻小伙子，人很真诚，也特别热情，感觉工作也非常认真。他说客栈正在慢慢改善各种条件，以后房间', 'star': 5}
{'descr': '店主热情,还不错', 'star': 3}
{'descr': '房间新装修所以特别干净，阿姨送水，茶的 服务很热情。老板服务也很周到 还到车站接我 们。', 'star': 5}
{'descr': '老板是个小伙子！人很热情哦！房间也挺好的！住的很舒服！特别是地段很好！出门就是一条热闹街！热力推荐大家光临！呵呵\n', 'star': 5}
{'descr': '很实惠，很干净，像家一样的感觉，出差在外的最佳选择！', 'star': 5}
{'descr': '总体来说还算不错，电视小了点，网速不够快，早餐还可以，，', 'star': 5}
{'descr': '周边没有什么设施，离着塞得广场很近，其他周围没有什么建筑，还有个中东市场可以走着过去', 'star': 5}
{'descr': '服务员工作太度及这里的卫生和条件都不错谢谢', 'star': 3}
{'descr': '干净，环境也不错。只是地点偏了些。附近有大超市很方便。', 'star': 5}
{'descr': '＋房间很干净，安静，且有早饭，不错。地理位置也不错。但是长春的马路牌号不准确，去之前一定让司机和酒店人员确认好路线，免得走错路。', 'star': 3}
{'descr': '很干净。就是中央空调不是特好使。卫生间下水有点堵。服务态度都很好。', 'star': 3}
{'descr': '小老板不错，就是假期人太多…', 'star': 3}
{'descr': '酒店地理位置还可以，购物很方便，离高速公路很近。服务态度很好，酒店环境也很干净，十分令人满意 连网速都很快！下次有机会一定还选择这里', 'star': 5}
{'descr': '是一家新开的宾馆，有点味道，不过新的就是很干净、看着很舒服，下次还会去', 'star': 5}
{'descr': '干净便捷干净便捷干净便捷干净便捷干净便捷', 'star': 5}
{'descr': '公司出差，因为是在客户地的附近，所有一直都住在这家，还是不错的。', 'star': 5}
{'descr': '不错，很干净，4月份开的宾馆，服务人眼也很热情。', 'star': 5}
{'descr': '非常好', 'star': 3}
