{'短评内容': '服务周到，干净卫生', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还好了，干净卫生', '短评打分': 5}
{'短评内容': '无早餐，市中心，停车方便', '短评打分': 4}
{'短评内容': '还可以，比旁边的格林豪泰酒店，要好', '短评打分': 4}
{'短评内容': '随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦', '短评打分': 4}
{'短评内容': '随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦随便住住啦', '短评打分': 4}
{'短评内容': '豪华间，房间很大。服务生不错，很热情。', '短评打分': 5}
{'短评内容': '出差', '短评打分': 4}
{'短评内容': '出差', '短评打分': 4}
{'短评内容': '将性价比还行', '短评打分': 2}
{'短评内容': '帮朋友预定，还可以', '短评打分': 3}
{'短评内容': '相比附近的其他酒店还是不错的', '短评打分': 4}
{'短评内容': '中规中矩的经济酒店，至少还干净', '短评打分': 3}
{'短评内容': '还不错啦啦:-D呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀', '短评打分': 5}
