{'descr': '没住进去，拉几', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '酒店位置很好，离学校很近！附近吃的多！', 'star': 5}
{'descr': '', 'star': 5}
{'descr': '没有看到有早餐，酒店位置很好，在东北大学东门往南一百米左右，去学校非常方便，附近的消费不高，有很多实惠好吃的餐馆。房间干净整洁，有窗户，价格不贵，非常推荐', 'star': 5}
{'descr': '家庭套房里有5个单人床，太意外！', 'star': 5}
{'descr': '可以。。。。。。。。。', 'star': 5}
{'descr': '味道很大，建议不要选这个', 'star': 2}
{'descr': '旅游城市，类似快捷酒店。', 'star': 2}
{'descr': '位置好环境很好，服务也周到', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '满意', 'star': 5}
{'descr': '一般的酒店设施，一般的服务', 'star': 2}
{'descr': '酒店设施一般，服务一般，环一般境。', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '我随便一打就是十个字', 'star': 3}
{'descr': '服务态度非常好，满五分', 'star': 3}
{'descr': '房号407', 'star': 3}
{'descr': '又脏又乱还有恶臭味道，床上的弹簧都快出来了', 'star': 1}
{'descr': '离我们学校很近... 但是感觉如果不团购的话  去锦江之星比较好、', 'star': 5}
{'descr': '这个酒店是老酒店装修的，但是可能为了节约成本，基本上还是比较陈旧', 'star': 5}
{'descr': '  已成功入住  还行吧  就是卫生一般 不如如家做的细', 'star': 3}
{'descr': '前台客服服务态度非常好,但是服务员素质非常差,我在房内睡觉,服务员居然开门进屋,硬件方面不理想,装修太陈旧!', 'star': 1}
{'descr': '没有想象中的星级标准，大厅没有空调，很冷，房间环境还可以', 'star': 1}
{'descr': '酒店网速还挺快，房间设施也可以，性价比很高。', 'star': 5}
{'descr': '还可以，就是位置有点偏！服务一般，房间还可以！', 'star': 5}
{'descr': '....', 'star': 3}
{'descr': '挺靠普的', 'star': 3}
{'descr': '酒店还可以，设备还比较全面，但是卫生间的设备还是应当完善维修好，如排风扇就是不能使用，整个办理的手续还是比较快捷，准备工作做得非常从分，值得赞扬。不过客房的服务员工作还是应当提高，进去卫生小件不全，第二天也不补从。希望以后完善此项工作。', 'star': 5}
{'descr': '这家酒店的设施、环境、服务以及周边环境418元的价格着实太贵了！而且离海边不是很近，要不是暑期订不到房间才不会选择这里！不过没有办法，秦皇岛的酒店就是季节性特别强。无奈，谁叫咱非要来度假呢！', 'star': 1}
{'descr': '总体还可以。对的起这个价格，这个价格要是包含早餐就值了', 'star': 5}
{'descr': '还不错 有无线就更好了 环境一般 离海边也还可以\n前台再热情点更好', 'star': 5}
{'descr': '总体还可以  就是饭店周边设施和环境不好', 'star': 5}
{'descr': '酒店很干净，卫生间还有浴缸，服务态度也不错，已经是第二次入住了！以后去秦皇岛的话肯定还会入住的~', 'star': 5}
{'descr': '周围乱糟糟的，旁边是水产摊位，街道在修，目前还不适合住，等过了这一段时间可能会好些，比较安静时真的。服务方面，有些滞后，看不到服务员，我有要求送纸巾什么的，比较慢，房间不提示不会主动打扫的。', 'star': 1}
{'descr': '确实设施比较老，但东西全，服务不错。挨着大学，吃的地方多。适合开车去。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '房价隔音很差，酒店太老！厕所卫生间有味道，价位还可以。', 'star': 1}
{'descr': '是比较正规的酒店。外面就是东北大学的小吃一条街，吃东西很方便。还有海鲜卖，没事可以去看看螃蟹', 'star': 5}
{'descr': ' 性价比相对较好的，主要是离东大近，但床垫硬，很不舒服。', 'star': 3}
{'descr': '可以.地理位置优越可以.地理位置优越可以.地理位置优越', 'star': 5}
{'descr': '距离适中，去开发区和市里都比较近，比较方便', 'star': 5}
{'descr': '服务一般', 'star': 3}
{'descr': '非常好的一家酒店！非常超值！整体环境不错，设施也比较齐全，最让我惊讶的是电视竟然有机顶盒。最重要的是价位，相当实惠啊！交通也很便利。', 'star': 5}
{'descr': '酒店设置还算一般。交通位置不是太偏。靠近东北大学', 'star': 5}
{'descr': '外面比较脏乱，对面马路小贩很吵。就是离东北大学近，附近吃的玩的不少。里面设施很破旧，好多东西都是坏的。11.20住的还没供暖呢，空调也吹不出暖风……', 'star': 1}
{'descr': '位置还可以，在东大校门，到海边只要步行15分左右就到了，楼下就是火车票代售点也很方便', 'star': 5}
{'descr': '建造时间比较长了，有的设施比较旧，服务还可以，交通比较方便', 'star': 5}
{'descr': '帮朋友订的，是跟父母送妹妹去上大学的，貌似还不错，靠近燕山大学很近的，硬件条件还不错，价格嘛也还好，以后有机会可以考虑再次入住。', 'star': 5}
{'descr': '餐厅马马虎虎，早餐太差了。卫生间非常不好，满地是水，穿拖鞋非常容易摔倒。', 'star': 1}
{'descr': '总体感觉不错，但舒适度差了一点，可能是南北方的差别造成的', 'star': 5}
{'descr': '己入住。条件一般,卫生状况较差,周围环境也比较乱。', 'star': 5}
{'descr': '周围环境比较脏，离海边倒是不远开车10分钟，房间比较小而且床比较硬，我睡的那张弹簧还特别的硌餐厅也没开，下回我不会考虑住这家了。', 'star': 1}
{'descr': '酒店地理位置一般，坐公交车要走10分钟，周围环境一般，但服务还可以，价格也不算高。来秦皇岛出差住这里还可以。', 'star': 3}
{'descr': '酒店地理位置一般，坐公交车要走10分钟，周围环境一般，但服务还可以，价格也不算高。', 'star': 5}
{'descr': '旺季的时候为了途便宜还行，太老旧！环境太差！', 'star': 1}
{'descr': '酒店实景与网站照片不符 装修过于老旧 隔音非常不好 价钱还这么贵 不过服务态度还是相当不错滴', 'star': 3}
{'descr': '定的标间由于到酒店时间较晚，结果升级了个套房，房间装修一般，不过套房的的色调很鲜明，酒店设施也就是一般的星级酒店的设施，较陈旧，卫生一般，服务欠缺专业的培训，可能因为地方的酒店所以感觉大酒店很随便，酒店周边比较荒凉，打车去海边30-35之间，希望酒店对于服务多加以培训，卫生有待提高，酒店设施有待更新，下次还会去入住！', 'star': 5}
{'descr': '和照片上的不符 家具太久了 地理位置偏僻 卫生条件很差 根本不值那个价钱 不过服务员的态度还是相当不错的', 'star': 1}
{'descr': '酒店不错！周边黄精还在开发，以后会更有市场！', 'star': 5}
{'descr': '酒店的服务很好，员工都非常热情，服务意识很强。', 'star': 5}
{'descr': '酒店的价格比较便宜，设施环境也都很达标。', 'star': 5}
{'descr': '酒店比较旧，网上定的房间都是北向，不含早餐 ，房间的隔音非常的差劲。', 'star': 1}
{'descr': '觉得和图片照的不太一样，是老的酒店，不是中央空调，卫生不算差，离海边比较近，就是海水太脏了。如果不想花太贵的钱，这里还可以试试。', 'star': 5}
{'descr': '酒店位于东北大学旁边，周围环境很好。', 'star': 5}
{'descr': '周围环境较差，吃饭比较方便，酒店比较老，但还可以，给中评。', 'star': 5}
{'descr': '服务还不错，酒店也比较干净，我们住的三人间，沙发可以弄的再整齐点显得干净，每天打扫的不错。对浴室很满意，空间很大水温很好调节，洗澡很愉快。宾馆离车站微远，得走五到十分钟，鉴于宾馆地处开发区，对于周围环境就不奢求了。宾馆位置靠近大学，比较推荐去大学内的食堂吃饭，很便宜，还推荐宾馆楼下右转走两步一个叫喜什么的家常菜，老板人非常好，味道也不错。最后就是宾馆离海边要走半小时左右，打车就快多了，坐公车的话还', 'star': 5}
{'descr': '这个地方在北戴河与火车站中间，因为北戴河住宿较贵，所以选择了这里，性价比不错', 'star': 5}
{'descr': '环境还好，挺安静的，就是房间隔音有点不尽人意，大厅可以买火车票，总体还不错！', 'star': 5}
{'descr': '性价比蛮好的酒店，值得推荐。', 'star': 5}
{'descr': '假期过去的，环境配置很好，房间干净舒适。性价比很好的酒店。', 'star': 5}
{'descr': '我去秦皇岛都会入住这家店，卫生好服务好。价格合理适中。周围环境也很不错很值得推荐入住！', 'star': 5}
{'descr': '房间设施配置挺干净的，服务人员也很热情。性价比很不错哦！', 'star': 5}
{'descr': '这家酒店的服务非常好，员工都非常热情。感觉很舒心。位置也很方便出行。', 'star': 5}
{'descr': '家酒店的性价比很不错，价格很优惠，房间干净整洁出行方便。', 'star': 5}
