{'短评内容': '一般，环境一般', '短评打分': 3}
{'短评内容': '房间环境不错，交通便利，卫生间也不错。', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '降温天气 中央空调坏了 整晚冻成鬼 ', '短评打分': 4}
{'短评内容': '房间有发霉的味道，接待态度恶劣。。', '短评打分': 2}
{'短评内容': '酒店比较清夾整洁，服务态度不错', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 5}
{'短评内容': '总体还不错，床超级软', '短评打分': 5}
{'短评内容': '价格和其他app上的一样，再使用优惠券的话很划算', '短评打分': 5}
{'短评内容': '很好很强大', '短评打分': 5}
{'短评内容': '住宿一般', '短评打分': 5}
{'短评内容': '酒店还是不错的，就是地方比较偏僻，晚上都没什么人，酒店卫生还好，浴室厕所是开放式的有点不方便', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '不错的酒店，要是有加湿器就更好。', '短评打分': 4}
{'短评内容': '第二次定了，还不错哦', '短评打分': 4}
{'短评内容': '交通方便，早餐一般', '短评打分': 3}
{'短评内容': '交通方便，早餐一般', '短评打分': 3}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '还不错，满干净', '短评打分': 5}
{'短评内容': '离办事地方近，环境还行，旁边有个大超市。不过早餐太单调天天一样。', '短评打分': 5}
{'短评内容': '干净舒适不错', '短评打分': 5}
