{'descr': '性价比不错了', 'star': 4}
{'descr': '住过最差的宾馆，宾馆客服人员抽烟，床上有好多只蟑螂，押金也出问题系统无记录，总之各种问题，感觉太差了！其他问题还能忍，有蟑螂是实在忍不了！！！原本预订一周，实在住不下去了！！！提前退房！！！', 'star': 1}
{'descr': '停车位不好找，但是价钱相对可以的，圆床必须得靠窗，通风不好的话屋子里有味道，前台服务可以，帮忙调换一个靠窗子的房间，整体来说不错的，靠近果戈里大街，挺适合旅行，屋子里的东西基本都收费，能提前准备好的话最好都自带', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', 'star': 5}
{'descr': '设施非常好，周边环境也优美，服务比较到位，房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', 'star': 5}
{'descr': '好……………………', 'star': 5}
{'descr': '还可以，家庭住，挺宽松，便宜方便', 'star': 5}
{'descr': '价格便宜，环境还可以，就是拖鞋还要钱', 'star': 5}
{'descr': '服务太特么的次，没有一个服务态度好的，傻逼', 'star': 1}
{'descr': '太偏各種不方便', 'star': 1}
{'descr': '冷', 'star': 2}
{'descr': '卫生环境很好，圆床很舒服', 'star': 3}
{'descr': '不错，环境挺好，位置有点偏', 'star': 3}
{'descr': '挺好的  值得推荐  环境很干净', 'star': 3}
{'descr': '非常喜欢，非常好，很不错，服务态度好', 'star': 3}
{'descr': '第一次网上预订，感觉不错', 'star': 5}
{'descr': '环境不错，就是电脑不好！使', 'star': 3}
{'descr': '服务差 不通知不收拾房间 各种差 大家不要去住', 'star': 1}
{'descr': '服务级差 不通知不收拾房间 各种差 大家不要住', 'star': 1}
{'descr': '宾馆还不错，住了好多次了', 'star': 3}
{'descr': '还不错，大床房比较安静，洗手间门透明的很浪漫，就是没有针线包不方便', 'star': 3}
{'descr': '位置便利，环境不错。晚上2点多到店，前台服务不错。推荐下。', 'star': 5}
{'descr': '卫生还好，交通也方便，隔音太差，竟然听到隔壁的嘿咻声，早餐简单，品种少。', 'star': 5}
{'descr': '酒店布局不错，干净整洁，就是床稍微小了点', 'star': 5}
{'descr': '订的酒店离中央大街远了点，内部装修环境还行，网上订购比在当地直接入住便宜，但是是我们一家住的房间有有点闷，太热了，还赠送早餐，每人一盒装方便面和一代咸菜，呵呵', 'star': 5}
{'descr': '屋子有点小 交通不算特别方便', 'star': 3}
{'descr': '经常来住。但是这次比较倒霉，台灯是坏的，电视是坏的，吹风机也是坏的…我不是挑事的人，就没说什么了，但是生气和失望是必然的。', 'star': 3}
{'descr': '没有原来干净了,最主要别人在网上定房间打折,我在这定完贵三十,气气气', 'star': 3}
{'descr': '酒店是翻新的，入住时走廊里有刺鼻的油漆味。商务间一点也不商务，连个电脑都没有，十分不方便。还有房间的一些设施也过于简陋，性价比不高，个人觉得一晚188/间有点高了，其他的都还行。', 'star': 1}
{'descr': '\u3000电视太旧', 'star': 3}
{'descr': '酒店价格与它的条件基本相符,还提供早餐,交通比较方便,就是酒店提供的拖鞋我觉得不太好.比较适合家庭出行入住.', 'star': 5}
{'descr': '常住，很温馨~前台登记及退房的速度比较慢，而且让我住了走廊最里面的一间房，应该事先跟我说一声，因为比较忌讳这些~其他都还好~', 'star': 5}
{'descr': '蛮好', 'star': 3}
