{'短评内容': '还可以，交通还算是方便，吃饭也算是方便，快捷酒店的标准配置，这种价位要求也不能太高了，商旅的性价比还是不错的', '短评打分': 5}
{'短评内容': '还蛮好的吧', '短评打分': 5}
{'短评内容': '酒店位于东台市中心，交通方便，好停车。入住时正逢新春佳节，酒店服务热情，态度谦和有礼，房间布置简洁清爽！', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '交通便利', '短评打分': 4}
{'短评内容': '一般，老酒店', '短评打分': 3}
{'短评内容': '酒店装修旧了点，其他还可以。', '短评打分': 4}
{'短评内容': '还可以帮朋友订的 性价比较高吧', '短评打分': 5}
{'短评内容': '很晚到，有房，早晨厨房吹风机吵，早餐样式简单但是能吃饱。', '短评打分': 4}
{'短评内容': '以后不会再住这里了，以前觉得餐饮不错，价格公道，现在什么都没有了', '短评打分': 3}
{'短评内容': '房间小，价格便宜，交通方便，也就那样了', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
