{'短评内容': '老牌子，还可以！', '短评打分': 5}
{'短评内容': '停车费太贵了，自驾车别住', '短评打分': 4}
{'短评内容': '整体感觉一般 装修非常老了', '短评打分': 5}
{'短评内容': '距离公司比较近，开会给同事预定的，比较方便', '短评打分': 5}
{'短评内容': '服务可以实施一般', '短评打分': 5}
{'短评内容': '朋友推荐入住的 环境不错 离地铁站也比较近 满意', '短评打分': 5}
{'短评内容': '朋友推荐入住的 环境不错 房间干净舒适', '短评打分': 5}
{'短评内容': '老四星酒店，服务还不错。房间设备很好。', '短评打分': 4}
{'短评内容': '酒店还可以，已经改造了。', '短评打分': 4}
{'短评内容': '酒店服务一般 有游泳池水温很好。总体感觉还可以就是价格高的。', '短评打分': 3}
{'短评内容': '各方面都很好。', '短评打分': 5}
{'短评内容': '酒店位置好，在中关村附近，离地铁也近。但由于周围机本都是大的写字楼，所以除了在酒店用餐外出去吃要坐车。本来是打算住3天的，但是遇到酒店要大修（据说客房全关），只住了一天。', '短评打分': 4}
{'短评内容': '大堂比较气派，房间一般般，特价房性价比还可以', '短评打分': 4}
{'短评内容': '酒店环境不错，离朋友家近，离地铁也近，过来方便，每次都住。哈哈，就是这次觉得热水壶啥的有点旧了，觉得该装修了。结账时发现酒店第二天开始就要全面装修了，好吧，据说半年住不了了。特别要提一下的是房间服务员，因为要等人回来，我不方便太早退了房间，在外面等，就打电话给前台确认可以下午2点之前退房。就安心等了，12点服务员过来说，你什么时候退房，我说2点之前退。她脸色就不好的说，那你也不能等到那个时间退吧，', '短评打分': 5}
{'短评内容': 'OK', '短评打分': 5}
{'短评内容': '楼下有个游泳池，冬天去不错，完事桑拿什么的。\n', '短评打分': 4}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '交通便利，但有些酒店有些老了\n......................', '短评打分': 5}
{'短评内容': '位置不错，就是有些压抑。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '不错挺好挺好 不错挺好挺好 不错挺好挺好 不错挺好挺好', '短评打分': 5}
{'短评内容': '环境还是不错的\n就是空调不太好\n再有就是早餐很一般', '短评打分': 5}
{'短评内容': '酒店不错，位置不错。', '短评打分': 3}
{'短评内容': '房间有点小，但是干净整洁，交通比较方便，早饭种类有点少。', '短评打分': 5}
{'短评内容': '酒店还算不错。就是空调差点儿意思。浴缸相对辽宁大厦、京仪酒店等好多了', '短评打分': 5}
{'短评内容': '，7月14日已入住翠宫饭店', '短评打分': 3}
{'短评内容': '酒店交通方便，房间不错，干净整洁，价位还合理，服务也好。', '短评打分': 5}
{'短评内容': '五星级酒店价格还合适。可以', '短评打分': 3}
{'短评内容': ' 服务态度比较好！酒店比较安静！', '短评打分': 3}
{'短评内容': '感觉还挺好的。', '短评打分': 3}
{'短评内容': '房间不错 就是不带早餐 自己去吃早餐还挺贵一百多', '短评打分': 5}
{'短评内容': '  设施很好，房间很大。唯一得缺陷是临街的这面，隔音不好，街上的过往车辆的声音有点吵。', '短评打分': 3}
{'短评内容': '酒店总体还可以吧', '短评打分': 3}
{'短评内容': '酒店的总体感觉还不错，毕竟是老牌的五星，设施虽然老些，但还是比较全的，不过有一点，预订的时候说是免费升级到豪华标间，入住时前台并没有告知是否升级，所以自己也是稀里糊涂的就入住了！希望这点有所改进吧！', '短评打分': 5}
{'短评内容': '帮客户定的，反应还可以。。。。。。。。。。。。。就是有点老', '短评打分': 5}
{'短评内容': '离市区比较近，挺安静的，饭店挺老的，不过离中关村近，方便工作出行。', '短评打分': 5}
{'短评内容': '房间不小，，挺舒服的，，如果房间内有无线上网就更好了，，IPAD用不上啊', '短评打分': 5}
{'短评内容': '酒店服务不错，就是周边环境不是很好，总体还可以', '短评打分': 5}
{'短评内容': '真的狠不错，价格也不贵，机票服务也好，下次来京还住这.', '短评打分': 5}
{'短评内容': '多次入住，价位合适，环境不错，交通比较便利。', '短评打分': 5}
{'短评内容': '还好，房间有点小。不合五星标准，隔音效果不好', '短评打分': 5}
{'短评内容': '海淀区范围内很不错的一家酒店，房间宽敞大气，低调奢华。已多次向朋友推荐~', '短评打分': 5}
{'短评内容': '该酒店号称五星,但是太旧了。屋内的设施陈旧，服务也陈旧。尤其是酒店大厅门口的服务生服务态度很恶劣，请叫一个出租车都不肯，而且还与客人争吵。今后不会再住该酒店。', '短评打分': 1}
{'短评内容': '价格越来越贵了，比较老，交通还算便利。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '涨价了。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置较好，交通便利，设施较陈旧，价格偏高', '短评打分': 5}
{'短评内容': '中规中矩的中关村老五星酒店，服务、硬件都还可，价格适中。', '短评打分': 5}
{'短评内容': '酒店有点老了，楼层很低，感觉不是很敞亮。还可以，价位有点偏高。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '我经常安排客人住在这里，对比上海的中福世福汇，面对有一名客人因为官员身份，不能按照预定入住，什么都没有说，很容易就变更了，也体现出饭店的大度，毕竟是真正的5星级的饭店，价格比上海的号称5星级（环境和饭店硬件条件和服务都比这里差很多）的中福世福汇，还要便宜。其他客人住在这里也感到比较方便。', '短评打分': 5}
{'短评内容': '这家酒店太贵了，环境也一般，感觉不像五星级。', '短评打分': 1}
{'短评内容': '虽然是五星级的，但设施已经有点陈旧。因为离开会地点近，所以住一晚。', '短评打分': 5}
{'短评内容': '酒店设施挺好的，房间的，服务人性化，感觉不错，', '短评打分': 5}
{'短评内容': '位置很好，三环，交通方便。环境很好，安静。服务周到。', '短评打分': 5}
{'短评内容': '房间不错，吃饭不错，位置也不错，我没到北京必住，还帮朋友定住。', '短评打分': 5}
{'短评内容': '感觉很不错，服务很好', '短评打分': 3}
{'短评内容': '比较老，环境还可以。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店不错，环境优雅，主楼有旋转餐厅，后面的楼就更加清净一些', '短评打分': 5}
{'短评内容': '整体不错，但是门童好像不送行李，和其它五星有差异', '短评打分': 3}
{'短评内容': '开始订酒店到结束住宿我很满意，下次还会来并会推荐给别人。', '短评打分': 5}
{'短评内容': '交通便利，价格适中，在知春路上，中关村区域性价比还不错的酒店', '短评打分': 5}
{'短评内容': '价钱合适，交通方便，老外每次来都帮他们定这个酒店', '短评打分': 5}
{'短评内容': '挺好的，位置、交通都很方便！。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '有点老，位置还不错。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '刚住进房，由于打扫房间等半小时', '短评打分': 3}
{'短评内容': '就在北京的五星级酒店来说性价比不错，但房间内设施稍显陈旧，如果不是特别挑剔，又希望住在中关村附近的话可以选它。', '短评打分': 5}
{'短评内容': '饭店性价比很好,地角也好靠地铁很近,出行方便.', '短评打分': 5}
{'短评内容': '四星的酒店装修不错，就是价格太贵呢。......................', '短评打分': 5}
{'短评内容': '酒店有些老，不过档次确实高，房间设施比较陈旧，勉强推荐一下吧', '短评打分': 5}
{'短评内容': '酒店位置不错，周边环境出入方便，就是价格较高，总性价比不高！', '短评打分': 1}
{'短评内容': '还不错。', '短评打分': 3}
{'短评内容': '价格比较合适，交通比较方便，离地铁站不远，附近有个沃尔玛购物中心', '短评打分': 5}
{'短评内容': '多次给老外都是订的这家酒店，有个好处就是多晚到店都行，也不用信用卡担保', '短评打分': 5}
{'短评内容': '还行，每次老外来都住这个酒店，因为离我们公司最近，走路5分钟就到了。房间还不错，稍微有点小，而且房型太少，除了标准间往上就是价格贵一倍的套房了。', '短评打分': 5}
{'短评内容': '交通便利，酒店有些老了...................................................................', '短评打分': 5}
{'短评内容': '楼层比较压抑，太老了....................................................', '短评打分': 5}
{'短评内容': '位置好，交通便利，房间宽敞，就是房间有点低', '短评打分': 5}
{'短评内容': '位于知春里。毗邻中关村。走到地铁站约要走5分钟（知春里站）\n典型的旧式五星级酒店。\n服务不好。会在你睡得很迷糊的时候来敲门问你要不要打扫房间。\n自助餐贵。要不是出差单位给报销打死我也不会去那儿吃。\n而且还没什么东西。', '短评打分': 1}
{'短评内容': '停车场太贵，不适合有车人士入住，并且附近业内有找到便宜的停车场。', '短评打分': 5}
{'短评内容': '    住的是标间。在中关村及北大周边，翠宫算性价比不错的五星酒店。因为是老牌酒店，所以硬件设施略显老化，但尚在可接受范围内。此次感受到的服务只能说一般，行李员不会主动询问客人是否需要服务，即便客人明明带有多件较大行李。要赞扬的是楼层服务人员，退房时打了个查房招呼，刚下到前台查房完毕的通知就到了，缩短了Check Out的时间。', '短评打分': 5}
{'短评内容': '干净，便捷，地处火车站附近~~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店不错，服务和硬件都够得上五颗星。以前开会住过几次，这次选这里是为了离办事的地方近些。酒店为入住客人免费提供一次洗衣，还算是实用。价格再大些就好了，呵呵……', '短评打分': 5}
