{'短评内容': '房间有发霉的味道', '短评打分': 2}
{'短评内容': '这种酒店怎么会是3星级的？真的想不通，房间小，网络信号差。卫生间旧。', '短评打分': 2}
{'短评内容': '一楼还是太潮了，还好有空调', '短评打分': 4}
{'短评内容': '房间很小，设施老旧，隔音差，还没热水…', '短评打分': 2}
{'短评内容': '还可以，最好住标间房间要大点！！', '短评打分': 5}
{'短评内容': '比快捷酒店好，价格便宜', '短评打分': 3}
{'短评内容': '很幸福的住宿', '短评打分': 5}
{'短评内容': '房间很大，很不错', '短评打分': 5}
{'短评内容': '酒店标间是一大一小床', '短评打分': 4}
{'短评内容': '设施太老，一米宽小床，卫生一般，订的带有早餐，到酒店了却说没有，很差劲', '短评打分': 3}
{'短评内容': '女朋友对wifi那是赞不绝口啊，网速杠杠，停车场也很方便，卫生也不错，非常满意，媳妇说以后就来这住', '短评打分': 5}
{'短评内容': '停车场很大，wifi速度很快，价格也好，后面有小吃，很舒服，里面是个商圈，非常不错，下次还会来', '短评打分': 5}
{'短评内容': '很满意，价格不高但设备齐全，wifi速度很快最满意。停车厂大的很，非常满意，下次还会来', '短评打分': 5}
{'短评内容': '温馨之家的感觉', '短评打分': 5}
{'短评内容': '非常好啊，卫生好，环境好，服务好，去什么地方都很方便，周围好吃的也不少，还有超市，去云台山时想买点零食，可以去那里备货！而且到这里的交通也十分方便，非常不错，值得推荐！好了，就这么多吧……', '短评打分': 5}
{'短评内容': '只能说很差按，唯一的亮点就是前台长的还不错- -', '短评打分': 1}
{'短评内容': '整体挺好的。。。。就是离出差的地方稍微远了哦。。。。。。。就是离出差的地方稍微远了哦。。。。。。。就是离出差的地方稍微远了哦。。。。。。。就是离出差的地方稍微远了哦。。。', '短评打分': 5}
{'短评内容': '房间很好，很干净，服务态度很热情，交通便利，价格合适，就是有点小', '短评打分': 5}
{'短评内容': '酒店很干净，朋友很满意。', '短评打分': 3}
{'短评内容': '房间不大，不过干净。还可以。这个价格的三星不错了。对面有一家饭馆味道很好。位置也比较好找。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '大厅挺像回事的，但是里面的房间都很小，而且还有点酶味儿，不推荐。', '短评打分': 1}
{'短评内容': '酒店周边交通挺方便的，旁边有个大型超市，还有很多吃饭的地，距离火车站也就二三十分钟车程，还可以，房间布置的比较干净整洁，住宿条件还可以', '短评打分': 5}
{'短评内容': '一路走来  住的最烂的一家\n本来在焦作海天假日 觉得海天不行  \n到这一看 才发现 海天跟这比 已经是天堂了\n这设备太旧  房间太小  卫生太一般  光线昏暗\n这家很有90年代的味道\n好吧 我是SB 我订了这家  ', '短评打分': 1}
{'短评内容': '房间硬件设施比较不错，很齐全，服务很一般，卫生条件打扫的不错，干净整洁，总的来说住宿环境一般般', '短评打分': 3}
{'短评内容': '位置还可以，出行、打车都很方便，酒店有自己的停车场，停车都没问题，房间装修的比较简单，价格公道合理，舒适度还行', '短评打分': 5}
{'短评内容': '服务挺周到的，住宿环境不错，价格实惠，房间装修的还可以，布置的也比较合理，卫生过硬，住着挺放心的', '短评打分': 5}
{'短评内容': '位置不错，环境还行，出行挺方便，房间装修的一般，卫生条件不错，价格合理，下次还会考虑住的', '短评打分': 5}
