{'descr': '好好好好好好好好好好好好好好好好', 'star': 4}
{'descr': '好好好好好好好好好好好好好好好好', 'star': 3}
{'descr': '好好好好好好好好好好好好好好好好', 'star': 4}
{'descr': '好好好好好好好好好好好好好好好好', 'star': 3}
{'descr': '环境一般，设备陈旧', 'star': 3}
{'descr': '地处商业中心，周边配套齐全，交通便利。', 'star': 5}
{'descr': '出差经常住，快捷酒店基本如此，就是靠近市区比较经济的酒店。', 'star': 5}
{'descr': '速8不错的选择，下次去石家庄还会选速8。', 'star': 5}
{'descr': '好，', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '位置非常好,交通便利.环境干净整齐.值得推荐.每次都住着.', 'star': 5}
{'descr': '除了之前提到的那些不好的，也有一点的优点。交通位置很好，市中心。购物吃饭等都方便。', 'star': 1}
{'descr': '隔音太差了！！！外面讲电话听的一清二楚，而且写字台的凳子和床挨的也太近了把。。。完全抵在一起了。还有被子啊，，一股霉味。。。服务员不管有没有人老是爱来敲门问要不要做清洁。。。', 'star': 1}
{'descr': '还不错，位置不错', 'star': 3}
{'descr': '\u3000住的很好很舒服。', 'star': 3}
{'descr': '市中心很方便，网速快', 'star': 3}
{'descr': '购物非常方便，停车也不想其他人说的收费啊，只需要在出门前在前台刷停车卡即可。', 'star': 5}
{'descr': '交通蛮方便的，酒店各方面服务也挺不错，就是旧了点。', 'star': 5}
{'descr': '还是可以的，整体环境尚可 但是房间不是很大', 'star': 5}
{'descr': '在燕春住已经快10年了，当年还没有速8，是国营的，所以很放心，服务也好，每次来都住这里，有很深的感情了。虽然，设施有一些陈旧，洗手间的花洒损坏严重，需要改进。\n另外，地点很方便，石家庄比较繁华的地段，离火车站也不远，对面北国商城，当地最好的商场了。不远还有蓝湾咖啡，环境和食物都不错，价格便宜。还有，特别要说的是，电视很不错，能看到HBOHD、凤凰卫视、TV8、华娱、星空卫视等', 'star': 5}
{'descr': '酒店地理位置绝佳,吃住行都很方便,房间有点小,性价比好..', 'star': 5}
{'descr': '地理位置优越；虽临街但房间安静，外窗和走廊的隔音都不错；床品稍软；空调给力；热水充沛，浴巾磨损情况较严重；早餐在燕春回廊，内容尚可。这个价格区间，值得推荐。', 'star': 5}
{'descr': '必须中午12点前退房，没商量，差评', 'star': 3}
{'descr': ' 大床房太小了，床和桌子之间放一把椅子，就基本上堵的水泄不通了，装修也很陈旧。', 'star': 1}
{'descr': '和办事地点很近，酒店的早餐还不错，有自助，和之前在扬州住的不一样。', 'star': 5}
{'descr': '这个酒店陪这个价格很合理！就是有蚊子，设施有点陈旧', 'star': 5}
