{'descr': '边上有个火锅店', 'star': 3}
{'descr': '几乎一晚上没怎么睡着，房间太不隔音了，半夜楼上和旁边都有人入住，还有一波大概我房间旁边的吧，半夜还以为在开自己的房间，着实被吓坏了。还有是报警器吧一直在想', 'star': 3}
{'descr': '根据房价所订的房间还是比较满意的。值得推荐！', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '前台服务特别好，门卡有问题一直帮我们弄好，态度也很好，再来还会住的', 'star': 5}
{'descr': '贵', 'star': 5}
{'descr': '贵', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '很好。。。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '不错哦，赞赞', 'star': 5}
{'descr': '整体感觉一般，隔音效果不好，走廊里说话都听的见', 'star': 3}
{'descr': '好', 'star': 5}
{'descr': '不错。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店环境不错，服务态度好，就是有窗户的房间太少了', 'star': 5}
{'descr': '好好好好', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '可以', 'star': 5}
