{'短评内容': '早餐一般', '短评打分': 3}
{'短评内容': '宿舍不好的都教授', '短评打分': 4}
{'短评内容': '烂', '短评打分': 1}
{'短评内容': '去扬子江出差，很方便', '短评打分': 5}
{'短评内容': '不错 干净利落', '短评打分': 5}
{'短评内容': '应该说非常不满意，枕头都像是别人刚睡过似的。关门声音超大，隔音也很差。前台屏幕价格与实际不符，差距太大。', '短评打分': 2}
{'短评内容': '三月份来住过，还是不错的酒店，虽然老点，还可以吧，高港也就这样了！', '短评打分': 5}
{'短评内容': '性价比不错，这个地方算不错了，房间设施有点旧。', '短评打分': 4}
{'短评内容': '商务出差挺好的，晚餐可以低额记账。早餐也可以吧！周围没什么可逛街的。门口交通还是挺方便的，公交车站就在附近。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '卫生还好，但设施较陈旧，服务态度有待提高', '短评打分': 5}
{'短评内容': '酒店周围啥都没有，饭店便利店都要走两个路口。酒店本身还是不错的。装修偏老旧，服务水平可以的。', '短评打分': 4}
{'短评内容': '区内能吃饭的酒店就两家，房价较高，餐厅服务不错。', '短评打分': 4}
{'短评内容': '外壳强大，服务态度还行，细节有待加强。', '短评打分': 2}
{'短评内容': '不错哦！不错哦！', '短评打分': 5}
{'短评内容': '房间挺大,设施齐全,几个适中,公务员们开会经常住的酒店,就是离市区太远,没车的话不方便.', '短评打分': 5}
{'短评内容': '房间挺大,设施齐全,几个适中,公务员们开会经常住的酒店,就是离市区太远,没车的话不方便.', '短评打分': 5}
{'短评内容': '房间部分设施看上去老化，能用，床位比较干净，早饭还行，本人早上起床后有点懒，要是能打包送到房间，额外收点服务费还是可以接受的，开房价钱稍偏高，服务态度说的过去。', '短评打分': 3}
{'短评内容': '在扬子江药业的对面，离市区较远叫出租车不是很方便，周边也没有什么商业网点。酒店外观气派，内部的细节方面不太尽人意。', '短评打分': 1}
{'短评内容': '酒店环境很好, 很气派, 就在扬子江药业集团对面, 很容易找。', '短评打分': 5}
{'短评内容': '交通比较方便，酒店设施还可以，价格也比较适中！', '短评打分': 5}
{'短评内容': '酒店是扬子江药业的三产，在开发区办事比较方便，房间有点旧了。', '短评打分': 3}
{'短评内容': '每次出差都入住这里，很舒适。', '短评打分': 3}
{'短评内容': '酒店不错，主要是适合我们办事方便。房间空调效果有点欠缺，可能跟我那天的天气原因有关吧', '短评打分': 5}
{'短评内容': '酒店不错，不过就是早餐有点一般，没有几个菜。', '短评打分': 5}
{'短评内容': '很好得酒店，很好的酒店。下次还会来。很好得酒店，很好的酒店。下次还会来。', '短评打分': 5}
{'短评内容': '这次入住感觉不好，不如刚开的时候感觉好。\n酒店是扬子江药业集团的三产，目的只为圈地，对专业的服务有所欠缺，愧为五星级酒店的称号了有点。', '短评打分': 1}
{'短评内容': '属于五星级酒店,对面正好是扬子江药业,每次出差去泰州高港,都会订这家,住的舒适.', '短评打分': 5}
{'短评内容': '该洒店硬件一般不像五星级', '短评打分': 3}
{'短评内容': '环境不错，房间嘛，距5星差的远', '短评打分': 3}
{'短评内容': '准5星？这家酒店根本就不可能有星级，连招待所都不如', '短评打分': 1}
{'短评内容': '酒店很差很差！\n隔音太差\n交通不便\n服务不好\n设施老旧\n总体来说太差了，下次不会再来了', '短评打分': 1}
{'短评内容': '总体很好的   房间内设施不错 温度适中', '短评打分': 5}
{'短评内容': '什么垃圾酒店！！！！！！\n车子停在酒店停车位上，第二天去开车子，发现车子居然被别人擦花了，酒店居然没人看车子的吗？\n房间隔音太差了，感觉酒店里有施工队一样，吵死人了！\n早餐是人吃的吗？看了一眼早餐都没胃口吃下去！\n房间床单发黄，太脏了，睡一晚全身都痒！\n很差的酒店', '短评打分': 1}
{'短评内容': '酒店隔音效果差的不行，隔壁有动静都能听的见！洗手间很差，洗澡水一会冷一会热！空调不制暖，半夜冻死人！酒店网速非常卡，半天都打不开网页！酒店交通很不方便，除非自己开车，不然就靠走！没什么说的，很垃圾，请我去住，我都不想再去了！', '短评打分': 1}
{'短评内容': '前几天只是以为酒店硬件设施老旧而已，将就着住，这两天才发现，酒店综合都差，什么都差，服务态度也很差，要什么没什么！早餐什么吃的都没有，就几种炒菜（谁一大早吃烧菜啊？），早餐根本吃不饱，出门交通不方便（是非常的不方便），下雨天在外面逛街，鞋子上有篱笆什么的，把房间地毯弄脏了，清洁一下不就好了吗，居然要我赔100元，下次打死也不去住了！忠告大家也别去住，住了会后悔！', '短评打分': 1}
{'短评内容': '前几天只是以为酒店硬件设施老旧而已，这两天才发现，酒店综合都差，什么都差，服务态度也很差，要什么没什么！下雨天在外面逛街，鞋子上有篱笆什么的，把房间地毯弄脏了，清洁一下不就好了吗，居然要我赔100元，下次打死也不去住了！忠告大家也别去住，住了会后悔！', '短评打分': 1}
{'短评内容': '不错不错，设施有点老旧，总体还可以。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，5星级的酒店，硬件设施有点老旧，出门还打不到出租车，还可以吧', '短评打分': 5}
{'短评内容': '1、隔音效果不行。\n2、卫生间地漏堵了，我老婆摔了个跟头。\n3、价格偏高。\n4、晚上出行交通不便。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '早餐不错，花样很多，酒店有自己的停车场，停车位蛮多的，房间基础设施齐全，服务还可以，环境不错', '短评打分': 5}
{'短评内容': '酒店装修的比较富丽堂皇，房间打扫的很干净，服务员很好，见面都会主动打招呼的，硬件设施很齐全，总的来说住宿环境蛮好的', '短评打分': 5}
{'短评内容': '酒店的整体装修很好，很上档次，早餐质量很好，房间的卫生和质量都不错，各方面都很满意', '短评打分': 5}
{'短评内容': '酒店的环境还可以，房间的装修卫生都还可以，价格都差不多。位置还是比较方便。', '短评打分': 5}
{'短评内容': '不错，干净卫生', '短评打分': 5}
{'短评内容': '泰州的好酒店。推荐。', '短评打分': 5}
{'短评内容': '非常好 ', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 5}
{'短评内容': '总体来说还不错的!', '短评打分': 5}
{'短评内容': '一个小镇能有这样的酒店，非常不错。不过去泰州选择那里，偏远了点。而且酒店设施相比老旧了点，需要装修升级啦。', '短评打分': 5}
{'短评内容': '设施一流，服务还算可以。餐饮是需要提高的部分，尤其是早餐。&lt;br /&gt;\n康乐中心的服务很到位，而且没有乱收小费这样的事情。享受这样的服务很安全，以后会经常找机会来的。', '短评打分': 3}
