{'短评内容': '我用携程下单，说118远返现13元的。到了前台要了我两百押金，我还以为房间里有多少吃的用的东西。上楼进入房间，迎接我的首先是一股异味，也不用看橱窗上有没有东西了，因为压根也没橱窗更没任何吃的用的东西，我刚在诧异那他们要这么多押金干什么时，手机收到短信，说我在携程下的118元已被退款，我霎那间明白了一切。房间被子完全没有干爽的感觉，卫生巾排风扇坏的，床头电视机开关没有或者是坏的。空调上面灰尘已很厚。', '短评打分': 1}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '卫生间淋浴间在一起，洗手池竟然在床头，我郁闷。其它还好', '短评打分': 3}
{'短评内容': '空间较大，服务较好，热水较大。可以入住。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店干净便宜，性价比很高，哈哈，前台姑娘很漂亮。', '短评打分': 3}
{'短评内容': '总体还行吧，可是房间下水道不知道怎么了，卫生间巨臭，异味很大，不过勉强就住了一晚，有无线网络，整体还是不错的，地理位置也不错。', '短评打分': 5}
{'短评内容': '服务很好 房间很好 ', '短评打分': 5}
{'短评内容': '室内装修一般，但配有电脑，如无特别要求，还可接受，毕竟价钱也不贵', '短评打分': 5}
{'短评内容': '房间装修一般，空调制热效果不好', '短评打分': 3}
