{'短评内容': '环境真的是差级了，而且卫生更差', '短评打分': 1}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '家庭旅馆，旁边就有市场，海鲜很便宜，可以自己做饭，挺好的。', '短评打分': 5}
{'短评内容': '老板挺热情，房间也不错', '短评打分': 5}
{'短评内容': '刚到的感觉还不错，老板娘很热情，房间用品也很干净。给人的总体感觉还可以，有家的味道。如果下次再过来，应该还会选择这里。', '短评打分': 4}
{'短评内容': '非常干净舒适，下次还会光临，', '短评打分': 5}
{'短评内容': '老板很实诚，人很好，旅馆除了小点别的都挺不错，很温馨', '短评打分': 5}
{'短评内容': '酒店周边的海鲜很便宜，额，人均50元就可以吃的很好了，酒店还好，可以租自行车，租泳圈，骑车到海边20分钟左右，打车15元。', '短评打分': 4}
{'短评内容': '提前预定，不然房间没有。老板特别热情，人很好。下次还会住', '短评打分': 5}
{'短评内容': '服务还是很好的  老板人也挺好的', '短评打分': 5}
{'短评内容': '太差了。。。', '短评打分': 1}
{'短评内容': '挺不错，老板热情，服务好，出入交通方便', '短评打分': 5}
{'短评内容': '很喜欢，店家很热情，很好的一个阿姨，下次介绍朋友去。', '短评打分': 3}
{'短评内容': '老板娘人很热情', '短评打分': 4}
{'短评内容': '还可以，不过和正式的宾馆还是有差别，老板娘人挺好', '短评打分': 3}
