{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍。 前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的。价格实惠,环境清幽,吃的选择少。', '短评打分': 5}
{'短评内容': '脏乱差 又很吵', '短评打分': 1}
{'短评内容': '房间面积小', '短评打分': 5}
{'短评内容': '早餐一般，房间还行', '短评打分': 5}
{'短评内容': '房间很小', '短评打分': 3}
{'短评内容': '第一次在京东定房 还真不错 房里还有干衣机', '短评打分': 5}
{'短评内容': '环境还行，主要里开会地方近', '短评打分': 5}
{'短评内容': '还行吧&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！', '短评打分': 5}
{'短评内容': '早餐需加强', '短评打分': 5}
{'短评内容': '麻烦对小卡片现象采取应对措施', '短评打分': 5}
{'短评内容': '需加强管理', '短评打分': 5}
{'短评内容': '电视很模糊', '短评打分': 5}
{'短评内容': '早餐有点简单，', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还不错，推荐。', '短评打分': 4}
{'短评内容': '房间好小，电视只有几个无聊的台，装修和用品都很旧。', '短评打分': 3}
{'短评内容': '代客户预订，还不错。', '短评打分': 4}
{'短评内容': '不错，出差一直住这家。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店环境不错，位置好。距离办事的地方，很近很方便。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间小，床也不舒适，而且还停车过夜收费。', '短评打分': 4}
{'短评内容': '前台接待的美女服务热情非常好（这个要赞一个的），这家店住过很多次了，在这片办事出行非常的便捷，就是酒店的设施有点旧。', '短评打分': 4}
{'短评内容': '不错的地方，干净，继续续住', '短评打分': 5}
{'短评内容': '酒店地段较好，交通非常方便。感觉房间小了一点，隔音效果不太好。', '短评打分': 3}
{'短评内容': '房间一般吧，地理位置方便', '短评打分': 3}
{'短评内容': '这家酒店不错，位于新区中心，离五象广场很近，步行五分钟，周边有各种餐馆，还有大超市，很方便。房间也很干净，服务不错。离琅东汽车站也不远，打车十五元就到了。', '短评打分': 5}
{'短评内容': '＋还行吧，一份价钱一份货。空调不好用，声音很大，家具有点旧旧的，而且隔音效果很差。', '短评打分': 3}
{'短评内容': '房间小了点，卫生可以。隔音差了点，晚上过道上有人走过听的很清楚。', '短评打分': 5}
{'短评内容': ' 该酒店性价比不高，房间太小，价格也不便宜。位置还好。', '短评打分': 1}
{'短评内容': '房间太小，价格也不便宜。对比长沙，180元的房子比这好多了，可能南宁物价较高。', '短评打分': 1}
{'短评内容': '就是房间小些，一切都挺满意！价格适中。', '短评打分': 3}
{'短评内容': '酒店经济实惠，每天加5元，可以不限量打国内长途电话，很方便，是办公出差的好选择。', '短评打分': 5}
{'短评内容': '位置很好，经济实惠，还算干净，门口就是公交站，打车也方便，就是餐厅的菜品有点少。', '短评打分': 5}
{'短评内容': '经济实惠的酒店，比较干净，位置也很好，步行到五象广场商业中心只要5分钟，酒店一层有快餐店，随到随点，还能挂房间帐，很方便。', '短评打分': 5}
{'短评内容': '环境不错，服务态度还可以 ', '短评打分': 3}
{'短评内容': '连续两次订了这家酒店，还不错，同样价格的房型有不同的布局，如果朋友们来这里时空房比较多，可以选择一下再入住，大堂服务员态度还可以，就是手慢，要耐心等。', '短评打分': 5}
{'短评内容': '酒店位置不错，经济实惠，比较干净，只是大堂服务员动作太慢了，等的让人着急，在中国-东盟博览会期间450元的房价有点高，不过这个时间南宁的酒店价格都很高，而且很满。第一次住这家，还可以，推荐给讲求实惠的朋友，还不错。', '短评打分': 5}
{'短评内容': '交通便利，离五象广场较近，房间的网速较快，是商旅的不错选择！推荐！', '短评打分': 5}
{'短评内容': '还可以，交通便利，服务也还算不错，总的性价比高...........', '短评打分': 5}
{'短评内容': '位置不错，离金湖广场较近，交通还算便利，停车还可以免费，性价比不错！', '短评打分': 5}
{'短评内容': '＋服务很一般，设施还可以', '短评打分': 3}
{'短评内容': '住了那么多年酒店，就这次房间最小了，除了卫生间，一张小大床、一个床头柜、一张小桌子、一个小衣柜（无衣柜门）还有很窄的过道外，其它空间一点没有，房间里面还有很大一根靠墙的四方柱，我的天啊，太小了，还豪华单间呢，说是20平方，没错，但那是包括卫生间（卫生间倒是比其它酒店的大）在内的20平方。房间服务员态度还不错，离五象广场距离也不算远。后面办理退房手续时，旁边有位客人想让前台服务员把发票写成实际的一天', '短评打分': 1}
{'短评内容': '环境不错就是小了点', '短评打分': 3}
{'短评内容': '总体还不错，周边环境好，距离五象广场、南湖很近，就是房间太小，洗澡水流小。', '短评打分': 5}
{'短评内容': '地理位置不错，性价比很高的一家经济型商务酒店！推荐！', '短评打分': 5}
{'短评内容': '酒店毗邻五象广场，出行非常方便，值得推荐', '短评打分': 5}
{'短评内容': '房间的装修设计很时尚前卫，感觉比较艺术性，前台服务员礼仪礼貌都很好，比较专业，房间硬件设施齐全，卫生条件不错，其他方面都还好 \n', '短评打分': 5}
{'短评内容': '好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很好得很', '短评打分': 5}
{'短评内容': '非常好的酒店,卫生服务一流.非常好的酒店,卫生服务一流.', '短评打分': 5}
{'短评内容': '房间的装修设计很时尚前卫，感觉比较艺术性，前台服务员礼仪礼貌都很好，比较专业，房间硬件设施齐全，卫生条件不错，其他方面都还好', '短评打分': 5}
{'短评内容': '酒店的性价比比较高，房间硬件设施蛮齐全的，床睡着很舒服，服务很好，房间卫生条件也不错，总体感觉住宿环境很不错', '短评打分': 5}
{'短评内容': '酒店临近市中心，周围吃饭购物很方便，交通很方便，房间还可以，空间大小很合适，打车方便，随叫随到，服务不错，服务员态度很有礼貌也很客气，总体感觉各方面还都算不错的', '短评打分': 5}
{'短评内容': '房间内的硬件设施很齐全，隔音效果不错，卫生条件好，打扫的很干净，周边环境还可以，而且就在车站附近，出行蛮方便的', '短评打分': 5}
{'短评内容': '酒店的位置不错，出行还是很方便的，房间装饰的很好，颜色搭配的不错，提供的早餐也很丰盛，从酒店到汽车站火车站都很方便，房间里还可以上网，感觉很不错', '短评打分': 5}
{'短评内容': '酒店位置很好，交通便利，靠近五象广场，购物很方便，酒店有自己的停车场，自驾过来方便，周边也有很多吃饭的地，总体感觉还不错', '短评打分': 5}
{'短评内容': '酒店的服务不错，挺好的，距离五象广场比较近，房间里可以上网很方便，价格经济实惠，房间装饰的也蛮好', '短评打分': 5}
{'短评内容': '酒店的配套设施齐全，服务到位，性价比还行，卫生条件蛮好的，住着很放心', '短评打分': 5}
{'短评内容': '房间干净，清爽，每天都会有专门的服务员打扫房间，房间布置的很合理，大小合适，以暖色为主，服务还可以，比较尽职尽责', '短评打分': 5}
