{'descr': '还好吧，就是充电不方便', 'star': 5}
{'descr': '111111', 'star': 5}
{'descr': '只有淋雨有热水 洗发水都没有 环境差的要死', 'star': 5}
{'descr': '111111111111111111111111', 'star': 5}
{'descr': '环境不错，吧台亲民，总体好评', 'star': 5}
{'descr': '很快的', 'star': 5}
{'descr': '真心不错 性价比超高', 'star': 5}
{'descr': '空调不太热，其他都不错', 'star': 5}
{'descr': '还不错以后再来', 'star': 3}
{'descr': '十一出行，条件还行。', 'star': 4}
{'descr': '十一出行，这个价位和条件就是不错。', 'star': 4}
{'descr': '还是不错的，性价比挺高的，也干净', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '酒店的位置好找，店面小，尤其是是房间比另外速8的面积要小，房间及洗手间的设施有点陈旧。次所还有些异味。', 'star': 4}
{'descr': '酒店的位置好找，店面小，尤其是是房间比另外速8的面积要小，房间及洗手间的设施有点陈旧。次所还有些异味。', 'star': 4}
{'descr': '酒店的位置好找，店面小，尤其是是房间比另外速8的面积要小，房间及洗手间的设施有点陈旧。次所还有些异味。', 'star': 4}
{'descr': '房间有烟味，很重。房间有烟味，很重。房间有烟味，很重。', 'star': 1}
{'descr': '很好，很干净，也很宽敞，唯一的缺点就是吃饭不太方便，附近没有什么很好的饭店。', 'star': 5}
{'descr': '房间较大、卫生干净、配套全面、早餐挺好、交通便捷', 'star': 5}
{'descr': '价格不高，离地铁近。环境一般', 'star': 3}
{'descr': '酒店还行。离地铁站很近。离浦东机场也近。周围吃饭的地方很多。', 'star': 5}
{'descr': '挺不错的，方便。外面好吃的好玩的太多了。', 'star': 5}
{'descr': '服务态度比较好,房子里还干净,地方也还好,有比价值.可惜就我在的前一两天的网速不好....', 'star': 5}
{'descr': '服务员工作不错', 'star': 3}
{'descr': '房间很干净舒适', 'star': 3}
{'descr': '如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店', 'star': 5}
{'descr': '44如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店如家快捷酒店（上海川沙新川路店', 'star': 5}
{'descr': ' 交通很方便周围吃的地方也很多 比较安静 房间干净整洁只是略觉小些', 'star': 3}
{'descr': '服务很不错，环境很好,有空还会去······················', 'star': 5}
{'descr': '去浦东转机还是挺方便的，楼下转弯就是肯得基和麦当劳，附近KTV 也不少', 'star': 3}
{'descr': '酒店虽然稍微有点难找，不过里面很干净，好评！', 'star': 5}
{'descr': '离飞机场比较近，离地铁站步行十分钟左右，房间不错', 'star': 5}
{'descr': '还不错，。。。。。。。。。。。路口有个牌子找起来更方便些。。', 'star': 5}
{'descr': '   离川沙站一号出口要走十分钟的路程，房间整洁实用，周边吃饭的地方也多，好评', 'star': 3}
{'descr': ' 房间很干净，前台的态度很好，不过酒店的位置和2号线一号出站口有点距离。 总体给好评！', 'star': 3}
{'descr': '跟朋友一起住的， 感觉还不错的，有机会还会选择入住的 。。', 'star': 5}
{'descr': '整体不错，设施也很新，房间很干净，清扫也很好，位置不错，5分钟就到购物中心', 'star': 5}
{'descr': '网上订好了，到店没有房间。改定其他房间。。', 'star': 5}
{'descr': '勉强还行，就是房间面积实在太小了！有点压抑！', 'star': 5}
{'descr': '离浦东机场真的挺近的，房间是有点小，但住着挺舒服的。周边吃喝玩乐的都有。', 'star': 5}
{'descr': '大床房，挺舒适，空间稍有点小。地方不大好找，不是在大马路边上，不过可以通过一个胡同看到“。家酒店”就是他了。', 'star': 5}
{'descr': '帮忙预定的，她觉得价格便宜，第二天乘机方便。', 'star': 5}
{'descr': '旁边吃的玩的 不少\n\n有蟑螂  果然名不虚传\n\n隔音效果什么的也都如前者评价', 'star': 5}
{'descr': '交通还算方便，但是晚上关掉电视机以后，外面有机器运转的声音，很大，非常大，我的房间在六楼啊，害的我失眠', 'star': 3}
{'descr': '赶浦东机场早班飞机的不错选择，去机场打车也就50多块钱。\n', 'star': 5}
{'descr': '环境好，房间布置得很不错，很温馨。下次还去。', 'star': 5}
{'descr': '各方面做的都还可以，挺舒适的，晚上噪音也还可以\n', 'star': 5}
{'descr': '总体上基本还可以，就是有蚊子，网速慢了点儿。。。。。', 'star': 5}
{'descr': '房间很小 床头灯是坏的 蚊子很大····', 'star': 1}
{'descr': '还不错~旁边要啥有啥 吃饭逛街啥的都很方便', 'star': 5}
{'descr': '蚊子太多。别的都满意！服务也还可以！！！！！！！', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '基本上还可以，就是房间有点小，还有位置不是太好找，广告牌没有路边', 'star': 5}
{'descr': '地方不错 挺干净的', 'star': 3}
{'descr': '还可以，不过刚进来就看到小飞虫子了，估计是好久没人住的原因…总体还行…', 'star': 3}
{'descr': '服务很好，环境也不错，周边的条件也行！', 'star': 3}
{'descr': '还不错，就是房间比较小', 'star': 3}
{'descr': '酒店很不错，很温馨，在一个巷子里，虽然不是很好找但是很安静，附近有一个大商场和一个小一点的商场，买东西很方便，还有电影院，小商品市场，吃饭也算方便，傣妹、肯德基、麦当劳都有，很满意', 'star': 5}
{'descr': '空气不太好!卫生间反味', 'star': 3}
{'descr': '地方不错，离火车站很进，', 'star': 3}
{'descr': '还可以', 'star': 3}
{'descr': '非常好！干净卫生，而且服务员挺到位的，让人住着放心啊', 'star': 5}
{'descr': '紧邻吉林市购物中心，出行方便。环境不错，推荐~', 'star': 5}
{'descr': '挺好的，前台的服务有待提高~没有吃早餐，房间窗户是双层的 外面是死的', 'star': 5}
{'descr': '便宜 舒适 方便 热情 交通很好 服务很好 \n酒店不错，设施可以，网速一般，位置也很好，出行方便 一进去心情就很好，非常干净，床单很漂亮，巧克力的窗帘，有种家的感觉，住着很舒服，很满意\n就是这次住 酒店在装修 比较吵', 'star': 5}
{'descr': '环境不错，服务态度很好，别人说空间很宽裕，但我住的房间靠墙中间有根大柱子，可用空间很小，有点压抑～别的就都不错了', 'star': 3}
{'descr': '空调不太好。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '性价比高，也比较干净，推荐！下次到吉林市还是住这里', 'star': 5}
{'descr': '推荐 入住 拖鞋很好  床大 干净 服务热情', 'star': 5}
{'descr': '便宜 舒适 方便 热情  交通很好  服务很好', 'star': 5}
{'descr': '房间比如家宽舒，早餐品种很单调，没有如家、锦江之星等丰富。', 'star': 5}
{'descr': '酒店不错，设施可以，网速一般，位置也很好，出行方便，', 'star': 5}
{'descr': '性价比高，各项设施都很好，以后还会再来。 缺点：离火车道太近。                                    ', 'star': 5}
{'descr': '很不错！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '满脸', 'star': 3}
{'descr': '房间挺大，就是离火车到比较近，火车哐当哐当有点吵。', 'star': 5}
{'descr': '房间挺大，就是离火车到比较近，火车哐当哐当有点吵。', 'star': 5}
{'descr': '房间很宽敞，就是洗澡晚上没有热水，服务台电话总是打不通', 'star': 5}
{'descr': '房间很宽敞，就是洗澡晚上没有热水，服务台电话总是打不通', 'star': 5}
{'descr': '本来没有3m的网线了，结果现给做了一条，很感谢。性价比很高，打车很方便，推荐~~~', 'star': 5}
{'descr': '本来没有3m的网线了，结果现给做了一条，很感谢。性价比很高，打车很方便，推荐~~~', 'star': 5}
{'descr': '说实话~没北京路的好~我住在7楼~正好赶上装修~晚上6点了~还在装修~白天就更不用说了~嗡嗡的~吃饭也要走好远~还有打扫的大婶~我说换床单~人家来个我们这3天一换床单~什么态度~最后还是给我换了~但是心里就是不舒服~总之以后还是住北京路的速8~', 'star': 1}
{'descr': '说实话~没北京路的好~我住在7楼~正好赶上装修~晚上6点了~还在装修~白天就更不用说了~嗡嗡的~吃饭也要走好远~还有打扫的大婶~我说换床单~人家来个我们这3天一换床单~什么态度~最后还是给我换了~但是心里就是不舒服~总之以后还是住北京路的速8~', 'star': 1}
{'descr': '很好，环境很好不错！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '很好，环境很好不错！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '很不错  干净  出行也方便  推荐大家这家酒店', 'star': 5}
{'descr': '很不错  干净  出行也方便  推荐大家这家酒店', 'star': 5}
{'descr': '非常好，环境好价格便宜以后还会去住！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '非常好，环境好价格便宜以后还会去住！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '环境优雅、服务周到、交通便利、房间虽小设施齐全', 'star': 5}
{'descr': '环境优雅、服务周到、交通便利、房间虽小设施齐全', 'star': 5}
{'descr': '不错非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '不错非常好！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '，因为临近火车站，有点吵，然后找不到吃饭的地方，隔音也不是很好', 'star': 5}
{'descr': '，因为临近火车站，有点吵，然后找不到吃饭的地方，隔音也不是很好', 'star': 5}
{'descr': '挺好的，服务到位，环境也不错，就是停车位少点，室内冷了些，但是有空调', 'star': 5}
{'descr': '挺好的，服务到位，环境也不错，就是停车位少点，室内冷了些，但是有空调', 'star': 5}
{'descr': '环境优雅、服务周到、交通便利、房间虽小设施齐全！', 'star': 5}
{'descr': '环境优雅、服务周到、交通便利、房间虽小设施齐全！', 'star': 5}
{'descr': '环境一般，以为临大街，早上有点吵，晚上周围没有吃饭的地方', 'star': 5}
{'descr': '环境一般，以为临大街，早上有点吵，晚上周围没有吃饭的地方', 'star': 5}
{'descr': '每一次入住都有新感觉---------------\n', 'star': 5}
{'descr': '每一次入住都有新感觉---------------\n', 'star': 5}
{'descr': '又住一天························，好！', 'star': 5}
{'descr': '又住一天························，好！', 'star': 5}
{'descr': '离火车站汽车站都很近，干净，舒适，性价比高，非常推荐！！                                     ', 'star': 5}
{'descr': '离火车站汽车站都很近，干净，舒适，性价比高，非常推荐！！                                     ', 'star': 5}
{'descr': '住了两天吉林大街店，整体来说不错，因为是特价房？给了没有窗户的房间。打扫房间的大姐很热情，服务业很好。希望以后更好。', 'star': 5}
