{'短评内容': '住的412豪华房，105的价格可以接受，整体感觉不错。晚了半个多小时打电话回去，酒店也没有把我们东西清理掉。', '短评打分': 5}
{'短评内容': '还可以，服务挺好的', '短评打分': 5}
{'短评内容': '这个酒店我也不是第一次入住了中肯的说一下价格的确很实惠 这个价位能住到这样的酒店也还算挺不错的应该算赣州市的年代比较久的一家酒店了服务员的态度还是挺好的 至少会耐心解释不足的地方的确有蛮多的首先 按照道理每个房间应该配备一到两瓶免费的矿泉水 这样最起码也好啊 水都没有 还要喝厕所那儿已经烧开的水管里的饮用专用水  要去楼下前台买才有水 包括押金收300 又没可消费物品 让人觉得非常尴尬。其次 那个', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '整体偏旧…', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '简直不可住人！', '短评打分': 1}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '太旧了，被子还有点味道，感觉不好。我订的是豪华标间，给我的是特价房。', '短评打分': 4}
{'短评内容': '太老了，但是出行方便', '短评打分': 4}
{'短评内容': '设施老旧  推荐豪华房', '短评打分': 3}
{'短评内容': '总体还好，位置方便', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '差差差的不行了', '短评打分': 1}
