{'短评内容': '环境还不错', '短评打分': 5}
{'短评内容': '感觉稍微有点上年纪了', '短评打分': 4}
{'短评内容': '整体感觉不错！', '短评打分': 4}
{'短评内容': '除了隔音不太好，其他都不错', '短评打分': 5}
{'短评内容': '整体还可以', '短评打分': 5}
{'短评内容': '一直在京东上买东西  送货快 东西好 还会一直关注', '短评打分': 5}
{'短评内容': '星级服务，价格实惠，服务周到，态度亲切，吃住行最佳选择，赞赞赞', '短评打分': 5}
{'短评内容': '还好还好，老牌了', '短评打分': 4}
{'短评内容': '性价比很高的酒店', '短评打分': 3}
{'短评内容': '还不错，南安市中心一家老牌酒店了，环境设施以及地理位置都还可以，性价比也比较好，停车位紧张了点，下次入住要早点。', '短评打分': 5}
{'短评内容': '卫生挺好，床单干净。设施齐全。性价比高。', '短评打分': 4}
{'短评内容': '酒店还不错', '短评打分': 4}
{'短评内容': '室温27，大厦居然没开制冷系统。交涉后才开启。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '环境设施不错！交通方便！价格实费！！！！！！！！', '短评打分': 5}
{'短评内容': '还不错，主要是离办事地点很近', '短评打分': 3}
