{'短评内容': '加张被子收60元，黑店。', '短评打分': 1}
{'短评内容': '这一次的感觉还不错', '短评打分': 4}
{'短评内容': '还不错，价格也算稍微有点贵附近比较偏僻，没有吃饭或者其他的娱乐地方，但整体来说价位还可以接受吧，有机会还是可以考虑入住的', '短评打分': 4}
{'短评内容': '还不错，价格也算稍微有点贵附近比较偏僻，没有吃饭或者其他的娱乐地方，但整体来说价位还可以接受吧，有机会还是可以考虑入住的', '短评打分': 4}
{'短评内容': '还不错，床上用品很干净，价格不贵，性价比挺高的，推荐小盆友们入住', '短评打分': 5}
{'短评内容': '靠马路的有些吵', '短评打分': 4}
{'短评内容': '马马虎虎，性价比不是很高', '短评打分': 3}
{'短评内容': '好好好好好好好好好好。', '短评打分': 3}
{'短评内容': '还行咯，一般般吧，并不是很满意环境', '短评打分': 3}
{'短评内容': '相对当地的消费，性价比太低了。', '短评打分': 2}
{'短评内容': '空调有问题，窗户有问题，卫生间门朝着床', '短评打分': 4}
{'短评内容': '在公路旁边，晚上睡觉很大声，房间居然没风筒！！', '短评打分': 4}
{'短评内容': '太欺骗人了，说有早餐的，住完店说只有早餐奶了', '短评打分': 4}
