{'短评内容': '一般l\u2006n', '短评打分': 4}
{'短评内容': '，啊', '短评打分': 5}
{'短评内容': '还不错值得表扬', '短评打分': 5}
{'短评内容': '服务人员态度好，干净卫生。', '短评打分': 5}
{'短评内容': '楼下就有吃饭的，靠近河边，去市区也方便。位置不错。就是设施陈旧，电视看不了，来修了大半个小时也没修好。总的来说还凑合', '短评打分': 3}
{'短评内容': '城内～对得起这价格', '短评打分': 5}
{'短评内容': '很好～服务员很好', '短评打分': 5}
{'短评内容': '没有电梯没有电梯没有电梯 要死了拖着大箱子爬楼梯', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '每次来出差都住这。主要出行方便，就是停车麻烦点。', '短评打分': 4}
{'短评内容': '经济实惠的地方 卫生也还干净  这个价格还可以啦', '短评打分': 5}
{'短评内容': '房间偏小', '短评打分': 4}
{'短评内容': '房间偏小', '短评打分': 4}
{'短评内容': '设施陈旧，房间小，床单感觉很旧而且有点潮。很一般的酒店', '短评打分': 4}
{'短评内容': '干净，服务热情。价格偏高', '短评打分': 5}
{'短评内容': '位置不错，没有电梯可惜。其它的都还好吧。', '短评打分': 5}
{'短评内容': '该怎么说呢，1.入住时服务员给我办手续，好像很不耐烦的样子，（第二天宾馆经理说是前台服务员去吃饭了，是客房服务员帮忙顶的，我就郁闷了，从我办好入住-上房间-洗澡-收拾完了，到下楼，总共一个半小时。哪家宾馆会让员工吃一个半小时的饭？）2，宾馆没有电梯，给我安排的是5楼，房间特别变态，而且上下楼都很累。3.因为第二天的火车是十点半的，办入住的时候说好第二天叫9:00醒的。可是我起来的时候已经十点了！！', '短评打分': 1}
{'短评内容': '酒店设备好对得起房价下次还来', '短评打分': 3}
{'短评内容': '酒店位置还可以，装修不错。比较物比性价，就是没有电梯，不是很方便，不过价钱实在', '短评打分': 5}
{'短评内容': '总体说还是不错的，性价比可以，不过服务员和我说好可以优惠，换了另一班人就不承认了，很郁闷，感觉被耍', '短评打分': 3}
{'短评内容': '不错，设施也不错，房间很温馨', '短评打分': 3}
{'短评内容': '酒店在剑江中路上， 很好找，就是没车位，车要停到马路对面的公用停车场。房间很舒适，就是有点小，床也有点窄，不过总的来说，还是算性价比比较高的！', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 3}
{'短评内容': '7月13日晚入住，房间刚装修，很干净，对得起这个价格，就是有一点不好，晚上会有小姐打电话来问要不要按摩，这一点需要改进。', '短评打分': 3}
{'短评内容': '不错，干净，服务良好。', '短评打分': 3}
{'短评内容': '这个宾馆还不错！很卫生就是没电梯！', '短评打分': 3}
