{'短评内容': '相对来说比较合适的低价选择！', '短评打分': 5}
{'短评内容': '位置不错的，环境不错的，服务也不错的，交通方便，免费寄存行李，总体感觉还不错的，满意度不错的，挺方便的', '短评打分': 5}
{'短评内容': '房间还可以，酒店设施一般，离口岸很近', '短评打分': 4}
{'短评内容': '朋友说住的还不错，在澳门也还算实惠的了', '短评打分': 5}
{'短评内容': '挺不错，住的还是舒服哈', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '之前住过挺好的，这次预定没有成功、有点可惜了', '短评打分': 5}
{'短评内容': '近關閘、位置好找、環境不錯！', '短评打分': 5}
{'短评内容': '酒店非常好，主要是离关闸比较近', '短评打分': 5}
{'短评内容': '酒店地理位置很好，位于关闸，容易找，而且相对澳门的消费来说，酒店的价位还是不错的。但如果想去领略澳门的繁华的话，酒店还是一般。', '短评打分': 4}
{'短评内容': '总体来说还不错', '短评打分': 5}
{'短评内容': '酒店年限已久，设施老旧，住宿不太舒服。', '短评打分': 4}
{'短评内容': '环境很好，不过前台的服务女的有点不友善，设备能高尚一点就好了，', '短评打分': 5}
{'短评内容': '挺好的，对面有家卖烧鸭的超级好吃', '短评打分': 5}
{'短评内容': '除了位置近关口，其它都很一般。最差的就是WIFI，信号若有若无，很烦人。', '短评打分': 4}
{'短评内容': '酒店环境还不错，空间也挺大的，推荐去', '短评打分': 5}
{'短评内容': '酒店地理位置十分优越的，到哪里都比较方便，就是床硬了点，垫的东西少了，其它都还可以的，服务ok 的。', '短评打分': 5}
{'短评内容': '還不錯 只是周圍沒有什麼逛街的 要走很遠', '短评打分': 5}
{'短评内容': '容易找，关闸一直走10分钟就到了，坐发财车方便。但房间的电视太小了。', '短评打分': 5}
{'短评内容': '容易找，关闸一直走10分钟就到了，坐发财车方便。但房间的电视太小了。', '短评打分': 5}
{'短评内容': '在香港和澳门住酒店，把期望值降低些会得到不错的反应。去年我住这家店时，当时是折合人民币380来块钱一天，今年朋友住涨到508了，也就和国内200左右的房间差不多了。离拱北近，就这点好处了。', '短评打分': 5}
{'短评内容': '    离口岸只需步行十分钟，环境和服务态度都很好。退房后还可寄存行李。总之赞一个', '短评打分': 3}
{'短评内容': '住得很舒服，也很干净。离关闸也很近，附近有很多吃的小店，酒店旁边也有家酒楼。下次还会选择住', '短评打分': 3}
{'短评内容': '酒店房间比较，但是服务非常好，下次还来住。', '短评打分': 5}
{'短评内容': '酒店很干净明亮,服务热情周到很温馨有回家的感觉,还能收到中国移动的信号只是信号弱点。', '短评打分': 3}
{'短评内容': '酒店挺干净，离各赌场的免费巴士只要步行几分钟就到了非常方便', '短评打分': 5}
{'短评内容': '酒店位于居民区\n店内设施较好,卫生好,服 务好,周边消费不高.', '短评打分': 3}
{'短评内容': '/我们入住了，酒店还不错喽！', '短评打分': 3}
{'短评内容': '没星，但比大陆5星的住得还舒服，\n\n～～\n～～不过没早餐有点遗憾', '短评打分': 5}
{'短评内容': '我们已经住了好几次你们的酒店了，下次还回来住的。', '短评打分': 5}
{'短评内容': '地点一般，但是交通还算方便。酒店比较大，应该是有些年月了，结构很老。好在干净。服务一般', '短评打分': 5}
{'短评内容': '因为从拱北出关，所以选择入住这家酒店还是比较方便的，但是就酒店本身整体来说一般般，如果不是因为出关地点安排的话，不是特别推荐', '短评打分': 5}
{'短评内容': '位置很方便，距拱北关口步行5分钟。在澳门这地来说，还算实惠吧，跟如家差不多。', '短评打分': 5}
{'短评内容': '不错.环境挺好.设备齐全,交通也算方便.', '短评打分': 5}
{'短评内容': '距离拱北比较近,附近都是卖电器的,不好找吃的', '短评打分': 5}
{'短评内容': '挺干净，位置也很好找。附近小吃比较多。距离拱北关口很近，交通很方便。', '短评打分': 5}
{'短评内容': '还不错的一家酒店，离关闸很近走路8分钟就能到，房间比较小，卫生干净。', '短评打分': 5}
{'短评内容': '感觉还不错，比较经济实惠，下次还会再订这家酒店！', '短评打分': 5}
{'短评内容': '这个酒店环境还不错噢，之前听说酒店设备旧，不知道是否装修过，我觉得还不错，房间环境好，干净，大笑适中，只是隔音不是很好，但是不妨碍，只要周围的人不要一直吵就好。离关口近，方便搭车去赌场，顺便逛街。吃的，用的都很容易买到。下次还会订这一家。之前住过格兰酒店，跟这个差远了。', '短评打分': 5}
{'短评内容': '经济价位，服务周到，环境优美，交通便利。', '短评打分': 5}
{'短评内容': '交通不便。。走了很久才到。。。。。。点评结束！', '短评打分': 1}
{'短评内容': '到市区位置有点偏，但周遍交通很方便，到珠海拱北口岸很近', '短评打分': 5}
{'短评内容': '其实在澳门来说这样的酒店算是经济型的啦，房间还算整洁，就是被子太薄，床太硬！', '短评打分': 5}
{'短评内容': '离关口很近，楼下有超市也很方便，如在国内习惯入住七天如家等快捷酒店的，住这应该会习惯', '短评打分': 3}
{'短评内容': '不错，环境舒适，价格相对较实惠，离关口很近', '短评打分': 5}
{'短评内容': '房间太小，价钱也不便宜多少!距离拱北关还是比较近的！', '短评打分': 1}
{'短评内容': '酒店离关口较近，出关口后直线步行约10分钟可到。卫生较干净。不过打出租车较难，公车方便。', '短评打分': 5}
{'短评内容': '位置不佳。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '真正领会了澳门的寸土寸金了，房间小的吓人，走进就感觉闷，简直是呼吸困难，房间很大烟味，窗户又不能开，是网上预订酒店最糟糕的一次', '短评打分': 1}
{'短评内容': '酒店的设施还比较完善。基本上都不错。', '短评打分': 3}
{'短评内容': '还可以，整理房间的服务员不错，前台服务就一般般，下次去还住.', '短评打分': 5}
{'短评内容': '蛮不错的一家酒店，交通也方便，而且离拱北很近，来澳门的经济首选！', '短评打分': 5}
{'短评内容': '地理位置离关口较近，走路过去也就10分钟的样子，基本上我会走到关口坐赌场班车去各个地方。但酒店的房间的确较差，我在7XX房间住了2个晚上，第二天晚上的时候发现放在桌子上的笔记本电脑上有很小很小的蚂蚁在爬，也没在意，以为就2、3只而已，结果等到早上起来，发现床上、被子上，都有小蚂蚁在爬，虽然只有几只，但当时那个恶心劲儿啊，就像吃饭吃了只蟑螂一样！再仔细找找，发现书桌旁边的墙上，从房顶到地面，有一条黑', '短评打分': 1}
{'短评内容': '地理位置好，交通方便，配套便捷，服务周到，推荐\n', '短评打分': 5}
{'短评内容': '近关闸,交通方便', '短评打分': 3}
{'短评内容': '性价比高。进关了可以直接把包包放下。很快捷。', '短评打分': 5}
{'短评内容': '我对维多利亚酒店的服务非常满意，下次去我仍旧会住在那的', '短评打分': 3}
{'短评内容': '价格合理。卫生很好。酒店所在的区域对旅游者来说很方便。酒店服务人员的服务也很好。希望改善卫浴设备。', '短评打分': 5}
{'短评内容': '酒店虽然不属于澳门市中心，但是过了拱北关口走路10分钟就到了，而且那里有去各大赌场的班车，去任何景点都很方便。 关键是，价格相对于澳门其他酒店不错，类似于我们的7天或如家。', '短评打分': 5}
{'短评内容': '房间虽然小点，但还是挺干净的。价格还不错！', '短评打分': 5}
{'短评内容': '房间虽不算大，但很精致，我很喜欢这种感觉，而且交通方便，去关闸也就五分钟路程，所以以后我都会订这一间啦！', '短评打分': 5}
{'短评内容': '房间虽小但很干净,住的很舒服,宾馆前台和客房服务人员都很热情.', '短评打分': 3}
{'短评内容': '酒店整体印象不错，性价比较高，周边配套较好，房间够大，卫生间尤其满意，美中不足是大床偏软', '短评打分': 5}
{'短评内容': '酒店还不错,房间比想象中大,很干净.交通便利.', '短评打分': 5}
{'短评内容': 'kind of old, not very clean', '短评打分': 1}
{'短评内容': '环境不错，但酒店抽风系统比较嘈！希望改善！', '短评打分': 5}
{'短评内容': '酒店各方面都还不错，日用品齐全，卫生也还可以，就是离闹市远了点', '短评打分': 3}
{'短评内容': '地点较方便。在港澳码头坐28b在拱形马路（莲峰庙）站下即可到达。房间设施半新不旧，但干净。就是房间里面的冰箱总是启动，有点吵啊。有有线宽带的。', '短评打分': 5}
{'短评内容': '位置比较方便，距离关闸在步行可达的范围。', '短评打分': 5}
{'短评内容': ' 酒店干净卫生，就是小巧玲珑点。', '短评打分': 3}
{'短评内容': '还是不错的 离关口很近，酒店的房间也没有想象中那么小，各种设施都很齐全，算是性价比很高的酒店了。不过劝大家还是不要去赌，太伤人了', '短评打分': 5}
{'短评内容': '感觉不错，干净安全', '短评打分': 3}
{'短评内容': '已经是第二次入住这家酒店。喜欢这家酒店的客房设施的齐全，虽然不是很豪华，但对旅游者来说，想要的都有了，感到很方便。周边的饭店、商店也很多，想吃点澳门特色风味小吃也是极为方便；想要买些澳门土特产也是应有尽有。更让旅游者感觉方便的是，这个酒店附近公共交通特别方便，想到澳门各旅游景点，都有相应的巴士线路搭乘。酒店大堂服务员服务态度也很好，旅客有问题都能尽力解决。下次去澳门我还会再选这家酒店居住。', '短评打分': 5}
{'短评内容': ' 酒店服务一般，豪华房还可以，房间不大，设施还不错。', '短评打分': 3}
{'短评内容': '酒店还可以比香港的房间大好多了，冷气很冷的，离关闸近，去那里都可以坐赌场的穿梭巴士，免费的很方便的。。', '短评打分': 5}
{'短评内容': '酒店人员不会英语！在澳门实在是比较奇怪。入住客人是两位外宾，实在不知道怎么跟酒店服务人员沟通。价格便宜，但是服务实在不怎么样。', '短评打分': 1}
{'短评内容': '该酒店位于澳门老城区，离关闸比较进。外表看上去还行，但是里面的设施实在太陈旧，通风不好，进房间有股霉味', '短评打分': 1}
{'短评内容': '交通非常方便，而且服务不错，酒店硬件也可以,很舒服，很干净，·~主要是接近拱北，出入可以乘坐赌场巴士·~', '短评打分': 5}
{'短评内容': '\u3000\u3000这家酒店的地理位置对去澳门旅游的住客很合适。周围的饭店、商店很多，公交车也是四通八达，对于去澳门的旅游者来说是很适合的。酒店的房间虽然比较小，设备也显得比较陈旧，特别是客房浴室里的的淋浴间很小，但是对于旅游客来说还是足够了。卫生工作做的很好，床单、被子、浴巾都洗的洁白干净，让人看了就觉得放心！\n\u3000\u3000这家酒店大堂的服务人员服务态度也很好。办理入住、退房手续都很快捷。\n\u3000\u3000很喜欢这家酒店，下次去澳', '短评打分': 5}
{'短评内容': '地点离市区有点远，不过还是不错的。地点离市区有点远，不过还是不错的', '短评打分': 5}
{'短评内容': '地段最佳,离关闸很近,四周全是屈臣氏,万宁,新苗,来来,大创,Esprit Outlets,大小药房,餐厅等\n房间大小设施还算可以,也蛮干净.\n前台服务态度一般\n性价比还不错,下次入住还会选择.', '短评打分': 5}
{'短评内容': '房间很宽敞，环境很整洁，物超所值，赞个！', '短评打分': 5}
{'短评内容': '服务态度比较好，房间比其他经济型酒店还是大点，交通出行方便，比较满意。', '短评打分': 5}
{'短评内容': '我们在酒店住了两夜，酒店的环境和服务很好！有机会你们可以去实地看一下。', '短评打分': 5}
{'短评内容': '比较实惠，条件一般。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，性价比很高，我6.3日第一次住的时候就很满意，这是第二次入住，我很愿意推荐给我的朋友，地理位置不错，到关闸步行10分钟，赞一个！', '短评打分': 5}
{'短评内容': '去各大赌场非常方便，步行10多分钟到达关闸，那里有去赌场的免费巴士，去珠海也是从那里过境，酒店附近有很多茶餐厅，不贵，还有2家大型超市，一个麦当劳，已是第三次入住，不错', '短评打分': 5}
{'短评内容': '酒店的位置还好，离珠海很近，但是酒店前台的服务不是很热情，其它都挺好的~~', '短评打分': 5}
{'短评内容': '如果在澳门岛，这家酒店的确是不错之选，不过前台服务的态度，般般。', '短评打分': 5}
{'短评内容': '一家小酒店，房间较小，配套不足，较陈旧，价格比较便宜，近关闸，去澳门市区要考虑交通成本', '短评打分': 1}
{'短评内容': '酒店很好 服务态度也很好 下次了还选这家酒店 但是各位记得提前预订哦 房间很抢手的', '短评打分': 5}
{'短评内容': '设施就是国内经济型酒店的样子~~~~~~~~~~~~~~~~~~~~~~~`', '短评打分': 1}
{'短评内容': '酒店总的来说环境不错，就是离赌场太远了，要去赌场的朋友，我不推荐这酒店\n', '短评打分': 1}
{'短评内容': '离关闸很近,坐赌场车很方便', '短评打分': 3}
{'短评内容': '酒店房间大，超过想象。P4楼负责看护行李和接送班车的服务员中有个年级稍大帅哥服务态度好，对香港公交线路非常熟悉，给了我们很好的建议，另外一个帅哥就不行了，问路就说你们打的沙，倒，有钱打的还问你啊。酒店班车非常方便，去地铁香港站最快的一次是12分钟，更重要是免费的啊。吃就不太方便，要坐车去香港仔中心，不过可以在外面吃完再回来沙。总的来说，比较满意。', '短评打分': 5}
{'短评内容': '澳门维多利亚酒店距离关闸很近，从拱北出关，一直走到到有汽车的马路左手就到了。', '短评打分': 5}
{'短评内容': '卫生、舒适，性价比不错。\n房间较小，而且大床房比双床房小 =。=\n适合驴友游玩。', '短评打分': 5}
{'短评内容': '还行，就是隔音太差。', '短评打分': 3}
