{'短评内容': '酒店设施有点老了！', '短评打分': 3}
{'短评内容': '没有早餐哦！', '短评打分': 3}
{'短评内容': '一般搬，便宜，没太大要求不高哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '没有早餐。位置靠近公交站，地铁站，出行方便。', '短评打分': 5}
{'短评内容': '厉害厉害可以', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '位置不错，周围环境还不错，都比较方便，离地铁大约10分钟路程，性价比还不错，总体感觉还不错，比较不错', '短评打分': 5}
{'短评内容': '不错，干净卫生。附近吃饭很方便', '短评打分': 5}
{'短评内容': '环境可以，交通比较便捷', '短评打分': 5}
{'短评内容': '太吵，太脏，房间里只有牙刷', '短评打分': 3}
{'短评内容': '不错，挺干净', '短评打分': 5}
{'短评内容': '房间小点，服务态度挺好！', '短评打分': 5}
{'短评内容': '很好，卫生好，酒店就在街边很好找到，周围走五分钟就是商业中心，有很多吃的～内部空间也大～不错', '短评打分': 4}
{'短评内容': '价格合适，环境也不错！', '短评打分': 5}
{'短评内容': '房间设施都是新的，服务态度也挺好的！', '短评打分': 5}
{'短评内容': '房间设施挺新的，服务态度也挺好的！', '短评打分': 5}
