{'短评内容': '住的地方后面是大排档，有点吵，房间环境有点潮湿！', '短评打分': 3}
{'短评内容': '酒店名字和电话有更改，请携程工作人员及时更新，以便更好地方便顾客的沟通与联系', '短评打分': 5}
{'短评内容': '点评的不是酒店，是旅舍，房间味道很重，设施很差，墙壁上所有插座都是空的，根本没电，厕所排气扇也是坏的，都不敢上图，怕影响你生意……携程推荐不可全信', '短评打分': 3}
{'短评内容': '感觉还不错，国庆期间价位有点高', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '比想象中的好，背后就是夜市，我喜欢', '短评打分': 5}
{'短评内容': '好烦，我住了3天，每天2间所以定了6次，3302是大床，3306是标间。这条评论我会发全部的图片。个人还是挺推荐这个酒店的，推荐给不拘小节的伙伴。太讲究的话还是另寻别处喔。除了酒店内部照就是周边照。希望能帮助到旅行的伙伴！', '短评打分': 3}
{'短评内容': '首先说地址吧，我觉得是所有酒店地址最好的，1，在古城口游古城尚书第都很方便，2，还有2路3路5路车去其他景点也很方便。3，离红军路还有超市也不远步行足矣。（超市就300米左右）超市方向有些吃饭的小店，酒店楼下就是菜馆。4，坐动车的话酒店提着行李就酒店门口等5路招手15分钟一班，车程20分钟不到就到了。沿路热闹区仅仅这一家酒店。', '短评打分': 3}
{'短评内容': '卫生环境太一般了，不值得推荐', '短评打分': 3}
{'短评内容': '给了我最后一间房，衣柜里塞满破旧衣物无法使用任何柜子且房间有异味。直到近凌晨才给本人房卡', '短评打分': 3}
{'短评内容': '地理位置非常方便就在古城旁边，楼下就是食街，所以一直会吵到很晚，酒店本身比较旧了卫生条件马马虎虎', '短评打分': 3}
