{'短评内容': '还不错！！！！！！！！！！', '短评打分': 5}
{'短评内容': '天花板有缺口，厕所比较旧，卫生条件一般，但是并不会特别影响居住，希望以后有所改进。', '短评打分': 4}
{'短评内容': '可以不错，酒店风格很棒', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊，', '短评打分': 5}
{'短评内容': '很棒棒給個100分', '短评打分': 5}
{'短评内容': '很棒給個100分', '短评打分': 5}
{'短评内容': '很好，不错哟', '短评打分': 4}
{'短评内容': '不错，可以，舒服', '短评打分': 4}
{'短评内容': '酒店的电视可以看电影节目，空调略大声，Wi-Fi不好用！', '短评打分': 5}
{'短评内容': '晚上好吵啊昨晚，来了群男的大晚上凌晨3点都不睡，投诉了2次，旅店这边不够强硬，还是再吵…………………', '短评打分': 4}
{'短评内容': '还是不错的', '短评打分': 4}
{'短评内容': '我们都是一个人的时候我就不想再去一个人的时候我就不想再去一个人的时候我就不想再去一个人的时候我就不想再去一个人的时候我就不想再去一个人的时候我就', '短评打分': 5}
{'短评内容': '我们都是一个人的时候我就不想再去一个人的时候我就不想再去一个人的时候我就不想再去一个人的时候我就不想再去一个人的时候我就不想再', '短评打分': 5}
{'短评内容': '很不错！下次还会来', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以。。。。', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '服务态度很好，酒店环境不错', '短评打分': 5}
{'短评内容': '经济型酒店~~看起来刚开不久，房间真的是太空太空了~~', '短评打分': 5}
{'短评内容': '服务还不错，比较干净，房间比较大，有机会还会去住！', '短评打分': 5}
{'短评内容': '酒店很简陋，150价格有点贵，最多值90元！', '短评打分': 3}
{'短评内容': '给朋友定的房间，朋友说还不错，房间干净服务好', '短评打分': 5}
{'短评内容': '前台办事效率有待提高', '短评打分': 3}
{'短评内容': '酒店的电梯里面有股很难闻的味道，房间也是很一般\n', '短评打分': 1}
{'短评内容': '酒店隔音不好，半夜不知道在敲。打电话投诉很久才来。', '短评打分': 1}
{'短评内容': '酒店非常好服务也很好', '短评打分': 3}
{'短评内容': '不能上网，工作人员也未给解决', '短评打分': 3}
{'短评内容': '酒店很安静,房间很宽敞!很满意', '短评打分': 3}
{'短评内容': '算是很不错啦，很方便电子科技大学，就是前台那个妹妹，业务很不熟悉，拿房等了40分钟左右！', '短评打分': 5}
{'短评内容': '还行。就是没餐厅，房间里也没有衣柜。出去还是很方便的，走下就到步行街了。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间还可以，就是空间感觉有点小', '短评打分': 3}
{'短评内容': '订了两个房间，下了两次订单。\n虽然不是本人入住，但是听入住的朋友说了，这是家不错的酒店，新开张，很干净，服务也不错。离电子科技大学中山学院很近，就是为了送孩子上学才住这里的。\n', '短评打分': 5}
{'短评内容': '虽然不是本人入住，但是听入住的朋友说了，这是家不错的酒店，新开张，很干净，服务也不错。离电子科技大学中山学院很近，就是为了送孩子上学才住这里的。', '短评打分': 5}
{'短评内容': '    卫生还好，服务也不错，隔音效果有待改进。', '短评打分': 3}
